group,group_type,bioregion,variable,variable_label,n_sites,mean_raw,median_raw,q025_raw,q975_raw,mean_relative,median_relative,q25_relative,q75_relative,q025_relative,q975_relative,n_cluster,n_other_cells,median_difference_cluster_minus_other,median_difference_ci_low,median_difference_ci_high,p_cluster_vs_other,p_cluster_vs_other_adj,cliffs_delta_cluster_vs_other,bootstrap_ci_excludes_zero,non_trivial_effect_size,highlighted,significance_status
All Atlas 1 cells,National distribution,Cluster 1,hh,Land-use heterogeneity,401,0.527788451982431,0.565742475186093,0.0533850741044366,0.76947543990822,0.20480245178897696,0.3706685366676964,-0.10778414726732673,0.8010946997895378,-1.8684278489784636,1.2610191863962603,401,1375,0.5757651972118436,0.44480454108727574,0.7067346337858547,5.630190752026798e-20,1.6890572256080395e-19,0.2999392428020857,TRUE,TRUE,FALSE,National distribution
All Atlas 1 cells,National distribution,Cluster 1,perc_cropland,Cropland,401,0.4117919203755694,0.372876651355767,0,0.972554190488013,-0.6483166560665788,-0.7672372276662166,-1.4406836201601798,0.12736676491629884,-1.90670524709125,1.0653081337131933,401,1375,-0.960433521476564,-1.1345611011363432,-0.7580237066737009,9.903328059453957e-25,3.961331223781583e-24,-0.33646610745862615,TRUE,TRUE,FALSE,National distribution
All Atlas 1 cells,National distribution,Cluster 1,perc_forest,Forest,401,0.04696952832166042,0,0,0.415713124655777,0.10499871599627043,-0.18428491369633962,-0.18428491369633962,0.06948011103837454,-0.18428491369633962,2.3760772169964053,401,1375,-0.2999990392971318,-0.35304490741806704,-0.2634598468846905,8.042867325058687e-28,3.86057631602817e-27,-0.34901836318295176,TRUE,TRUE,FALSE,National distribution
All Atlas 1 cells,National distribution,Cluster 1,perc_grass_shrub,Grass/Shrubland,401,0.07544480182378707,0.0527761860395438,0,0.268175022964031,0.6675280758207937,0.3715895833599396,-0.23989363643891257,1.2444994453155638,-0.3174028581296919,3.1836186760918603,401,1375,0.4812549521734951,0.35395679693156995,0.7039674338303841,8.59871176879779e-16,1.8760825677376994e-15,0.25652233053729323,TRUE,TRUE,FALSE,National distribution
All Atlas 1 cells,National distribution,Cluster 1,perc_pasture,Pasture,401,0.09665904387784709,0.046513968657574,0,0.489606791926721,0.9728429429500925,0.4681484974578103,0,1.4099971841726588,0,4.927738711633467,401,1375,0.4681484974578103,0.3488642679471919,0.5607847523968785,1.11629076764207e-32,6.69774460585242e-32,0.3558032192246656,TRUE,TRUE,FALSE,National distribution
All Atlas 1 cells,National distribution,Cluster 1,perc_urban,Urban,401,0.0780780662437356,0.0341355718522724,0,0.507493458648392,0.20851923420666024,-0.10347434501953093,-0.3458383570905503,0.23627079115776814,-0.3458383570905503,3.2573867850022213,401,1375,-0.14950824166161758,-0.24000078429282512,-0.06393325871028573,3.0093715596883686e-7,4.514057339532553e-7,-0.1669553389254137,TRUE,TRUE,FALSE,National distribution
All Atlas 1 cells,National distribution,Cluster 1,prec_breeding,Precipitation,401,125.72032633794426,125.934077869336,107.57089805616,143.986582651231,-0.039097967781744854,-0.021706612331577307,-0.7095634316088847,0.6408792676886044,-1.5157805272500935,1.447090010474363,401,1375,-0.02236285703890174,-0.2027954709748081,0.186981583068874,1.263634094433169e-4,1.6848454592442252e-4,-0.12564769893448202,FALSE,FALSE,FALSE,National distribution
All Atlas 1 cells,National distribution,Cluster 1,tmean_breeding,Temperature,401,8.490346849886457,8.49474965330873,8.24478923591103,8.73270694204929,0.3823270379209327,0.4052564846068072,0.0035242527292955014,0.7923405064263799,-0.8965172978210276,1.6445189368182567,401,1375,0.5589565020094298,0.48560803455730195,0.6456279652250811,1.7492414033222946e-40,2.0990896839867535e-39,0.4366121060983903,TRUE,TRUE,FALSE,National distribution
All Atlas 1 cells,National distribution,Cluster 2,hh,Land-use heterogeneity,879,0.42625001809525365,0.465860520472755,0,0.7745372159382007,-0.23893924071116904,-0.06583403618040287,-1.0674525297495507,0.6526521537867294,-2.101730473713352,1.2831400816731764,879,897,-0.11523198276294491,-0.2729028633966636,0.014074937104830824,0.15198974504940135,0.15859799483415793,-0.039265000386828564,FALSE,FALSE,FALSE,National distribution
All Atlas 1 cells,National distribution,Cluster 2,perc_cropland,Cropland,879,0.5756538054217782,0.644617613462109,0,1,-0.14757364377561027,0.06317179569881698,-0.9996531314117971,0.7068072653351106,-1.90670524709125,1.149179360544991,879,897,0.16204304414526416,0.007589776700760617,0.33503168771045166,0.04644620896077606,0.058668895529401334,0.0545719964031286,TRUE,FALSE,FALSE,National distribution
