atlas,period,bioregion,trait_family,dominant_trait_group,percent,expected_group_richness,expected_total_richness_known_trait,n_species,n_sites
1,1970s,Cluster 1,Thermal affinity,medium,27.65865146267376,5931.610799302583,21445.770077790967,31,401
1,1970s,Cluster 1,Migratory strategy,long-distance,27.687886325117226,5937.880440684773,21445.770077790985,44,401
1,1970s,Cluster 1,Foraging guild,Foliage gleaners,11.51594869740216,2469.6838799212314,21445.77007779097,9,401
1,1970s,Cluster 2,Thermal affinity,medium,29.879732691642825,15527.979402079016,51968.2674618508,31,879
1,1970s,Cluster 2,Migratory strategy,sedentary,29.97475259142952,15577.359597742165,51968.26746185086,35,879
1,1970s,Cluster 2,Foraging guild,Foliage gleaners,13.487116523846446,7009.020788003975,51968.26746185065,9,879
1,1970s,Cluster 3,Thermal affinity,medium,31.88222955490038,7012.199940540871,21994.070171491745,31,496
1,1970s,Cluster 3,Migratory strategy,sedentary,32.17209089092395,7075.952246185945,21994.070171491832,35,496
1,1970s,Cluster 3,Foraging guild,Foliage gleaners,14.78421691587597,3251.6510427833236,21994.070171491814,9,496
2,1990s,Cluster 1,Thermal affinity,medium,27.81555019632465,4371.665245578122,15716.623308625989,31,257
2,1990s,Cluster 1,Migratory strategy,short-distance,26.25324486648112,4126.123601956032,15716.623308626007,39,257
2,1990s,Cluster 1,Foraging guild,Foliage gleaners,11.258947713743279,1769.5264006841878,15716.623308625976,9,257
2,1990s,Cluster 2,Thermal affinity,medium,29.6746872197932,23987.294781956192,80834.19583932975,31,1238
2,1990s,Cluster 2,Migratory strategy,sedentary,30.048504253480708,24289.466775047913,80834.19583932971,35,1238
2,1990s,Cluster 2,Foraging guild,Foliage gleaners,12.332063750045382,9968.524562742708,80834.19583933,9,1238
2,1990s,Cluster 3,Thermal affinity,medium,32.64915878624677,5407.805060630652,16563.38252398911,31,355
2,1990s,Cluster 3,Migratory strategy,sedentary,31.045529480875544,5142.189804515239,16563.38252398915,35,355
2,1990s,Cluster 3,Foraging guild,Foliage gleaners,14.71549819833012,2437.3842569001545,16563.382523989185,9,355
3,2010s,Cluster 1,Thermal affinity,medium,27.564447663056313,2657.089672582166,9639.553475048848,31,155
3,2010s,Cluster 1,Migratory strategy,long-distance,25.353971256393926,2444.009617308614,9639.553475048877,44,155
3,2010s,Cluster 1,Foraging guild,Foliage gleaners,12.140335573396616,1170.2741396479466,9639.553475048862,9,155
3,2010s,Cluster 2,Thermal affinity,medium,29.447368688599497,30526.654189302568,103665.1339279795,31,1613
3,2010s,Cluster 2,Migratory strategy,sedentary,30.621937332164308,31744.27234673018,103665.13392797983,35,1613
3,2010s,Cluster 2,Foraging guild,Foliage gleaners,12.479008117460232,12936.380477848586,103665.13392797954,9,1613
3,2010s,Cluster 3,Thermal affinity,medium,33.11749627815162,2104.9505526539865,6356.007516312974,31,136
3,2010s,Cluster 3,Migratory strategy,sedentary,32.768584069583355,2082.773666452056,6356.00751631298,35,136
3,2010s,Cluster 3,Foraging guild,Foliage gleaners,15.171720837634878,964.3157167940942,6356.007516312971,9,136
