source_cluster,target_cluster,group_status,group,variable,variable_label,n_sites,mean_delta_raw,median_delta_raw,q025_delta_raw,q975_delta_raw,mean_delta_relative,median_delta_relative,q25_delta_relative,q75_delta_relative,q025_delta_relative,q975_delta_relative,n_changed,n_retained,median_difference_changed_minus_retained,median_difference_ci_low,median_difference_ci_high,p_changed_vs_retained,p_changed_vs_retained_adj,cliffs_delta_changed_vs_retained,sample_size_ratio,bootstrap_ci_excludes_zero,non_trivial_effect_size,significant_changed_vs_retained,highlighted,significance_status
Cluster 1,Cluster 1,Retained source cluster,Cluster 1 to Cluster 1,hh,Land-use heterogeneity,141,-4.5931767455123306e-4,-0.0016541208483960013,-0.11078656995047348,0.13899681317776896,-0.16999063872866338,-0.17958509725509453,-0.3459919290756579,-0.10177597273891988,-1.0559359303620788,0.949864156612688,245,141,0.03263421381277956,0,0.10276037719969458,0.008047237149025695,0.025751158876882226,0.1619337096540745,1.7375886524822695,FALSE,TRUE,FALSE,FALSE,Retained source-cluster cells
Cluster 1,Cluster 1,Retained source cluster,Cluster 1 to Cluster 1,perc_cropland,Cropland,141,-0.005730845483550759,0,-0.1810706953407525,0.156529363428326,0.17345959780203088,0.22425084488307526,-0.016693599886842703,0.44747178574458074,-1.3805396616113423,1.6115368214717818,245,141,-0.03268724802346762,-0.10792508077550729,0,0.0337097578374968,0.07705087505713554,-0.12919380518164714,1.7375886524822695,FALSE,FALSE,FALSE,FALSE,Retained source-cluster cells
Cluster 1,Cluster 1,Retained source cluster,Cluster 1 to Cluster 1,perc_forest,Forest,141,0.01244574145527262,0,-0.03562790806805568,0.15482631350074863,0.17313733158635897,0,0,0,-0.4956330609209293,2.1538463477815757,245,141,0,0,0,0.006214514929066711,0.024858059716266843,0.15165725864814017,1.7375886524822695,FALSE,TRUE,FALSE,FALSE,Retained source-cluster cells
Cluster 1,Cluster 1,Retained source cluster,Cluster 1 to Cluster 1,perc_grass_shrub,Grass/Shrubland,141,-0.04974563021146122,-0.0273052436549727,-0.239247526595313,0.08108498550586724,-0.5459883365532721,-0.2996915407240232,-0.987837388692177,0,-2.6258861032614638,0.8899566890117443,245,141,0.2996915407240232,0.10709207212276968,0.5346143557686445,2.951010304203539e-7,4.721616486725662e-6,0.31150673035171517,1.7375886524822695,TRUE,TRUE,TRUE,FALSE,Retained source-cluster cells
Cluster 1,Cluster 1,Retained source cluster,Cluster 1 to Cluster 1,perc_pasture,Pasture,141,0.03445354425060066,0.012366644769885603,-0.10176135547157916,0.22656314509683212,0.5374112451523014,0.19289667024676435,0,0.9600219142777919,-1.5872879827570687,3.5339639088070713,245,141,-0.19289667024676435,-0.41142412143602275,-0.009183482209576908,1.1206831042395957e-4,5.97697655594451e-4,-0.23369518019973945,1.7375886524822695,TRUE,TRUE,TRUE,FALSE,Retained source-cluster cells
Cluster 1,Cluster 1,Retained source cluster,Cluster 1 to Cluster 1,perc_urban,Urban,141,0.00614192067650305,0,-0.027574150346515648,0.08643387436169284,0.13952966922448562,0,0,0.05619157676008581,-0.6264183924931637,1.9635697910615577,245,141,0,0,0,0.0493690210484775,0.098738042096955,0.10629613547546679,1.7375886524822695,FALSE,FALSE,FALSE,FALSE,Retained source-cluster cells
Cluster 1,Cluster 1,Retained source cluster,Cluster 1 to Cluster 1,prec_breeding,Precipitation,141,72.08810169704985,72.339479121301,57.989660867320985,89.0572129208405,-0.31638726225628994,-0.2926741716392014,-0.8139056162042887,0.12019563634349706,-1.6463301000069501,1.284353430110664,245,141,0.03281418099983163,-0.10151786221907878,0.2957192638069384,0.07550904506588499,0.12081447210541599,0.10864090316977859,1.7375886524822695,FALSE,FALSE,FALSE,FALSE,Retained source-cluster cells
Cluster 1,Cluster 1,Retained source cluster,Cluster 1 to Cluster 1,tmean_breeding,Temperature,141,1.1552668499164989,1.1224104292112198,1.0488079720278805,1.3596556585764397,0.13857289409233522,-0.24090697496842062,-0.9539954812496484,1.0260580431536899,-1.0909889441829175,2.4991902919361806,245,141,0.20198398967165157,-0.5901398783047542,0.8976700004252988,0.07006859079693305,0.12081447210541599,0.11072514112027787,1.7375886524822695,FALSE,FALSE,FALSE,FALSE,Retained source-cluster cells
Cluster 1,Cluster 2,Shifted into Cluster 2,Cluster 1 to Cluster 2,hh,Land-use heterogeneity,245,0.025346496475428557,0.002409835666921989,-0.13981405016059323,0.30376388325154985,0.03723413186349842,-0.14695088344231497,-0.305795821658515,0.25061906289842084,-1.2890311891456616,2.2729697985716206,245,141,0.03263421381277956,0,0.10276037719969458,0.008047237149025695,0.025751158876882226,0.1619337096540745,1.7375886524822695,FALSE,TRUE,FALSE,FALSE,Not different from retained cells
Cluster 1,Cluster 2,Shifted into Cluster 2,Cluster 1 to Cluster 2,perc_cropland,Cropland,245,-0.03058138181751301,-0.00368814664869499,-0.3133268298895573,0.1355964389351341,-0.046785344180371065,0.19156359685960764,-0.3693370490965773,0.4398079989778826,-2.5526972476312917,1.426012828002706,245,141,-0.03268724802346762,-0.10792508077550729,0,0.0337097578374968,0.07705087505713554,-0.12919380518164714,1.7375886524822695,FALSE,FALSE,FALSE,FALSE,Not different from retained cells
Cluster 1,Cluster 2,Shifted into Cluster 2,Cluster 1 to Cluster 2,perc_forest,Forest,245,0.024208611718940464,0,-0.0736822702024821,0.20032838773080944,0.33677498841597137,0,0,0.33880683587569743,-1.0250214255156562,2.786842601331388,245,141,0,0,0,0.006214514929066711,0.024858059716266843,0.15165725864814017,1.7375886524822695,FALSE,TRUE,FALSE,FALSE,Not different from retained cells
Cluster 1,Cluster 2,Shifted into Cluster 2,Cluster 1 to Cluster 2,perc_grass_shrub,Grass/Shrubland,245,-0.007401775705417177,0,-0.18400723209385567,0.14541492390136282,-0.08123895883441938,0,-0.43693265013187327,0.1945216768583604,-2.0195905075004785,1.59601661640289,245,141,0.2996915407240232,0.10709207212276968,0.5346143557686445,2.951010304203539e-7,4.721616486725662e-6,0.31150673035171517,1.7375886524822695,TRUE,TRUE,TRUE,TRUE,Different from retained cells
Cluster 1,Cluster 2,Shifted into Cluster 2,Cluster 1 to Cluster 2,perc_pasture,Pasture,245,-4.6758841242308197e-4,0,-0.17888679983694342,0.14809516154623595,-0.007293510040979058,0,-0.20599545890881762,0.45502431503225044,-2.7903015475688333,2.3100092283308817,245,141,-0.19289667024676435,-0.41142412143602275,-0.009183482209576908,1.1206831042395957e-4,5.97697655594451e-4,-0.23369518019973945,1.7375886524822695,TRUE,TRUE,TRUE,TRUE,Different from retained cells
Cluster 1,Cluster 2,Shifted into Cluster 2,Cluster 1 to Cluster 2,perc_urban,Urban,245,0.014217515861293748,0,-0.02850656595813039,0.10527908125806057,0.32298777366328135,0,0,0.4268426667220082,-0.647600633150564,2.391687577534549,245,141,0,0,0,0.0493690210484775,0.098738042096955,0.10629613547546679,1.7375886524822695,FALSE,FALSE,FALSE,FALSE,Not different from retained cells
Cluster 1,Cluster 2,Shifted into Cluster 2,Cluster 1 to Cluster 2,prec_breeding,Precipitation,245,73.5001248357965,72.687335266746,59.38665565714339,89.26787444848381,-0.18318742244461086,-0.25985999063936976,-0.6308702207879376,0.23199664694060076,-1.5145479236983783,1.3042256835933366,245,141,0.03281418099983163,-0.10151786221907878,0.2957192638069384,0.07550904506588499,0.12081447210541599,0.10864090316977859,1.7375886524822695,FALSE,FALSE,FALSE,FALSE,Not different from retained cells
Cluster 1,Cluster 2,Shifted into Cluster 2,Cluster 1 to Cluster 2,tmean_breeding,Temperature,245,1.1668394627353815,1.1398987638541307,1.0519625077261012,1.3791472084888499,0.27223241947377413,-0.038922985296769054,-0.6908010742265107,0.9657390058504385,-1.0545551888312297,2.724310699143659,245,141,0.20198398967165157,-0.5901398783047542,0.8976700004252988,0.07006859079693305,0.12081447210541599,0.11072514112027787,1.7375886524822695,FALSE,FALSE,FALSE,FALSE,Not different from retained cells
Cluster 3,Cluster 2,Shifted into Cluster 2,Cluster 3 to Cluster 2,hh,Land-use heterogeneity,392,0.08978036941594962,0.05004795560612396,-0.14141741342532468,0.40735813326717457,0.5546483262331205,0.23559075692095777,-0.16899037887446994,1.1847425283563384,-1.301906449843846,3.104848016766558,392,100,0.03745620277865144,-0.3875960237063585,0.28819117090183893,0.9112157424670638,0.9694863535729275,-0.007244897959183705,3.92,FALSE,FALSE,FALSE,FALSE,Not different from retained cells
Cluster 3,Cluster 2,Shifted into Cluster 2,Cluster 3 to Cluster 2,perc_cropland,Cropland,392,-0.08180809820957671,-0.06059458867504802,-0.34949758594178637,0.11883019105646139,-0.5007966793119907,-0.31278592115824677,-1.0889938804983876,0.22425084488307526,-2.873270854620024,1.2774171904005431,392,100,-0.1437373553102483,-0.4608388333299248,0.11189947343482227,0.22124738053443765,0.32181437168645477,-0.0791836734693877,3.92,FALSE,FALSE,FALSE,FALSE,Not different from retained cells
Cluster 3,Cluster 2,Shifted into Cluster 2,Cluster 3 to Cluster 2,perc_forest,Forest,392,0.041852629635121166,0.015092189135719598,-0.05752024519239444,0.25267705354068537,0.5822274744287881,0.20995304812861315,0,0.9559696332832726,-0.8001854932142425,3.5150843330916306,392,100,0.20995304812861315,0.059005698449633555,0.3388068268814545,0.023269812968577924,0.06205283458287446,0.14479591836734684,3.92,TRUE,FALSE,FALSE,FALSE,Not different from retained cells
Cluster 3,Cluster 2,Shifted into Cluster 2,Cluster 3 to Cluster 2,perc_grass_shrub,Grass/Shrubland,392,0.03355727349711243,0.019788721321119248,-0.17930433398897017,0.2515321493789177,0.36831134429432394,0.2171931683387311,-0.19283237218776408,1.0983514081595165,-1.9679733603791947,2.7607172578833508,392,100,-0.0532640629419629,-0.3395177921926848,0.24428578156812308,0.9694863535729275,0.9694863535729275,-0.0024999999999999467,3.92,FALSE,FALSE,FALSE,FALSE,Not different from retained cells
Cluster 3,Cluster 2,Shifted into Cluster 2,Cluster 3 to Cluster 2,perc_pasture,Pasture,392,-0.008512525392705401,0,-0.19144983925735273,0.11469837157089531,-0.13277957232526652,0,-0.02371176954501861,0.13679255531046072,-2.9862616092888086,1.7890813854885643,392,100,0,0,0,0.8165819963926882,0.9694863535729275,-0.014489795918367299,3.92,FALSE,FALSE,FALSE,FALSE,Not different from retained cells
Cluster 3,Cluster 2,Shifted into Cluster 2,Cluster 3 to Cluster 2,perc_urban,Urban,392,0.014130899737181837,0,-0.012431415738329307,0.11184233559848113,0.3210200635961234,0,0,0.40662397397700883,-0.2824118736337594,2.5407889344860446,392,100,0,0,0,0.9574817378583339,0.9694863535729275,0.0029591836734694787,3.92,FALSE,FALSE,FALSE,FALSE,Not different from retained cells
Cluster 3,Cluster 2,Shifted into Cluster 2,Cluster 3 to Cluster 2,prec_breeding,Precipitation,392,78.47846962356536,80.60756925595501,57.613767573826756,98.56620388776642,0.2864328763039751,0.4872764192994049,-0.3314977127166533,0.9017414740372564,-1.6817890985925954,2.1813614456375894,392,100,-0.34943401067130786,-0.5421245670157523,-0.18937434892198374,5.9585405448061294e-5,4.7668324358449035e-4,-0.2599489795918367,3.92,TRUE,TRUE,TRUE,TRUE,Different from retained cells
Cluster 3,Cluster 2,Shifted into Cluster 2,Cluster 3 to Cluster 2,tmean_breeding,Temperature,392,1.1073631153338326,1.0964394291190542,1.0560481594700528,1.2135829501616704,-0.41469805072578664,-0.5408627066884133,-0.7124240274357874,-0.2525276221989371,-1.007367377269834,0.8121029259748449,392,100,0.014540027462109917,-0.09603037212181223,0.15865240931307678,0.347378913686553,0.46317188491540395,0.06086734693877549,3.92,FALSE,FALSE,FALSE,FALSE,Not different from retained cells
Cluster 3,Cluster 3,Retained source cluster,Cluster 3 to Cluster 3,hh,Land-use heterogeneity,100,0.09095265472048626,0.04538351416455435,-0.09096570553855944,0.4067855963993957,0.5640619627062545,0.19813455414230632,-0.16630224512927455,1.1501594153338068,-0.8967712530988177,3.1002504551321337,392,100,0.03745620277865144,-0.3875960237063585,0.28819117090183893,0.9112157424670638,0.9694863535729275,-0.007244897959183705,3.92,FALSE,FALSE,FALSE,FALSE,Retained source-cluster cells
Cluster 3,Cluster 3,Retained source cluster,Cluster 3 to Cluster 3,perc_cropland,Cropland,100,-0.06564961345669178,-0.044376507394569054,-0.29788866572753236,0.10115631156106741,-0.35758751516775594,-0.16904856584799846,-0.8530088815583454,0.22425084488307526,-2.4158721294734566,1.1207774096024452,392,100,-0.1437373553102483,-0.4608388333299248,0.11189947343482227,0.22124738053443765,0.32181437168645477,-0.0791836734693877,3.92,FALSE,FALSE,FALSE,FALSE,Retained source-cluster cells
Cluster 3,Cluster 3,Retained source cluster,Cluster 3 to Cluster 3,perc_forest,Forest,100,0.023472702251988824,0,-0.06047386134774938,0.16214355001139125,0.3265374785130825,0,0,0.6060204612233846,-0.8412743444897018,2.255639142416742,392,100,0.20995304812861315,0.059005698449633555,0.3388068268814545,0.023269812968577924,0.06205283458287446,0.14479591836734684,3.92,TRUE,FALSE,FALSE,FALSE,Retained source-cluster cells
Cluster 3,Cluster 3,Retained source cluster,Cluster 3 to Cluster 3,perc_grass_shrub,Grass/Shrubland,100,0.034124635308431996,0.0246416718354062,-0.14729411152866584,0.22868627768721783,0.3745384828443719,0.270457231280694,-0.14512683440709856,0.8086344897713091,-1.6166418355898062,2.5099700177933695,392,100,-0.0532640629419629,-0.3395177921926848,0.24428578156812308,0.9694863535729275,0.9694863535729275,-0.0024999999999999467,3.92,FALSE,FALSE,FALSE,FALSE,Retained source-cluster cells
Cluster 3,Cluster 3,Retained source cluster,Cluster 3 to Cluster 3,perc_pasture,Pasture,100,-0.003068782311785006,0,-0.14177862016277432,0.10882517741411249,-0.047867299552178416,0,0,0.07651641549501746,-2.211482924469328,1.6974704742319422,392,100,0,0,0,0.8165819963926882,0.9694863535729275,-0.014489795918367299,3.92,FALSE,FALSE,FALSE,FALSE,Retained source-cluster cells
Cluster 3,Cluster 3,Retained source cluster,Cluster 3 to Cluster 3,perc_urban,Urban,100,0.010982385434670902,0,-2.4147223655310437e-4,0.08783609540287682,0.2494933893981688,0,0,0.2852937039782114,-0.005485668582801449,1.9954248814088673,392,100,0,0,0,0.9574817378583339,0.9694863535729275,0.0029591836734694787,3.92,FALSE,FALSE,FALSE,FALSE,Retained source-cluster cells
Cluster 3,Cluster 3,Retained source cluster,Cluster 3 to Cluster 3,prec_breeding,Precipitation,100,82.80807906608507,84.3118447958545,61.48365670433408,100.98403870012072,0.6948562713360512,0.8367104299707128,0.06368847256263867,1.2561601773974498,-1.3167323242892535,2.409442134161261,392,100,-0.34943401067130786,-0.5421245670157523,-0.18937434892198374,5.9585405448061294e-5,4.7668324358449035e-4,-0.2599489795918367,3.92,TRUE,TRUE,TRUE,FALSE,Retained source-cluster cells
