site,survey_from,survey_to,bioregion_1,bioregion_3,atlas.x,atlas.y,variable,from,to,delta_raw,variable_label,national_mean_delta,national_median_delta,national_sd_delta,delta_relative_to_national
AD90,AD90_1,AD90_3,Cluster 1,Cluster 1,1,3,tmean_breeding,8.47988972508823,9.53574431702078,1.055854591932551,Temperature,1.166075574822343,1.1432688239924493,0.08658277654253788,-1.009603012868869
AD90,AD90_1,AD90_3,Cluster 1,Cluster 1,1,3,prec_breeding,135.417750659986,196.760619024112,61.34286836412599,Precipitation,76.22566845605704,75.44205569385801,10.600787063580594,-1.3300132570505365
AD90,AD90_1,AD90_3,Cluster 1,Cluster 1,1,3,hh,0.618778363356389,0.56490884344611,-0.053869519910278996,Land-use heterogeneity,0.062003502519162035,0.020709709646520247,0.12453054756068756,-0.5988830131856161
AD90,AD90_1,AD90_3,Cluster 1,Cluster 1,1,3,perc_urban,0,0,0,Urban,0.018701331002944264,0,0.04401874318659405,0
AD90,AD90_1,AD90_3,Cluster 1,Cluster 1,1,3,perc_cropland,0.0933377430831709,0.0459864669930725,-0.0473512760900984,Cropland,-0.056888334729859956,-0.025302527806218,0.11283135998622783,-0.19541329898506643
AD90,AD90_1,AD90_3,Cluster 1,Cluster 1,1,3,perc_pasture,0.282515181253616,0.37857579152538,0.09606061027176399,Pasture,-0.0030859163253946125,0,0.06411020342686834,1.4983669546664604
AD90,AD90_1,AD90_3,Cluster 1,Cluster 1,1,3,perc_forest,0,0,0,Forest,0.027693910910736398,0,0.07188363908141222,0
AD90,AD90_1,AD90_3,Cluster 1,Cluster 1,1,3,perc_grass_shrub,0.0630141046866698,0.0143047705050037,-0.048709334181666106,Grass/Shrubland,0.012991395739266822,0,0.09111115912383148,-0.5346143617321784
BD19,BD19_1,BD19_3,Cluster 1,Cluster 2,1,3,tmean_breeding,8.37309115174707,9.43854658681581,1.0654554350687402,Temperature,1.166075574822343,1.1432688239924493,0.08658277654253788,-0.8987167197794778
BD19,BD19_1,BD19_3,Cluster 1,Cluster 2,1,3,prec_breeding,136.040808322755,195.396435460136,59.35562713738099,Precipitation,76.22566845605704,75.44205569385801,10.600787063580594,-1.5174749252102755
