comparison,source_cluster,target_cluster,transition,target_atlas,target_period,site,survey_from,survey_to,assignment_margin_target,low_confidence_target
1990s minus 1970s,Cluster 1,Cluster 2,Cluster 1 to Cluster 2,2,1990s,DC09,DC09_1,DC09_2,0.00265118554846728,TRUE
1990s minus 1970s,Cluster 1,Cluster 2,Cluster 1 to Cluster 2,2,1990s,DB70,DB70_1,DB70_2,0.01070693292705007,FALSE
1990s minus 1970s,Cluster 1,Cluster 2,Cluster 1 to Cluster 2,2,1990s,DC04,DC04_1,DC04_2,0.00252423864325038,TRUE
1990s minus 1970s,Cluster 1,Cluster 2,Cluster 1 to Cluster 2,2,1990s,DC18,DC18_1,DC18_2,0.04618745644123138,FALSE
1990s minus 1970s,Cluster 1,Cluster 2,Cluster 1 to Cluster 2,2,1990s,DC19,DC19_1,DC19_2,0.03040976930886406,FALSE
1990s minus 1970s,Cluster 1,Cluster 2,Cluster 1 to Cluster 2,2,1990s,DC27,DC27_1,DC27_2,0.05505215952586273,FALSE
1990s minus 1970s,Cluster 1,Cluster 2,Cluster 1 to Cluster 2,2,1990s,DC28,DC28_1,DC28_2,0.03643082741824131,FALSE
1990s minus 1970s,Cluster 1,Cluster 2,Cluster 1 to Cluster 2,2,1990s,DC37,DC37_1,DC37_2,0.03015435669595159,FALSE
1990s minus 1970s,Cluster 1,Cluster 2,Cluster 1 to Cluster 2,2,1990s,DC41,DC41_1,DC41_2,0.01378558505592378,FALSE
1990s minus 1970s,Cluster 1,Cluster 2,Cluster 1 to Cluster 2,2,1990s,DC51,DC51_1,DC51_2,0.04360202800218171,FALSE
1990s minus 1970s,Cluster 1,Cluster 2,Cluster 1 to Cluster 2,2,1990s,DC52,DC52_1,DC52_2,0.05166913517471741,FALSE
1990s minus 1970s,Cluster 1,Cluster 2,Cluster 1 to Cluster 2,2,1990s,DD02,DD02_1,DD02_2,0.016569934946812,FALSE
1990s minus 1970s,Cluster 1,Cluster 2,Cluster 1 to Cluster 2,2,1990s,DD31,DD31_1,DD31_2,0.01742746587994434,FALSE
1990s minus 1970s,Cluster 1,Cluster 2,Cluster 1 to Cluster 2,2,1990s,DD40,DD40_1,DD40_2,0.08283216357551,FALSE
1990s minus 1970s,Cluster 1,Cluster 2,Cluster 1 to Cluster 2,2,1990s,DD51,DD51_1,DD51_2,0.03674565397370979,FALSE
1990s minus 1970s,Cluster 1,Cluster 2,Cluster 1 to Cluster 2,2,1990s,DD52,DD52_1,DD52_2,0.01199658854246096,FALSE
