comparison,transition,source_cluster,target_cluster,species,n_sites,mean_probability_from,mean_probability_to,mean_probability_delta,median_probability_delta,q10_probability_delta,q90_probability_delta,mean_probability_gain,mean_probability_loss,prop_sites_increase,thermal_group,migratory_strategy,foraging_guild,species_thermal_index,driver_direction,species_label
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Acanthis_flammea,142,0.07005478490231473,0.4284987010945523,0.3584439161922376,0.33008103471379047,0.04673049164730443,0.7003187986528672,0.3584439161922376,0,1,very cold,short-distance,Passerine seedeaters,8.1923087262,Gain,Acanthis flammea
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Accipiter_nisus,142,0.1833313667477405,0.6488635423461575,0.4655321755984171,0.46450519934249795,0.2129706631884044,0.7376788922825291,0.46691614901377687,-0.001383973415359778,0.9929577464788732,medium,sedentary and short-distance,Diurnal raptors,11.9162821341,Gain,Accipiter nisus
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Acrocephalus_arundinaceus,142,0.05901913437154148,0.012823747564908762,-0.046195386806632724,-0.01627494395175938,-0.1489395717398189,4.842249256223835e-4,0.0014472979122415307,-0.047642684718874256,0.1056338028169014,very warm,long-distance,Marsh warblers,13.8793523116,Loss,Acrocephalus arundinaceus
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Acrocephalus_palustris,142,0.49665288541252117,0.7430303948776571,0.24637750946513592,0.22030270575088845,0.0043445568264480995,0.5301521982539303,0.25531539078188126,-0.008937881316745307,0.9014084507042254,medium,long-distance,Marsh warblers,12.248077272,Gain,Acrocephalus palustris
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Acrocephalus_schoenobaenus,142,0.7737394566035157,0.3768279605747112,-0.39691149602880454,-0.4107181469237521,-0.6845505308325905,-0.0892435840156309,0.0049641138968520475,-0.4018756099256566,0.06338028169014084,cold,long-distance,Marsh warblers,11.3913898283,Loss,Acrocephalus schoenobaenus
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Acrocephalus_scirpaceus,142,0.7738616526277714,0.871331275684432,0.09746962305666065,0.060187533181524144,-0.10448471177805974,0.39050799370353517,0.12754480423419057,-0.030075181177529886,0.6901408450704225,very warm,long-distance,Marsh warblers,13.1524057431,Gain,Acrocephalus scirpaceus
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Aegithalos_caudatus,142,0.12178529350045122,0.3668048491177786,0.2450195556173274,0.21737806366724774,-0.0038680731301778738,0.5983289541829594,0.2521200944092344,-0.007100538791906991,0.8802816901408451,warm,sedentary,Tit-like birds,12.6607518772,Gain,Aegithalos caudatus
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Alauda_arvensis,142,0.9967403377049365,0.9949002549499283,-0.0018400827550082294,-0.0010349560737169528,-0.005086952477877848,0.003899845314009712,0.001663356110947413,-0.0035034388659556455,0.2746478873239437,medium,sedentary and short-distance,Open-land insectivores,12.1983199326,Loss,Alauda arvensis
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Alcedo_atthis,142,0.02303596707535158,0.06932763920675362,0.04629167213140205,0.008356353001396196,-5.238377819539332e-4,0.18535863608991604,0.047731270822454916,-0.0014395986910528571,0.7887323943661971,very warm,sedentary,Kingfishers,13.5319163712,Gain,Alcedo atthis
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Anarhynchus_alexandrinus,142,0.023139858937250884,0.0015840699867874493,-0.021555788950463436,-0.0068145772791180035,-0.06605045166525063,-6.456891084992002e-5,1.652991034373019e-4,-0.021721088053900738,0.056338028169014086,very warm,short-and long-distance,Plovers,16.3071703744,Loss,Anarhynchus alexandrinus
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Anas_acuta,142,0.048353762546498556,0.025193684284186012,-0.023160078262312547,-0.01038307119113559,-0.07622029281938585,0.006764056263622608,0.007627513433800041,-0.030787591696112587,0.18309859154929578,very cold,short-distance,Dabbling ducks,8.5273453088,Loss,Anas acuta
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Anas_crecca,142,0.1717992413836454,0.157017762916737,-0.014781478466908402,-0.011115161395727127,-0.18539273535448145,0.13512512023008455,0.041096277771759254,-0.05587775623866767,0.4647887323943662,very cold,short-distance,Dabbling ducks,10.071290709,Loss,Anas crecca
