comparison,transition,source_cluster,target_cluster,species,n_sites,mean_probability_from,mean_probability_to,mean_probability_delta,median_probability_delta,q10_probability_delta,q90_probability_delta,mean_probability_gain,mean_probability_loss,prop_sites_increase,thermal_group,migratory_strategy,foraging_guild,species_thermal_index,driver_direction,species_label
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Acrocephalus_schoenobaenus,142,0.7737394566035157,0.3768279605747112,-0.39691149602880454,-0.4107181469237521,-0.6845505308325905,-0.0892435840156309,0.0049641138968520475,-0.4018756099256566,0.06338028169014084,cold,long-distance,Marsh warblers,11.3913898283,Loss,Acrocephalus schoenobaenus
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Emberiza_calandra,142,0.8227473861786853,0.5928823805874028,-0.22986500559128242,-0.1969750492162035,-0.5029784219756706,-0.017293114942401416,0.007302541067652048,-0.2371675466589345,0.06338028169014084,very warm,sedentary,Buntings,14.2313581317,Loss,Emberiza calandra
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Motacilla_flava,142,0.46563165920783156,0.2747920105887703,-0.1908396486190613,-0.18316396235674937,-0.4536395557941506,0.07434073518500335,0.022325418956017522,-0.21316506757507883,0.19718309859154928,medium,long-distance,Open-land insectivores,12.136968586,Loss,Motacilla flava
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Chroicocephalus_ridibundus,142,0.4524705319349945,0.2651724875763054,-0.18729804435868908,-0.20334424001397827,-0.37242702209542583,0.022985766110333206,0.009236949833525356,-0.19653499419221443,0.11267605633802817,cold,short-distance,Gulls,11.0679667544,Loss,Chroicocephalus ridibundus
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Gallinago_gallinago,142,0.6290226878270504,0.46729620693407475,-0.16172648089297564,-0.18667779987137162,-0.4256065112028412,0.11187401576839483,0.028420922725640747,-0.1901474036186164,0.2535211267605634,very cold,short-distance,Scolopacids,10.2670472691,Loss,Gallinago gallinago
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Oenanthe_oenanthe,142,0.3235635237667372,0.1834359248271404,-0.14012759893959678,-0.1322446106050983,-0.36776240620310435,0.04747933878136114,0.014034177982690464,-0.15416177692228725,0.19014084507042253,cold,long-distance,Low flycatching feeders,11.6202368597,Loss,Oenanthe oenanthe
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Tringa_totanus,142,0.649197770478123,0.5099224927598945,-0.1392752777182285,-0.13292243340527113,-0.479848370026755,0.14014118210211163,0.041173218422432746,-0.18044849614066125,0.2746478873239437,cold,short-distance,Scolopacids,11.0359375128,Loss,Tringa totanus
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Riparia_riparia,142,0.5390366466663552,0.40423661759549473,-0.13480002907086053,-0.1440373577122153,-0.2942707958046172,0.038664136203845935,0.01198766253033669,-0.14678769160119723,0.1619718309859155,medium,long-distance,Aerial insectivores,11.9550761988,Loss,Riparia riparia
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Athene_noctua,142,0.14312745097143328,0.041570467516436595,-0.1015569834549967,-0.057722919689917995,-0.2699720733559875,-0.014233464889229424,0.0012532991458943463,-0.10281028260089103,0.035211267605633804,very warm,sedentary,Owls,14.2083192272,Loss,Athene noctua
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Calidris_pugnax,142,0.10779359004911827,0.018801283065775602,-0.08899230698334266,-0.04426647822394934,-0.24855018598252776,-7.541276082990523e-4,0.0018572703391838503,-0.09084957732252652,0.07042253521126761,very cold,long-distance,Scolopacids,7.9732949741,Loss,Calidris pugnax
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Recurvirostra_avosetta,142,0.20969613847358062,0.12292051384637413,-0.08677562462720646,-0.034122178581789904,-0.32750140308388387,0.06667394858406042,0.018908259176582305,-0.10568388380378876,0.3028169014084507,very warm,short-and long-distance,Plovers,14.5831200661,Loss,Recurvirostra avosetta
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Sternula_albifrons,142,0.1117249733139564,0.028115332911154093,-0.0836096404028023,-0.031737994851735396,-0.2227285938201374,-8.357088893214648e-4,0.0012865851654824706,-0.08489622556828477,0.07042253521126761,very warm,long-distance,Terns,13.6554594356,Loss,Sternula albifrons
