comparison,transition,source_cluster,target_cluster,trait_family,trait_value,n_species_in_trait_group,mean_expected_richness_delta_per_species,median_expected_richness_delta_per_species,q10_expected_richness_delta_per_species,q90_expected_richness_delta_per_species,mean_expected_richness_gain_per_species,mean_expected_richness_loss_per_species,absolute_change_share_per_species,prop_sites_increase,n_sites,mean_expected_richness_delta,median_expected_richness_delta,q10_expected_richness_delta,q90_expected_richness_delta,mean_expected_richness_gain,mean_expected_richness_loss,total_absolute_trait_change,total_absolute_trait_change_per_species,absolute_change_share,driver_direction,driver_direction_per_species
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Thermal affinity,cold,31,0.052250838491607804,0.0495494201864619,-0.05207301514338793,0.18112425955277833,0.0991809550678767,-0.046930116576268895,0.11981138891363266,0.647887323943662,142,1.619775993239842,1.5360320257803188,-1.6142634694450257,5.614852046136129,3.0746096071041777,-1.4548336138643356,13.621609221702673,0.43610911254249285,0.11891223473502151,Gain,Gain
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Thermal affinity,medium,31,0.13119470716878628,0.12445094485777604,0.0012592758434889024,0.26639721048834586,0.15611376876786479,-0.0249190615990785,0.3008300065181581,0.9084507042253521,142,4.067035922232375,3.8579792905910573,0.03903755114815598,8.258313525138721,4.839526831803808,-0.7724909095714335,13.621609221702673,0.43610911254249285,0.29857235338630594,Gain,Gain
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Thermal affinity,very cold,32,0.061405291817612034,0.05916213778639885,-0.04312376900801417,0.15323421201881093,0.09470646971427614,-0.033301177896664105,0.1408025882780171,0.7887323943661971,142,1.964969338163585,1.8931884091647633,-1.3799606082564535,4.90349478460195,3.0306070308568365,-1.0656376926932514,13.621609221702673,0.43610911254249285,0.1442538327287272,Gain,Gain
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Thermal affinity,very warm,32,0.040821441067782224,0.03806580913994721,-0.03010107446541956,0.11457981956024008,0.06946701234365195,-0.028645571275869725,0.09360373331755303,0.7253521126760564,142,1.3062861141690312,1.2181058924783108,-0.9632343828934259,3.6665542259276824,2.2229443949968624,-0.9166582808278312,13.621609221702673,0.43610911254249285,0.09589807583730904,Gain,Gain
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Thermal affinity,warm,31,0.15043683399670452,0.14775969607043254,0.019324387700716643,0.2813121702837785,0.16544540519282624,-0.015008571196121734,0.34495228297263913,0.9225352112676056,142,4.66354185389784,4.580550578183409,0.5990560187222159,8.720677278797133,5.128807560977614,-0.4652657070797737,13.621609221702673,0.43610911254249285,0.34236350331263626,Gain,Gain
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Migratory strategy,long-distance,44,0.031704682305429006,0.02863978890323382,-0.06837635581197372,0.1500567615586021,0.07928331892818373,-0.047578636622754716,0.07652668037928291,0.6056338028169014,142,1.3950060214388764,1.260150711742288,-3.008559655726844,6.602497508578492,3.488466032840084,-2.0934600114012074,13.621609221702673,0.4142958004749937,0.10241124956192978,Gain,Gain
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Migratory strategy,sedentary,35,0.14332717526244224,0.13568795713918633,0.01431447464330923,0.286112975444078,0.1623856507544288,-0.01905847549198655,0.3459537246047785,0.9295774647887324,142,5.016451134185478,4.749078499871521,0.501006612515823,10.01395414054273,5.683497776405008,-0.6670466422195293,13.621609221702673,0.4142958004749937,0.3682715494578277,Gain,Gain
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Migratory strategy,sedentary and short-distance,31,0.12933362635297863,0.12595420059736048,0.00840652634801731,0.24486340869256643,0.14324594886946568,-0.013912322516487009,0.3121770150812451,0.9225352112676056,142,4.009342416942338,3.904580218518175,0.2606023167885366,7.590765669469559,4.440624414953436,-0.4312819980110973,13.621609221702673,0.4142958004749937,0.2943369136265075,Gain,Gain
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Migratory strategy,short-and long-distance,8,0.035047506337923515,0.03470690476694281,-0.02564056261877503,0.09557849490747494,0.05408258401278353,-0.019035077674860013,0.08459536953486192,0.7887323943661971,142,0.2803800507033881,0.2776552381355425,-0.20512450095020024,0.7646279592597995,0.4326606721022682,-0.1522806213988801,13.621609221702673,0.4142958004749937,0.020583474840598987,Gain,Gain
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Migratory strategy,short-distance,39,0.07488281021622033,0.07032448219188743,-0.03592256343020143,0.17948631476373927,0.10900632126765394,-0.034123511051433623,0.18074721039983158,0.8028169014084507,142,2.9204295984325928,2.7426548054836095,-1.4009799737778557,6.999966275785832,4.251246529438504,-1.3308169310059113,13.621609221702673,0.4142958004749937,0.21439681251313603,Gain,Gain
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Foraging guild,Aerial insectivores,4,0.072744605953275407,0.07649910105625858,-0.06729615883817641,0.21201691396589448,0.11500134542243065,-0.04225673946915524,0.02730583353049691,0.704225352112676,142,0.29097842381310163,0.3059964042250343,-0.26918463535270565,0.8480676558635779,0.4600053816897226,-0.16902695787662095,15.426941276294938,2.664068316099179,0.01886170554497537,Gain,Gain
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Foraging guild,Aquatic pursuers,6,0.07328419380264832,0.06713452102549435,-0.05301874564914199,0.2151060978274555,0.096130624704112,-0.02284643090146368,0.027508376327959026,0.7816901408450704,142,0.43970516281588995,0.4028071261529661,-0.3181124738948519,1.290636586964733,0.576783748224672,-0.13707858540878207,15.426941276294938,2.664068316099179,0.02850242021025526,Gain,Gain
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Foraging guild,Buntings,3,-0.0663169353268787,-0.0635679855732433,-0.1904756157685148,0.0776196542225311,0.0287496881115738,-0.0950666234384525,0.024893106128743066,0.176056338028169,142,-0.19895080598063608,-0.19070395671972987,-0.5714268473055444,0.2328589626675933,0.0862490643347214,-0.2851998703153575,15.426941276294938,2.664068316099179,0.012896322246740135,Loss,Loss
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Foraging guild,Columbids,4,0.1275783186213927,0.11978754384341164,0.017101527391952146,0.23613982618934537,0.1308229301572361,-0.003244611535843386,0.047888531180085236,0.9577464788732394,142,0.5103132744855708,0.47915017537364657,0.06840610956780858,0.9445593047573815,0.5232917206289444,-0.012978446143373543,15.426941276294938,2.664068316099179,0.033079355482458404,Gain,Gain
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Foraging guild,Cuckoos,1,0.08038404480626446,0.05957817920586095,-0.004932218255530023,0.19965418499845786,0.08796474661639936,-0.007580701810134889,0.030173417220758645,0.8873239436619719,142,0.08038404480626446,0.05957817920586095,-0.004932218255530023,0.19965418499845786,0.08796474661639936,-0.007580701810134889,15.426941276294938,2.664068316099179,0.005210627522759985,Gain,Gain
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Foraging guild,Dabbling ducks,7,0.028932737240392074,0.02162257146846453,-0.10419293516401483,0.15612971630678163,0.06549322140456845,-0.03656048416417638,0.010860358597243628,0.6197183098591549,142,0.2025291606827445,0.15135800027925173,-0.7293505461481038,1.0929080141474714,0.45845254983197914,-0.2559233891492346,15.426941276294938,2.664068316099179,0.013128277151994551,Gain,Gain
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Foraging guild,Dippers,1,3.349617342859069e-4,-1.823290730800852e-5,-0.0034518527394136805,0.003706863249994715,0.0017305474143000754,-0.001395585680014168,1.2573316241993728e-4,0.49295774647887325,142,3.349617342859069e-4,-1.823290730800852e-5,-0.0034518527394136805,0.003706863249994715,0.0017305474143000754,-0.001395585680014168,15.426941276294938,2.664068316099179,2.1712776906761785e-5,Gain,Gain
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Foraging guild,Diurnal raptors,7,0.26439973943272166,0.2591284867820594,0.1277142837862885,0.3901781435554037,0.268899912523579,-0.004500173090857348,0.09924660634073562,0.9929577464788732,142,1.8507981760290515,1.8138994074744157,0.8939999865040194,2.731247004887826,1.882299387665053,-0.03150121163600144,15.426941276294938,2.664068316099179,0.11997181702331303,Gain,Gain
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Foraging guild,Diving ducks,3,0.0680266291494877,0.048145316026839545,-0.07420316559724395,0.22205943079691123,0.09318921136424872,-0.025162582214761,0.025534866631759145,0.7323943661971831,142,0.20407988744846312,0.14443594808051863,-0.22260949679173184,0.6661782923907337,0.27956763409274615,-0.075487746644283,15.426941276294938,2.664068316099179,0.013228797840959736,Gain,Gain
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Foraging guild,Flycatchers,3,0.15072089195043423,0.16019779272791948,-0.03492144190893838,0.3302954872803065,0.16641839827744495,-0.015697506327010707,0.05657546056143371,0.8732394366197183,142,0.4521626758513027,0.48059337818375847,-0.10476432572681514,0.9908864618409196,0.4992551948323348,-0.047092518981032117,15.426941276294938,2.664068316099179,0.029309936931314867,Gain,Gain
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Foraging guild,Foliage gleaners,9,0.14563959930088513,0.1199141959551323,-3.290404991511535e-4,0.31306897102952386,0.15863227742298314,-0.012992678122097994,0.054668117337972645,0.8943661971830986,142,1.3107563937079663,1.0792277635961907,-0.002961364492360382,2.8176207392657147,1.4276904968068482,-0.11693410309888194,15.426941276294938,2.664068316099179,0.08496541020235013,Gain,Gain
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Foraging guild,Gallinaceous birds,2,0.08001770925875606,0.08496303656948719,-0.04680697962050526,0.19732871289571396,0.09893205841055984,-0.018914349151803764,0.030035907403426036,0.8028169014084507,142,0.16003541851751213,0.16992607313897437,-0.09361395924101051,0.39465742579142793,0.19786411682111968,-0.03782869830360753,15.426941276294938,2.664068316099179,0.01037376208616434,Gain,Gain
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Foraging guild,Grazing waterfowl,2,0.08872098495699522,0.08301250500142633,-0.1274576316489054,0.31633677213604006,0.1319574153428278,-0.04323643038583255,0.03330281900837421,0.6971830985915493,142,0.17744196991399044,0.16602501000285266,-0.2549152632978108,0.6326735442720801,0.2639148306856556,-0.0864728607716651,15.426941276294938,2.664068316099179,0.011502083707717747,Gain,Gain
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Foraging guild,Gulls,5,-0.022293439506091153,-0.03765713171489713,-0.11981955677494438,0.10292294798526638,0.03557590811994575,-0.05786934762603689,0.008368193627532036,0.29577464788732394,142,-0.11146719753045577,-0.18828565857448565,-0.5990977838747219,0.5146147399263319,0.17787954059972877,-0.28934673813018447,15.426941276294938,2.664068316099179,0.007225489196729907,Loss,Loss
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Foraging guild,Kingfishers,1,0.04629167213140205,0.008356353001396196,-5.238377819539332e-4,0.18535863608991604,0.04773127082245491,-0.0014395986910528573,0.017376308201879714,0.7887323943661971,142,0.04629167213140205,0.008356353001396196,-5.238377819539332e-4,0.18535863608991604,0.04773127082245491,-0.0014395986910528573,15.426941276294938,2.664068316099179,0.003000703205017958,Gain,Gain
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Foraging guild,Low flycatching feeders,9,0.12336335410906647,0.11097468556462836,-0.04817921887544741,0.32386728308783663,0.16003753015135186,-0.03667417604228538,0.046306377867103406,0.7676056338028169,142,1.1102701869815983,0.9987721700816553,-0.4336129698790267,2.9148055477905297,1.4403377713621668,-0.33006758438056844,15.426941276294938,2.664068316099179,0.07196956072475891,Gain,Gain
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Foraging guild,Marsh warblers,6,0.012857926621982289,-0.004537580361840022,-0.1371372812798279,0.1797986248854637,0.09833477865998497,-0.08547685203800266,0.004826425262550815,0.49295774647887325,142,0.07714755973189373,-0.02722548217104013,-0.8228236876789674,1.078791749312782,0.5900086719599098,-0.512861112228016,15.426941276294938,2.664068316099179,0.005000833175558838,Gain,Gain
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Foraging guild,Nigthjars,1,0.018847062171962053,-0.001934649152292531,-0.03410864951432009,0.07542913417707532,0.03056320716841463,-0.01171614499645255,0.00707454161669494,0.3732394366197183,142,0.018847062171962053,-0.001934649152292531,-0.03410864951432009,0.07542913417707532,0.03056320716841463,-0.01171614499645255,15.426941276294938,2.664068316099179,0.0012216979266604507,Gain,Gain
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Foraging guild,Omnivorous corvids,7,0.1837526748559332,0.17714306072945574,0.02432963124484391,0.37541454973298827,0.1972181839920397,-0.013465509136106491,0.06897446050669985,0.9225352112676056,142,1.2862687239915322,1.2400014251061902,0.17030741871390737,2.627901848130918,1.3805272879442778,-0.09425856395274544,15.426941276294938,2.664068316099179,0.08337807871013386,Gain,Gain
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Foraging guild,Open-land insectivores,6,0.011732272112875879,6.659532986052532e-4,-0.09670266259827694,0.12112818225597101,0.06212219208438555,-0.05038991997150966,0.004403893114143063,0.5070422535211268,142,0.07039363267725528,0.003995719791631519,-0.5802159755896616,0.7267690935358261,0.3727331525063133,-0.302339519829058,15.426941276294938,2.664068316099179,0.004563032387076124,Gain,Gain
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Foraging guild,Orioles,1,-0.014183870602443737,-0.0028325426444902714,-0.09890470578188201,0.04901218566210673,0.0186515978703533,-0.032835468472797044,0.005324139218476293,0.3380281690140845,142,-0.014183870602443737,-0.0028325426444902714,-0.09890470578188201,0.04901218566210673,0.0186515978703533,-0.032835468472797044,15.426941276294938,2.664068316099179,9.194220907704299e-4,Loss,Loss
1990s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Foraging guild,Owls,5,0.04027369650048519,0.04753951072040703,-0.08419053616007821,0.14862001443905537,0.08082858308032215,-0.040554886579836955,0.015117366269141074,0.704225352112676,142,0.20136848250242595,0.23769755360203515,-0.42095268080039105,0.7431000721952769,0.40414291540161074,-0.2027744328991848,15.426941276294938,2.664068316099179,0.01305304006127573,Gain,Gain
