effect_subset,atlas,period,survey,site,X,Y,expected_richness,dominant_variable,dominant_variable_label,dominant_positive_importance,total_site_positive_importance,relative_positive_dominance,n_species_contributing
positive,1,1970s,AD90_1,AD90,447500.0709493527,6252499.57832838,46.93829583095509,tmean_breeding,Temperature,0.009030518274909517,0.01790943267463485,0.5042325147294838,157
positive,1,1970s,AD91_1,AD91,447500.05017916387,6257499.546271402,42.68971837608554,tmean_breeding,Temperature,0.006005366371131904,0.016070466534817328,0.37368960995133715,157
positive,1,1970s,AD92_1,AD92,447500.02377636905,6262499.551973275,32.01136812689959,perc_forest,Forest (% coverage),0.003133278574234091,0.011591789972593226,0.27030153079396574,157
positive,1,1970s,AD93_1,AD93,447499.9924736935,6267499.595406948,40.9921282640114,tmean_breeding,Temperature,0.004852523319185853,0.014265304933387547,0.34016260723797487,157
positive,1,1970s,AD94_1,AD94,447499.9570043505,6272499.676545255,42.48671816511489,tmean_breeding,Temperature,0.006396815150210547,0.015648505440219687,0.40878122033107994,157
positive,1,1970s,AD95_1,AD95,447499.9167107371,6277499.684056323,34.4390190437221,tmean_breeding,Temperature,0.008402730435681795,0.017465854924003592,0.48109471149527266,157
positive,1,1970s,AE93_1,AE93,447500.1701742312,6217499.746982312,24.104145313035463,tmean_breeding,Temperature,0.004915998951623566,0.015085433944312155,0.32587719847973645,157
positive,1,1970s,AE94_1,AE94,447500.1510277113,6222499.78450804,45.51355100216228,tmean_breeding,Temperature,0.004477297590962771,0.014896542939879756,0.300559506258095,157
positive,1,1970s,AE95_1,AE95,447500.18198725476,6227499.747924402,47.89257933531226,tmean_breeding,Temperature,0.007600332561688279,0.016881720334890642,0.45021078485586186,157
positive,1,1970s,AE96_1,AE96,447500.139576756,6232499.638727918,25.217111712572418,tmean_breeding,Temperature,0.007623840360944424,0.016424099558767814,0.4641861998988265,157
positive,1,1970s,AE97_1,AE97,447500.1513174165,6237499.67796077,25.369267845765187,perc_forest,Forest (% coverage),0.004655801425190425,0.014666704617064773,0.31744018487788866,157
positive,1,1970s,AE98_1,AE98,447500.15313399426,6242499.6437634,66.24285829246112,tmean_breeding,Temperature,0.005849471216287175,0.016232846155149003,0.3603478503017626,157
positive,1,1970s,AF81_1,AF81,442500.1384771916,6157499.787446427,54.959608759129715,tmean_breeding,Temperature,0.004082201513273972,0.014481392045793524,0.2818928940232474,157
positive,1,1970s,AF82_1,AF82,442500.15165183047,6162499.8084204225,44.94405006314836,perc_forest,Forest (% coverage),0.004761367706908246,0.01311907561349257,0.3629346950337968,157
