atlas,period,survey,site,X,Y,variable,variable_label,n_species_contributing,expected_richness,positive_importance,negative_importance,total_importance,net_score,direction_balance,total_site_importance,relative_importance_at_site
1,1970s,AD90_1,AD90,447500.0709493527,6252499.57832838,hh,Land-use heterogeneity,157,46.93829583095509,0.003847831721339559,3.652683785914477e-5,0.0038843585591987044,0.003811304883480414,0.981192859875078,0.03436072691119696,0.11304646054891603
1,1970s,AD90_1,AD90,447500.0709493527,6252499.57832838,perc_cropland,Cropland (% coverage),157,46.93829583095509,0.0016942695244083802,0.007395911075908749,0.009090180600317127,-0.005701641551500368,-0.6272308331587445,0.03436072691119696,0.26455146376297867
1,1970s,AD90_1,AD90,447500.0709493527,6252499.57832838,perc_forest,Forest (% coverage),157,46.93829583095509,0.001192318075432259,0.0028025767943121614,0.003994894869744419,-0.0016102587188799038,-0.4030791225759898,0.03436072691119696,0.11626339803779363
1,1970s,AD90_1,AD90,447500.0709493527,6252499.57832838,perc_grass_shrub,Grass/Shrubland (% coverage),157,46.93829583095509,2.2925441245304627e-4,3.249217929549627e-4,5.541762054080095e-4,-9.566738050191656e-5,-0.17262989563307202,0.03436072691119696,0.01612818631108246
1,1970s,AD90_1,AD90,447500.0709493527,6252499.57832838,perc_pasture,Pasture (% coverage),157,46.93829583095509,3.644389427388914e-4,6.483676442431588e-5,4.2927570716320724e-4,2.996021783145756e-4,0.697924837849418,0.03436072691119696,0.012493207965961898
1,1970s,AD90_1,AD90,447500.0709493527,6252499.57832838,perc_urban,Urban (% coverage),157,46.93829583095509,0.0012394684372885162,0.002113255534088529,0.0033527239713770445,-8.737870968000147e-4,-0.2606200523096237,0.03436072691119696,0.09757430278008784
1,1970s,AD90_1,AD90,447500.0709493527,6252499.57832838,prec_breeding,Precipitation,157,46.93829583095509,3.113332860646835e-4,0.0036713526484688187,0.003982685934533502,-0.0033600193624041355,-0.8436566220975944,0.03436072691119696,0.11590808147995509
1,1970s,AD90_1,AD90,447500.0709493527,6252499.57832838,tmean_breeding,Temperature,157,46.93829583095509,0.009030518274909517,4.191278854542962e-5,0.009072431063454943,0.008988605486364092,0.9907604062786971,0.03436072691119696,0.26403489911322436
1,1970s,AD91_1,AD91,447500.05017916387,6257499.546271402,hh,Land-use heterogeneity,157,42.68971837608554,0.003343589286762931,3.9695443534109355e-5,0.0033832847302970397,0.003303893843228821,0.9765343760880425,0.02908121608221291,0.1163391764887843
1,1970s,AD91_1,AD91,447500.05017916387,6257499.546271402,perc_cropland,Cropland (% coverage),157,42.68971837608554,0.0025043925022276608,0.0054681172431460725,0.00797250974537373,-0.0029637247409184126,-0.3717430063523216,0.02908121608221291,0.2741463672920472
1,1970s,AD91_1,AD91,447500.05017916387,6257499.546271402,perc_forest,Forest (% coverage),157,42.68971837608554,0.0017766743892742402,0.0022687166073399757,0.004045390996614218,-4.920422180657344e-4,-0.12163032410897937,0.02908121608221291,0.1391066654564188
1,1970s,AD91_1,AD91,447500.05017916387,6257499.546271402,perc_grass_shrub,Grass/Shrubland (% coverage),157,42.68971837608554,1.3885748753766404e-4,3.0045429610521166e-4,4.3931178364287575e-4,-1.6159680856754797e-4,-0.36784082418083475,0.02908121608221291,0.015106375964503569
1,1970s,AD91_1,AD91,447500.05017916387,6257499.546271402,perc_pasture,Pasture (% coverage),157,42.68971837608554,1.9558147084954654e-4,6.97552479178161e-5,2.6533671876736276e-4,1.258262229317305e-4,0.4742133825889744,0.02908121608221291,0.009123989795242846
1,1970s,AD91_1,AD91,447500.05017916387,6257499.546271402,perc_urban,Urban (% coverage),157,42.68971837608554,0.0020199495409526794,0.0016043852079854573,0.0036243347489381375,4.155643329672233e-4,0.11465947870543025,0.02908121608221291,0.12462803270303774
1,1970s,AD91_1,AD91,447500.05017916387,6257499.546271402,prec_breeding,Precipitation,157,42.68971837608554,8.6055486080704e-5,0.0031827515925046974,0.003268807078585401,-0.0030966961064239932,-0.9473474671267874,0.02908121608221291,0.11240269558688497
1,1970s,AD91_1,AD91,447500.05017916387,6257499.546271402,tmean_breeding,Temperature,157,42.68971837608554,0.006005366371131904,7.687390886224193e-5,0.006082240279994147,0.0059284924622696605,0.974721844148414,0.02908121608221291,0.20914669671308064
1,1970s,AD92_1,AD92,447500.02377636905,6262499.551973275,hh,Land-use heterogeneity,157,32.01136812689959,7.465671558982128e-4,4.5362985621992324e-5,7.919301415202052e-4,7.012041702762205e-4,0.8854369009495897,0.01495648324273854,0.05294895388624808
1,1970s,AD92_1,AD92,447500.02377636905,6262499.551973275,perc_cropland,Cropland (% coverage),157,32.01136812689959,0.003108958537780867,8.393352964442404e-4,0.003948293834225106,0.0022696232413366257,0.5748364576270355,0.01495648324273854,0.26398544164063603
1,1970s,AD92_1,AD92,447500.02377636905,6262499.551973275,perc_forest,Forest (% coverage),157,32.01136812689959,0.003133278574234091,3.512548921194837e-4,0.0034845334663535757,0.0027820236821146076,0.7983920111480185,0.01495648324273854,0.2329781279329375
1,1970s,AD92_1,AD92,447500.02377636905,6262499.551973275,perc_grass_shrub,Grass/Shrubland (% coverage),157,32.01136812689959,1.2217588430646782e-4,7.142949088376395e-5,1.9360537519023187e-4,5.074639342270386e-5,0.2621125233369254,0.01495648324273854,0.012944578752109283
