"site","start_occurrence","end_occurrence","species","species_label","comparison","change_class"
"AD90",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"AD91",0,1,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Gain"
"AD92",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"AD93",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"AD94",0,1,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Gain"
"AD95",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"AD96",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"AE81",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"AE82",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"AE83",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"AE90",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"AE91",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"AE92",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"AE93",0,1,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Gain"
"AE94",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"AE95",0,1,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Gain"
"AE96",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"AE97",1,1,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Present both"
"AE98",1,1,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Present both"
"AE99",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"AF81",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"AF82",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"AF90",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"AF91",1,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Loss"
"AF92",1,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Loss"
"AF93",1,1,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Present both"
"AF94",1,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Loss"
"AF95",1,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Loss"
"AF96",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"AF97",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"AF98",0,1,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Gain"
"AF99",0,1,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Gain"
"BC10",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"BC11",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"BC20",1,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Loss"
"BC21",1,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Loss"
"BC22",1,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Loss"
"BC23",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"BC30",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"BC31",1,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Loss"
"BC32",1,1,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Present both"
"BC33",1,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Loss"
"BC34",1,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Loss"
"BC40",0,1,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Gain"
"BC41",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"BC42",1,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Loss"
"BC43",1,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Loss"
"BC44",1,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Loss"
"BC45",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"BC50",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"BC51",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"BC52",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"BC53",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"BC54",1,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Loss"
"BC55",1,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Loss"
"BC56",1,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Loss"
"BC60",1,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Loss"
"BC61",1,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Loss"
"BC62",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"BC63",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"BC64",1,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Loss"
"BC65",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"BC70",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"BC71",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"BC72",1,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Loss"
"BC73",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"BC74",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"BC75",1,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Loss"
"BC80",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"BC81",1,1,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Present both"
"BC82",0,1,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Gain"
"BC83",1,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Loss"
"BC84",1,1,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Present both"
"BC85",1,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Loss"
"BC86",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"BC91",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"BC92",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"BC93",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"BC94",0,1,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Gain"
"BC95",1,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Loss"
"BC96",1,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Loss"
"BD00",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"BD01",0,1,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Gain"
"BD02",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"BD03",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"BD04",1,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Loss"
"BD05",1,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Loss"
"BD06",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"BD07",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"BD08",1,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Loss"
"BD09",1,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Loss"
"BD10",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
"BD11",1,1,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Present both"
"BD12",0,0,"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus","1990s to 2010s","Absent both"
