"species","species_label","occupied_1990s","occupied_2010s","gains","losses","persistent_presence","net_change","total_turnover","percent_change_from_1990s"
"Circus_aeruginosus","Western Marsh Harrier
Circus aeruginosus",416,681,418,153,263,265,571,63.7019230769231
"Milvus_milvus","Red Kite
Milvus milvus",42,274,256,24,18,232,280,552.380952380952
"Haliaeetus_albicilla","White-tailed Eagle
Haliaeetus albicilla",3,111,108,0,3,108,108,3600
"Buteo_buteo","Common Buzzard
Buteo buteo",1541,1627,295,209,1332,86,504,5.58079169370539
"Pernis_apivorus","European Honey-buzzard
Pernis apivorus",274,313,185,146,128,39,331,14.2335766423358
"Falco_subbuteo","Eurasian Hobby
Falco subbuteo",4,26,26,4,0,22,30,550
"Falco_peregrinus","Peregrine Falcon
Falco peregrinus",0,14,14,0,0,14,14,
"Aquila_chrysaetos","Golden Eagle
Aquila chrysaetos",0,5,5,0,0,5,5,
"Pandion_haliaetus","Osprey
Pandion haliaetus",1,6,5,0,1,5,5,500
"Circus_pygargus","Montagu's Harrier
Circus pygargus",34,34,22,22,12,0,44,0
"Circus_cyaneus","Hen Harrier
Circus cyaneus",7,0,0,7,0,-7,7,-100
"Falco_tinnunculus","Common Kestrel
Falco tinnunculus",1258,1120,372,510,748,-138,882,-10.9697933227345
"Astur_gentilis","Northern Goshawk
Astur gentilis",614,438,176,352,262,-176,528,-28.6644951140065
"Accipiter_nisus","Eurasian Sparrowhawk
Accipiter nisus",1188,751,245,682,506,-437,927,-36.7845117845118
