"site","richness_1990s","richness_2010s","delta_raptor_richness"
"AD90",1,3,2
"AD91",0,4,4
"AD92",0,0,0
"AD93",1,0,-1
"AD94",0,3,3
"AD95",1,0,-1
"AD96",0,0,0
"AE81",0,0,0
"AE82",1,2,1
"AE83",0,0,0
"AE90",0,1,1
"AE91",0,1,1
"AE92",0,0,0
"AE93",1,3,2
"AE94",1,1,0
"AE95",2,4,2
"AE96",0,2,2
"AE97",2,3,1
"AE98",3,4,1
"AE99",0,1,1
"AF81",1,0,-1
"AF82",2,0,-2
"AF90",1,0,-1
"AF91",3,3,0
"AF92",4,2,-2
"AF93",2,2,0
"AF94",5,1,-4
"AF95",2,0,-2
"AF96",0,1,1
"AF97",0,1,1
"AF98",2,2,0
"AF99",1,3,2
"BC10",2,0,-2
"BC11",0,0,0
"BC20",4,2,-2
"BC21",4,1,-3
"BC22",3,0,-3
"BC23",0,0,0
"BC30",2,2,0
"BC31",4,3,-1
"BC32",4,2,-2
"BC33",3,1,-2
"BC34",2,0,-2
"BC40",0,3,3
"BC41",1,1,0
"BC42",3,2,-1
"BC43",2,1,-1
"BC44",4,1,-3
"BC45",0,0,0
"BC50",2,2,0
"BC51",0,2,2
"BC52",0,0,0
"BC53",0,0,0
"BC54",5,1,-4
"BC55",4,1,-3
"BC56",2,0,-2
"BC60",3,1,-2
"BC61",3,0,-3
"BC62",0,0,0
"BC63",0,1,1
"BC64",4,1,-3
"BC65",1,3,2
"BC70",1,1,0
"BC71",2,2,0
"BC72",3,2,-1
"BC73",1,2,1
"BC74",1,0,-1
"BC75",4,3,-1
"BC80",0,1,1
"BC81",3,1,-2
"BC82",2,4,2
"BC83",4,1,-3
"BC84",4,4,0
"BC85",3,2,-1
"BC86",0,0,0
"BC91",0,0,0
"BC92",0,0,0
"BC93",1,1,0
"BC94",4,4,0
"BC95",3,1,-2
"BC96",3,2,-1
"BD00",1,3,2
"BD01",0,3,3
"BD02",1,0,-1
"BD03",1,0,-1
"BD04",2,1,-1
"BD05",2,1,-1
"BD06",1,1,0
"BD07",1,0,-1
"BD08",3,1,-2
"BD09",4,0,-4
"BD10",1,1,0
"BD11",4,3,-1
"BD12",2,3,1
"BD13",3,3,0
"BD14",1,3,2
"BD16",0,0,0
"BD17",1,0,-1
"BD18",3,3,0
"BD19",3,3,0
"BD20",1,3,2
"BD21",4,4,0
"BD22",3,3,0
"BD23",2,0,-2
"BD24",1,3,2
"BD26",1,2,1
"BD27",2,3,1
"BD28",2,2,0
"BD29",2,2,0
"BD30",2,1,-1
"BD31",4,3,-1
"BD32",3,2,-1
"BD33",3,1,-2
"BD34",0,0,0
"BD35",2,2,0
"BD36",1,2,1
"BD37",1,2,1
"BD38",3,0,-3
"BD39",3,3,0
"BD40",3,2,-1
"BD41",1,2,1
"BD42",3,1,-2
"BD43",3,1,-2
"BD44",3,1,-2
"BD45",3,2,-1
"BD46",3,3,0
"BD47",4,0,-4
"BD48",3,1,-2
"BD49",3,2,-1
"BD50",2,3,1
"BD51",1,2,1
"BD52",3,2,-1
"BD53",2,2,0
"BD54",0,1,1
"BD55",1,1,0
"BD56",2,1,-1
"BD57",4,1,-3
"BD58",3,1,-2
"BD59",3,3,0
"BD60",1,1,0
"BD61",4,3,-1
"BD62",3,3,0
"BD63",2,2,0
"BD64",3,1,-2
"BD65",4,3,-1
"BD66",3,1,-2
"BD67",3,1,-2
"BD68",4,2,-2
"BD69",2,2,0
"BD70",2,1,-1
"BD71",2,4,2
"BD72",2,2,0
"BD73",5,3,-2
"BD74",5,3,-2
"BD75",1,3,2
"BD76",2,0,-2
"BD77",4,1,-3
"BD78",1,2,1
"BD79",2,1,-1
"BD80",3,2,-1
"BD81",4,5,1
"BD82",5,6,1
"BD83",4,2,-2
"BD84",0,3,3
"BD85",0,1,1
"BD86",1,1,0
"BD87",0,2,2
"BD88",3,0,-3
"BD89",1,1,0
"BD90",3,2,-1
"BD91",3,3,0
"BD92",2,3,1
"BD93",1,2,1
"BD94",0,3,3
"BD95",2,1,-1
"BD96",2,3,1
"BD97",2,2,0
"BD98",0,1,1
"BD99",0,1,1
"BE02",0,0,0
"BE03",4,3,-1
"BE04",2,1,-1
"BE05",0,3,3
"BE06",3,3,0
"BE07",4,3,-1
"BE08",4,1,-3
"BE09",3,2,-1
"BE10",1,1,0
"BE11",2,3,1
"BE12",1,2,1
"BE13",3,4,1
"BE14",3,4,1
"BE15",4,2,-2
"BE16",3,5,2
"BE17",3,2,-1
"BE18",0,4,4
"BE19",2,1,-1
"BE20",4,3,-1
"BE21",2,1,-1
"BE22",2,2,0
"BE23",1,2,1
"BE24",2,1,-1
"BE25",3,4,1
"BE26",3,1,-2
"BE27",3,3,0
"BE28",2,2,0
"BE29",1,2,1
"BE30",2,4,2
"BE31",3,4,1
"BE32",2,2,0
"BE33",1,1,0
"BE34",4,2,-2
"BE35",3,5,2
"BE36",1,1,0
"BE37",4,4,0
"BE38",3,4,1
"BE39",1,4,3
"BE40",1,3,2
"BE41",0,2,2
"BE42",1,1,0
"BE43",1,2,1
"BE44",2,3,1
"BE45",2,2,0
"BE46",3,1,-2
"BE47",4,2,-2
"BE48",4,4,0
"BE49",3,2,-1
"BE50",1,3,2
"BE51",3,1,-2
"BE52",1,2,1
"BE53",0,2,2
"BE54",2,1,-1
"BE55",1,1,0
"BE56",3,1,-2
"BE57",4,3,-1
"BE58",3,4,1
"BE59",1,1,0
"BE60",3,1,-2
"BE61",1,2,1
"BE62",4,3,-1
"BE63",3,2,-1
"BE64",2,1,-1
"BE65",2,3,1
"BE66",2,3,1
"BE67",2,2,0
"BE68",3,2,-1
"BE69",3,2,-1
"BE70",2,1,-1
"BE71",0,2,2
"BE72",1,3,2
"BE73",3,2,-1
"BE74",2,1,-1
"BE75",2,3,1
"BE76",3,3,0
"BE77",3,3,0
"BE78",2,2,0
"BE79",2,1,-1
"BE80",2,3,1
"BE81",2,1,-1
"BE82",4,2,-2
"BE83",3,1,-2
"BE84",3,3,0
"BE85",1,3,2
"BE86",3,4,1
"BE87",4,3,-1
"BE88",3,3,0
"BE89",2,3,1
"BE90",2,4,2
"BE91",1,1,0
"BE92",4,2,-2
"BE93",1,2,1
"BE94",2,1,-1
"BE95",2,3,1
"BE96",2,2,0
"BE97",2,2,0
"BE98",2,1,-1
"BE99",4,2,-2
"BF00",2,2,0
"BF01",2,2,0
"BF02",7,3,-4
"BF03",4,2,-2
"BF04",5,3,-2
"BF05",5,4,-1
"BF06",4,4,0
"BF07",2,3,1
"BF08",1,1,0
"BF10",0,0,0
"BF11",4,2,-2
"BF12",3,4,1
"BF13",1,2,1
"BF14",3,3,0
"BF15",1,1,0
"BF16",2,2,0
"BF17",2,1,-1
"BF18",1,0,-1
"BF20",2,3,1
"BF21",3,1,-2
"BF22",6,2,-4
"BF23",3,3,0
"BF24",2,3,1
"BF25",3,3,0
"BF26",3,3,0
"BF27",1,2,1
"BF28",3,2,-1
"BF29",2,3,1
"BF30",2,3,1
"BF31",3,1,-2
"BF32",4,3,-1
"BF33",4,3,-1
"BF34",3,4,1
"BF35",2,4,2
"BF36",3,2,-1
"BF37",1,1,0
"BF38",3,4,1
"BF39",1,3,2
"BF40",3,2,-1
"BF41",1,2,1
"BF42",1,3,2
"BF43",3,3,0
"BF44",1,1,0
"BF45",1,4,3
"BF46",2,2,0
"BF47",2,2,0
"BF48",3,1,-2
"BF49",5,3,-2
"BF50",3,1,-2
"BF51",3,2,-1
"BF52",4,3,-1
"BF53",3,3,0
"BF54",1,1,0
"BF55",2,3,1
"BF56",2,1,-1
"BF57",0,1,1
"BF58",1,1,0
"BF59",5,5,0
"BF60",3,2,-1
"BF61",2,4,2
"BF62",1,2,1
