"species","avonet_species","family","order","genus","common_name","plot_label"
"Accipiter_nisus","Accipiter nisus","Accipitridae","Accipitriformes","Accipiter","Eurasian Sparrowhawk","Eurasian Sparrowhawk
Accipiter nisus"
"Aquila_chrysaetos","Aquila chrysaetos","Accipitridae","Accipitriformes","Aquila","Golden Eagle","Golden Eagle
Aquila chrysaetos"
"Astur_gentilis","Astur gentilis","Accipitridae","Accipitriformes","Astur","Northern Goshawk","Northern Goshawk
Astur gentilis"
"Buteo_buteo","Buteo buteo","Accipitridae","Accipitriformes","Buteo","Common Buzzard","Common Buzzard
Buteo buteo"
"Circus_aeruginosus","Circus aeruginosus","Accipitridae","Accipitriformes","Circus","Western Marsh Harrier","Western Marsh Harrier
Circus aeruginosus"
"Circus_cyaneus","Circus cyaneus","Accipitridae","Accipitriformes","Circus","Hen Harrier","Hen Harrier
Circus cyaneus"
"Circus_pygargus","Circus pygargus","Accipitridae","Accipitriformes","Circus","Montagu's Harrier","Montagu's Harrier
Circus pygargus"
"Haliaeetus_albicilla","Haliaeetus albicilla","Accipitridae","Accipitriformes","Haliaeetus","White-tailed Eagle","White-tailed Eagle
Haliaeetus albicilla"
"Milvus_milvus","Milvus milvus","Accipitridae","Accipitriformes","Milvus","Red Kite","Red Kite
Milvus milvus"
"Pernis_apivorus","Pernis apivorus","Accipitridae","Accipitriformes","Pernis","European Honey-buzzard","European Honey-buzzard
Pernis apivorus"
"Pandion_haliaetus","Pandion haliaetus","Pandionidae","Accipitriformes","Pandion","Osprey","Osprey
Pandion haliaetus"
"Falco_peregrinus","Falco peregrinus","Falconidae","Falconiformes","Falco","Peregrine Falcon","Peregrine Falcon
Falco peregrinus"
"Falco_subbuteo","Falco subbuteo","Falconidae","Falconiformes","Falco","Eurasian Hobby","Eurasian Hobby
Falco subbuteo"
"Falco_tinnunculus","Falco tinnunculus","Falconidae","Falconiformes","Falco","Common Kestrel","Common Kestrel
Falco tinnunculus"
