"survey","coverage","site","atlas","period","species_richness","raw_species_pool_size","pct_lnd"
"AD90_1","Good","AD90","1","1970s",45,201,37.8632806535756
"AD91_1","Good","AD91","1","1970s",42,201,78.2495876849769
"AD93_1","Good","AD93","1","1970s",41,201,79.2863502418833
"AD95_1","Good","AD95","1","1970s",33,201,31.4374353690826
"AE94_1","Good","AE94","1","1970s",47,201,98.5169535689187
"AE95_1","Good","AE95","1","1970s",49,201,86.2576147240665
"AE98_1","Good","AE98","1","1970s",71,201,60.1013027143366
"AF81_1","Good","AF81","1","1970s",60,201,40.0506412063799
"AF82_1","Good","AF82","1","1970s",46,201,29.5057592456808
"AF91_1","Good","AF91","1","1970s",61,201,96.0224708397579
"AF92_1","Good","AF92","1","1970s",79,201,100
"AF93_1","Good","AF93","1","1970s",85,201,93.5680064039386
"AF94_1","Good","AF94","1","1970s",49,201,64.920690383459
"AF96_1","Good","AF96","1","1970s",42,201,31.9770089559466
"AF98_1","Good","AF98","1","1970s",49,201,35.8703357062038
"AF99_1","Good","AF99","1","1970s",47,201,29.1649009559219
"BC20_1","Good","BC20","1","1970s",58,201,100
"BC30_1","Good","BC30","1","1970s",49,201,100
"BC32_1","Good","BC32","1","1970s",50,201,100
"BC33_1","Good","BC33","1","1970s",49,201,90.0083396025285
"BC34_1","Good","BC34","1","1970s",45,201,26.5747147686925
"BC43_1","Good","BC43","1","1970s",65,201,100
"BC44_1","Good","BC44","1","1970s",61,201,92.8996909142348
"BC45_1","Good","BC45","1","1970s",33,201,34.1394063685703
"BC50_1","Good","BC50","1","1970s",51,201,73.9954882587652
"BC53_1","Good","BC53","1","1970s",50,201,100
"BC54_1","Good","BC54","1","1970s",60,201,100
"BC60_1","Good","BC60","1","1970s",72,201,100
"BC62_1","Good","BC62","1","1970s",37,201,57.4642923240962
"BC65_1","Good","BC65","1","1970s",54,201,87.6511598551178
"BC70_1","Good","BC70","1","1970s",66,201,98.0858227628212
"BC71_1","Good","BC71","1","1970s",61,201,36.9923400946174
"BC72_1","Good","BC72","1","1970s",46,201,42.2227095505843
"BC73_1","Good","BC73","1","1970s",58,201,92.9218254570981
"BC75_1","Good","BC75","1","1970s",51,201,83.1903167381744
"BC81_1","Good","BC81","1","1970s",61,201,92.7566629291878
"BC82_1","Good","BC82","1","1970s",74,201,38.2382493245741
"BC83_1","Good","BC83","1","1970s",70,201,59.2589059914817
"BC84_1","Good","BC84","1","1970s",78,201,98.1573092073059
"BC85_1","Good","BC85","1","1970s",49,201,99.9184959464101
"BC93_1","Good","BC93","1","1970s",44,201,30.6585304040283
"BC94_1","Good","BC94","1","1970s",78,201,100
"BC95_1","Good","BC95","1","1970s",55,201,100
"BC96_1","Good","BC96","1","1970s",60,201,84.0788044916003
"BD07_1","Good","BD07","1","1970s",60,201,27.8918391533683
"BD08_1","Good","BD08","1","1970s",82,201,34.2154392038693
"BD11_1","Good","BD11","1","1970s",60,201,100
"BD12_1","Good","BD12","1","1970s",46,201,100
"BD13_1","Good","BD13","1","1970s",49,201,94.1767054329643
"BD18_1","Good","BD18","1","1970s",80,201,80.9207023255906
"BD19_1","Good","BD19","1","1970s",67,201,100
"BD21_1","Good","BD21","1","1970s",52,201,100
"BD26_1","Good","BD26","1","1970s",65,201,61.4670840884042
"BD27_1","Good","BD27","1","1970s",56,201,100
"BD28_1","Good","BD28","1","1970s",59,201,100
"BD35_1","Good","BD35","1","1970s",42,201,47.2858626474541
"BD36_1","Good","BD36","1","1970s",59,201,66.9227163233266
"BD37_1","Good","BD37","1","1970s",66,201,75.8509346158413
"BD39_1","Good","BD39","1","1970s",62,201,98.2806491818695
"BD43_1","Good","BD43","1","1970s",41,201,51.9751064518396
"BD45_1","Good","BD45","1","1970s",52,201,91.5697689701455
"BD46_1","Good","BD46","1","1970s",50,201,45.8239324691135
"BD47_1","Good","BD47","1","1970s",65,201,54.4017699453592
"BD48_1","Good","BD48","1","1970s",67,201,40.5650898560645
"BD49_1","Good","BD49","1","1970s",57,201,57.6911318923478
"BD50_1","Good","BD50","1","1970s",44,201,100
"BD51_1","Good","BD51","1","1970s",61,201,79.9539888757725
"BD55_1","Good","BD55","1","1970s",54,201,31.493224224677
"BD56_1","Good","BD56","1","1970s",63,201,39.8797191099966
"BD57_1","Good","BD57","1","1970s",69,201,87.1031476010498
"BD58_1","Good","BD58","1","1970s",51,201,96.2066318241274
"BD59_1","Good","BD59","1","1970s",74,201,34.914934145503
"BD61_1","Good","BD61","1","1970s",61,201,86.1028611707534
"BD66_1","Good","BD66","1","1970s",52,201,57.0495874789028
"BD67_1","Good","BD67","1","1970s",44,201,100
"BD68_1","Good","BD68","1","1970s",51,201,100
"BD70_1","Good","BD70","1","1970s",58,201,100
"BD73_1","Good","BD73","1","1970s",55,201,97.6213372857504
"BD76_1","Good","BD76","1","1970s",75,201,44.6876418573642
"BD77_1","Good","BD77","1","1970s",76,201,66.4189847768357
"BD78_1","Good","BD78","1","1970s",74,201,100
"BD80_1","Good","BD80","1","1970s",45,201,100
"BD81_1","Good","BD81","1","1970s",58,201,100
"BD82_1","Good","BD82","1","1970s",59,201,100
"BD84_1","Good","BD84","1","1970s",39,201,100
"BD86_1","Good","BD86","1","1970s",57,201,70.1576931662302
"BD87_1","Good","BD87","1","1970s",51,201,82.1975610079249
"BD88_1","Good","BD88","1","1970s",60,201,39.718526470875
"BD89_1","Good","BD89","1","1970s",47,201,26.7442604611454
"BD91_1","Good","BD91","1","1970s",62,201,100
"BD93_1","Good","BD93","1","1970s",48,201,100
"BD96_1","Good","BD96","1","1970s",47,201,99.6428883447682
"BD97_1","Good","BD97","1","1970s",60,201,100
"BD98_1","Good","BD98","1","1970s",49,201,92.2469573650463
"BE03_1","Good","BE03","1","1970s",48,201,71.4720010768625
"BE05_1","Good","BE05","1","1970s",53,201,100
"BE07_1","Good","BE07","1","1970s",61,201,91.2639291465244
"BE08_1","Good","BE08","1","1970s",61,201,38.7987616335452
"BE09_1","Good","BE09","1","1970s",51,201,68.4932976221032
"BE11_1","Good","BE11","1","1970s",61,201,59.4235802014122
"BE12_1","Good","BE12","1","1970s",40,201,74.8183395242528
"BE13_1","Good","BE13","1","1970s",42,201,100
"BE14_1","Good","BE14","1","1970s",47,201,100
"BE15_1","Good","BE15","1","1970s",46,201,100
"BE16_1","Good","BE16","1","1970s",46,201,100
"BE17_1","Good","BE17","1","1970s",73,201,99.2996588061194
"BE18_1","Good","BE18","1","1970s",60,201,89.9537037507286
"BE20_1","Good","BE20","1","1970s",58,201,95.4598068353035
"BE22_1","Good","BE22","1","1970s",52,201,100
"BE23_1","Good","BE23","1","1970s",55,201,100
"BE25_1","Good","BE25","1","1970s",64,201,100
"BE27_1","Good","BE27","1","1970s",45,201,100
"BE28_1","Good","BE28","1","1970s",46,201,100
"BE29_1","Good","BE29","1","1970s",48,201,100
"BE30_1","Good","BE30","1","1970s",61,201,100
"BE31_1","Good","BE31","1","1970s",58,201,100
"BE32_1","Good","BE32","1","1970s",49,201,100
"BE33_1","Good","BE33","1","1970s",57,201,100
"BE34_1","Good","BE34","1","1970s",61,201,100
"BE36_1","Good","BE36","1","1970s",39,201,100
"BE40_1","Good","BE40","1","1970s",61,201,100
"BE41_1","Good","BE41","1","1970s",50,201,100
"BE43_1","Good","BE43","1","1970s",46,201,100
"BE45_1","Good","BE45","1","1970s",47,201,100
"BE50_1","Good","BE50","1","1970s",61,201,100
"BE52_1","Good","BE52","1","1970s",49,201,100
"BE53_1","Good","BE53","1","1970s",52,201,100
"BE54_1","Good","BE54","1","1970s",46,201,100
"BE55_1","Good","BE55","1","1970s",55,201,100
"BE59_1","Good","BE59","1","1970s",44,201,100
"BE60_1","Good","BE60","1","1970s",62,201,100
"BE62_1","Good","BE62","1","1970s",54,201,100
"BE63_1","Good","BE63","1","1970s",45,201,100
"BE65_1","Good","BE65","1","1970s",46,201,100
"BE70_1","Good","BE70","1","1970s",54,201,100
"BE71_1","Good","BE71","1","1970s",59,201,100
"BE78_1","Good","BE78","1","1970s",48,201,100
"BE80_1","Good","BE80","1","1970s",59,201,100
"BE82_1","Good","BE82","1","1970s",53,201,100
"BE84_1","Good","BE84","1","1970s",51,201,100
"BE85_1","Good","BE85","1","1970s",42,201,100
"BE86_1","Good","BE86","1","1970s",50,201,100
"BE89_1","Good","BE89","1","1970s",72,201,100
"BE90_1","Good","BE90","1","1970s",58,201,100
"BE91_1","Good","BE91","1","1970s",62,201,100
"BE92_1","Good","BE92","1","1970s",55,201,100
"BE94_1","Good","BE94","1","1970s",56,201,100
"BE95_1","Good","BE95","1","1970s",47,201,100
"BE96_1","Good","BE96","1","1970s",39,201,100
