"site","richness_1970s","richness_1990s","delta_richness_1990s_minus_1970s","pct_lnd"
"AD93",41,63,22,79.2863502418833
"AD95",33,65,32,31.4374353690826
"AE98",69,75,6,60.1013027143366
"AF91",57,68,11,96.0224708397579
"AF92",76,66,-10,100
"AF93",83,70,-13,93.5680064039386
"AF94",49,67,18,64.920690383459
"AF98",48,50,2,35.8703357062038
"AF99",47,38,-9,29.1649009559219
"BC20",58,60,2,100
"BC32",50,75,25,100
"BC33",49,70,21,90.0083396025285
"BC44",59,72,13,92.8996909142348
"BC54",60,84,24,100
"BC60",71,56,-15,100
"BC65",54,67,13,87.6511598551178
"BC72",46,56,10,42.2227095505843
"BC75",51,66,15,83.1903167381744
"BC82",74,62,-12,38.2382493245741
"BC83",68,88,20,59.2589059914817
"BC84",77,86,9,98.1573092073059
"BC85",49,52,3,99.9184959464101
"BC94",75,94,19,100
"BC95",54,62,8,100
"BC96",60,67,7,84.0788044916003
"BD07",59,60,1,27.8918391533683
"BD08",80,70,-10,34.2154392038693
"BD11",60,64,4,100
"BD12",46,48,2,100
"BD13",48,72,24,94.1767054329643
"BD19",67,49,-18,100
"BD21",52,63,11,100
"BD35",42,62,20,47.2858626474541
"BD36",59,62,3,66.9227163233266
"BD39",61,75,14,98.2806491818695
"BD43",41,62,21,51.9751064518396
"BD45",52,71,19,91.5697689701455
"BD46",50,50,0,45.8239324691135
"BD49",57,58,1,57.6911318923478
"BD50",44,42,-2,100
"BD51",60,65,5,79.9539888757725
"BD56",62,51,-11,39.8797191099966
"BD57",68,65,-3,87.1031476010498
"BD61",60,77,17,86.1028611707534
"BD66",52,57,5,57.0495874789028
"BD68",51,57,6,100
"BD70",58,65,7,100
"BD73",55,96,41,97.6213372857504
"BD76",74,59,-15,44.6876418573642
"BD77",75,73,-2,66.4189847768357
"BD80",45,64,19,100
"BD81",58,70,12,100
"BD82",59,80,21,100
"BD88",60,66,6,39.718526470875
"BD91",62,58,-4,100
"BE03",47,68,21,71.4720010768625
"BE07",60,77,17,91.2639291465244
"BE08",60,78,18,38.7987616335452
"BE09",51,48,-3,68.4932976221032
"BE11",61,69,8,59.4235802014122
"BE12",40,67,27,74.8183395242528
"BE13",41,61,20,100
"BE14",46,63,17,100
"BE15",45,57,12,100
"BE16",44,63,19,100
"BE17",71,71,0,99.2996588061194
"BE20",58,63,5,95.4598068353035
"BE22",52,57,5,100
"BE27",43,54,11,100
"BE30",58,57,-1,100
"BE32",49,56,7,100
"BE34",61,69,8,100
"BE36",38,62,24,100
"BE45",47,52,5,100
"BE55",54,47,-7,100
"BE59",43,54,11,100
"BE62",54,55,1,100
"BE63",45,63,18,100
"BE78",47,58,11,100
"BE80",59,79,20,100
"BE82",53,72,19,100
"BE84",51,57,6,100
"BE86",50,56,6,100
"BE89",72,48,-24,100
"BE92",55,70,15,100
"BE94",56,68,12,100
"BE95",47,55,8,100
"BE96",38,56,18,100
"BE99",62,80,18,100
"BF02",54,83,29,90.0620386642933
"BF03",63,84,21,100
"BF04",48,90,42,100
"BF05",59,91,32,100
"BF06",54,64,10,100
"BF07",51,59,8,95.872277152451
"BF08",44,58,14,64.9344661919674
"BF11",58,77,19,70.0185889959049
"BF16",43,57,14,100
"BF18",33,48,15,38.3930891877643
"BF21",50,65,15,100
"BF31",54,61,7,100
"BF32",71,79,8,100
"BF33",63,73,10,100
"BF38",47,72,25,100
"BF49",66,69,3,100
"BF50",55,58,3,100
"BF58",43,44,1,100
"BF59",61,56,-5,100
"BF60",59,68,9,100
"BF61",45,60,15,100
"BF72",53,69,16,100
"BF80",52,56,4,100
"BF81",55,60,5,100
"BF83",60,69,9,100
"BF97",47,64,17,100
"BG27",64,61,-3,49.8379213582154
"BG28",59,69,10,72.4785331288395
"BG29",87,76,-11,45.2829931338949
"BG30",37,28,-9,33.5351059999925
"BG31",85,99,14,78.6841263949782
"BG32",91,85,-6,68.5141514097215
