"species","occupied_grid_cells_1970s","occupied_grid_cells_1990s","n_shared_grid_cells","prop_occupied_1970s","prop_occupied_1990s","delta_occupied_grid_cells","delta_occupancy_proportion","delta_occupancy_percentage_points","change_class","records_1970s","records_1990s","records_2010s","foraging_guild_consensus"
"Acrocephalus_schoenobaenus",622,271,895,0.694972067039106,0.302793296089385,-351,-0.392178770949721,-39.2178770949721,"Decrease",622,271,291,"Marsh warblers"
"Emberiza_calandra",759,491,895,0.84804469273743,0.548603351955307,-268,-0.299441340782123,-29.9441340782123,"Decrease",759,491,523,"Buntings"
"Gallinago_gallinago",508,376,895,0.567597765363128,0.420111731843575,-132,-0.147486033519553,-14.7486033519553,"Decrease",508,376,256,"Scolopacids"
"Riparia_riparia",507,378,895,0.566480446927374,0.422346368715084,-129,-0.144134078212291,-14.4134078212291,"Decrease",507,378,268,"Aerial insectivores"
"Athene_noctua",159,32,895,0.177653631284916,0.0357541899441341,-127,-0.141899441340782,-14.1899441340782,"Decrease",159,32,6,"Owls"
"Oenanthe_oenanthe",259,137,895,0.289385474860335,0.153072625698324,-122,-0.136312849162011,-13.6312849162011,"Decrease",259,137,65,"Low flycatching feeders"
"Motacilla_flava",297,178,895,0.331843575418994,0.198882681564246,-119,-0.132960893854749,-13.2960893854749,"Decrease",297,178,224,"Open-land insectivores"
"Chroicocephalus_ridibundus",323,215,895,0.360893854748603,0.240223463687151,-108,-0.120670391061453,-12.0670391061453,"Decrease",323,215,137,"Gulls"
"Oriolus_oriolus",135,43,895,0.150837988826816,0.0480446927374302,-92,-0.102793296089385,-10.2793296089385,"Decrease",135,43,14,"Orioles"
"Coloeus_monedula",600,686,895,0.670391061452514,0.766480446927374,86,0.0960893854748603,9.60893854748603,"Stable",600,686,634,"Omnivorous corvids"
"Delichon_urbicum",703,789,895,0.785474860335196,0.881564245810056,86,0.0960893854748603,9.60893854748603,"Stable",703,789,793,"Aerial insectivores"
"Motacilla_cinerea",68,154,895,0.0759776536312849,0.172067039106145,86,0.0960893854748603,9.60893854748603,"Stable",68,154,118,"Open-land insectivores"
"Scolopax_rusticola",153,238,895,0.170949720670391,0.265921787709497,85,0.0949720670391062,9.49720670391062,"Stable",153,238,204,"Scolopacids"
"Luscinia_luscinia",534,619,895,0.596648044692737,0.691620111731844,85,0.0949720670391061,9.49720670391061,"Stable",534,619,539,"Low flycatching feeders"
"Sylvia_atricapilla",776,858,895,0.867039106145251,0.958659217877095,82,0.0916201117318436,9.16201117318436,"Stable",776,858,881,"Foliage gleaners"
"Chloris_chloris",790,870,895,0.88268156424581,0.972067039106145,80,0.0893854748603352,8.93854748603352,"Stable",790,870,861,"Passerine seedeaters"
"Tadorna_tadorna",501,579,895,0.559776536312849,0.646927374301676,78,0.0871508379888268,8.71508379888268,"Stable",501,579,431,"Dabbling ducks"
"Ficedula_hypoleuca",348,425,895,0.388826815642458,0.474860335195531,77,0.0860335195530726,8.60335195530726,"Stable",348,425,192,"Flycatchers"
"Apus_apus",278,354,895,0.310614525139665,0.395530726256983,76,0.0849162011173185,8.49162011173185,"Stable",278,354,332,"Aerial insectivores"
"Charadrius_dubius",73,148,895,0.0815642458100559,0.16536312849162,75,0.0837988826815642,8.37988826815642,"Stable",73,148,214,"Plovers"
"Regulus_regulus",684,758,895,0.764245810055866,0.846927374301676,74,0.0826815642458101,8.26815642458101,"Stable",684,758,657,"Tit-like birds"
"Phylloscopus_sibilatrix",476,402,895,0.531843575418994,0.449162011173184,-74,-0.08268156424581,-8.268156424581,"Stable",476,402,370,"Foliage gleaners"
"Motacilla_alba",802,874,895,0.89608938547486,0.976536312849162,72,0.0804469273743016,8.04469273743016,"Stable",802,874,876,"Open-land insectivores"
"Podiceps_cristatus",279,348,895,0.311731843575419,0.388826815642458,69,0.0770949720670391,7.70949720670391,"Stable",279,348,295,"Aquatic pursuers"
