"species","occupied_grid_cells_1970s","occupied_grid_cells_1990s","n_shared_grid_cells","prop_occupied_1970s","prop_occupied_1990s","delta_occupied_grid_cells","delta_occupancy_proportion","delta_occupancy_percentage_points","change_class","records_1970s","records_1990s","records_2010s","foraging_guild_consensus"
"Acanthis_flammea",67,417,895,0.0748603351955307,0.465921787709497,350,0.391061452513967,39.1061452513967,"Increase",67,417,452,"Passerine seedeaters"
"Accipiter_nisus",361,637,895,0.403351955307263,0.711731843575419,276,0.308379888268156,30.8379888268156,"Increase",361,637,394,"Diurnal raptors"
"Turdus_viscivorus",262,497,895,0.292737430167598,0.555307262569832,235,0.262569832402235,26.2569832402235,"Increase",262,497,453,"Thrushes"
"Buteo_buteo",496,730,895,0.554189944134078,0.815642458100559,234,0.26145251396648,26.145251396648,"Increase",496,730,744,"Diurnal raptors"
"Phylloscopus_collybita",608,839,895,0.679329608938547,0.937430167597765,231,0.258100558659218,25.8100558659218,"Increase",608,839,889,"Foliage gleaners"
"Falco_tinnunculus",428,647,895,0.478212290502793,0.722905027932961,219,0.244692737430168,24.4692737430168,"Increase",428,647,517,"Diurnal raptors"
"Astur_gentilis",127,332,895,0.141899441340782,0.370949720670391,205,0.229050279329609,22.9050279329609,"Increase",127,332,253,"Diurnal raptors"
"Turdus_pilaris",38,235,895,0.0424581005586592,0.262569832402235,197,0.220111731843575,22.0111731843575,"Increase",38,235,138,"Thrushes"
"Tachybaptus_ruficollis",207,402,895,0.231284916201117,0.449162011173184,195,0.217877094972067,21.7877094972067,"Increase",207,402,439,"Aquatic pursuers"
"Circus_aeruginosus",69,258,895,0.0770949720670391,0.288268156424581,189,0.211173184357542,21.1173184357542,"Increase",69,258,363,"Diurnal raptors"
"Corvus_corax",79,262,895,0.088268156424581,0.292737430167598,183,0.204469273743017,20.4469273743017,"Increase",79,262,560,"Omnivorous corvids"
"Phoenicurus_ochruros",82,265,895,0.0916201117318436,0.29608938547486,183,0.204469273743017,20.4469273743017,"Increase",82,265,338,"Low flycatching feeders"
