period,variable,variable_label,mean_value,sd_value,q10,q50,q90
1970s,hh,Land-use heterogeneity,0.434204235075491,0.228823289772673,0.08348020140029336,0.480924881210568,0.7116470523506155
1970s,perc_cropland,Cropland,0.5584718573694387,0.32723748714239254,0.03809530013872295,0.6239454337793555,0.953462136665731
1970s,perc_forest,Forest,0.10401747817882709,0.16236497160786348,0,0.0299214147800638,0.3284448571800795
1970s,perc_grass_shrub,Grass/Shrubland,0.0544072103404286,0.07659907839546017,0,0.0243127664128194,0.15757722620436498
1970s,perc_pasture,Pasture,0.05130629633513145,0.09935729562341702,0,0,0.166562747077744
1970s,perc_urban,Urban,0.0987258320697807,0.14084422666790042,0,0.04870933595651575,0.257792643869509
1970s,prec_breeding,Breeding precipitation,128.35983028092755,12.290676940288774,113.7288033233265,126.2008668289715,146.434431785554
1970s,tmean_breeding,Breeding temperature,8.395019836554825,0.19201524932505487,8.19476665009137,8.416934228376359,8.59009635863981
2010s,hh,Land-use heterogeneity,0.4875842997663807,0.1981149527314115,0.1774004077531764,0.5292677406183606,0.7107712365698817
2010s,perc_cropland,Cropland,0.5142075306985827,0.2961445296133415,0.07013644279268928,0.5405696404449081,0.8952535069992338
2010s,perc_forest,Forest,0.1284950998818286,0.17593641286504877,0,0.0557443344088179,0.37094929935462917
2010s,perc_grass_shrub,Grass/Shrubland,0.06745662424272313,0.07703680799067238,0,0.046231148336590755,0.17679879105612142
2010s,perc_pasture,Pasture,0.04693719245247113,0.09263165393243405,0,0,0.1499962740644053
2010s,perc_urban,Urban,0.11447925334818554,0.1488016568276817,0,0.0666014729352917,0.29672528233991513
2010s,prec_breeding,Breeding precipitation,204.77085135950654,21.152541174133255,181.80407278916823,200.8740465245255,236.12252654463
2010s,tmean_breeding,Breeding temperature,9.559424522808142,0.19627591662652558,9.347146569755806,9.550752019697544,9.833105856713651
