period,dominant_model_land_use,n_cells,prop_cells
1970s,Urban,118,0.06644144144144144
1970s,Cropland,1327,0.7471846846846847
1970s,Pasture,105,0.05912162162162162
1970s,Forest,185,0.10416666666666667
1970s,Grass/Shrubland,41,0.023085585585585586
1990s,Urban,143,0.0772972972972973
1990s,Cropland,1353,0.7313513513513513
1990s,Pasture,97,0.05243243243243243
1990s,Forest,216,0.11675675675675676
1990s,Grass/Shrubland,41,0.02216216216216216
2010s,Urban,161,0.08455882352941177
2010s,Cropland,1399,0.7347689075630253
2010s,Pasture,84,0.04411764705882353
2010s,Forest,242,0.12710084033613445
2010s,Grass/Shrubland,18,0.009453781512605041
