period,land_use_type,n_cells,mean_percentage,median_percentage,q10_percentage,q90_percentage
1970s,Urban,1776,9.872583206978065,4.870933595651575,0,25.7792643869509
1970s,Cropland,1776,55.84718573694388,62.39454337793555,3.809530013872295,95.3462136665731
1970s,Pasture,1776,5.130629633513149,0,0,16.6562747077744
1970s,Forest,1776,10.401747817882711,2.9921414780063804,0,32.844485718007945
1970s,Grass/Shrubland,1776,5.440721034042871,2.43127664128194,0,15.7577226204365
1990s,Urban,1850,10.79924433409896,6.01314629366326,0,27.80449315538664
1990s,Cropland,1850,50.86306466697286,54.870801614703254,5.001012022781608,88.54102455695053
1990s,Pasture,1850,5.701459206247015,1.4734276932408799,0,17.04826681284991
1990s,Forest,1850,11.64054202951502,4.8709332149934,0,33.739954102295336
1990s,Grass/Shrubland,1850,8.066084157680963,5.6180106145256055,0,20.005218970452308
2010s,Urban,1904,11.447925334818558,6.66014729352917,0,29.672528233991514
2010s,Cropland,1904,51.42075306985828,54.0569640444908,7.013644279268928,89.52535069992337
2010s,Pasture,1904,4.69371924524711,0,0,14.999627406440531
2010s,Forest,1904,12.849509988182852,5.574433440881791,0,37.094929935462915
2010s,Grass/Shrubland,1904,6.745662424272321,4.623114833659075,0,17.679879105612144
