period,land_use_type,n_cells,n_present,prop_present,mean_positive_percentage,median_positive_percentage,q10_positive_percentage,q90_positive_percentage
1970s,Urban,1776,1377,0.7753378378378378,12.733266358455378,7.59373594230026,1.626860673948066,30.592677160930492
1970s,Cropland,1776,1656,0.9324324324324325,59.89408325411372,65.9975735562264,14.33090768801925,96.0597447203873
1970s,Pasture,1776,795,0.44763513513513514,11.46163299260292,7.16900769086541,1.3741060393603621,27.768114245180023
1970s,Forest,1776,1116,0.6283783783783784,16.553319108028397,9.74186770927521,1.5820431741294798,41.48980263844915
1970s,Grass/Shrubland,1776,1106,0.6227477477477478,8.736637031157445,6.217306471566914,1.21403563690219,19.489927611575702
1990s,Urban,1850,1496,0.8086486486486486,13.35468049337103,8.288897448896229,1.8059106347908451,31.261171108469398
1990s,Cropland,1850,1751,0.9464864864864865,53.738817609308846,57.507762875545,12.0278705271956,89.0129627380305
1990s,Pasture,1850,1098,0.5935135135135136,9.60628372637245,5.619190012170289,1.090264907453526,24.472358577017694
1990s,Forest,1850,1258,0.68,17.118444161051496,10.559579996803649,1.6813868206130802,43.12343241684171
1990s,Grass/Shrubland,1850,1501,0.8113513513513514,9.941542765962545,7.519963701656191,1.7797060038091,21.681116898118997
2010s,Urban,1904,1570,0.8245798319327731,13.883343845537928,8.89785295265471,1.850818590813371,33.22559746612929
2010s,Cropland,1904,1801,0.9459033613445378,54.3615290644143,56.9475606463855,14.0705221688348,89.9835583559954
2010s,Pasture,1904,946,0.49684873949579833,9.446978269503722,5.134264699485635,0.700817698109514,24.328804172428747
2010s,Forest,1904,1376,0.7226890756302521,17.78013591388093,11.33164066786755,1.590971797568415,45.02752391854005
2010s,Grass/Shrubland,1904,1436,0.7542016806722689,8.944109509620114,6.94758061081434,1.29823754089221,19.2795420933332
