response,site_filter,atlas,period,model_id,model_type,predictor,model_label,formula,bandwidth,adaptive,bandwidth_value,n_sites,aicc,aic,bic,rss,enp,edf,gw_r2,gw_r2_adj,local_r2_mean,local_r2_median,local_r2_min,local_r2_max
cwm_sti,common-sites,1,1970s,hh,single_predictor,hh,Land-use heterogeneity,cwm_sti ~ hh,fixed_100km,FALSE,100000,1726,-2968.502303190242,-2989.081054553744,-4598.0948356798735,17.696831138122533,23.682758266748756,1702.3172417332512,0.34399994757723495,0.33486826403027015,0.3544968248029113,0.3593568554467925,0.12454783597553035,0.7558241548266937
cwm_sti,common-sites,1,1970s,intercept_only,intercept_only,NA,Intercept only,cwm_sti ~ 1,fixed_100km,FALSE,100000,1726,-2539.2932859350703,-2550.757573009059,-4216.559862073538,22.929795547637788,12.268516535298678,1713.7314834647013,0.15002030793579235,0.14393179376563014,0.15757740667940823,0.1495367796787256,-0.011947163699240235,0.4263231521577486
cwm_sti,common-sites,1,1970s,perc_cropland,single_predictor,perc_cropland,Cropland (% coverage),cwm_sti ~ perc_cropland,fixed_100km,FALSE,100000,1726,-3350.359339980404,-3371.5741078869582,-4976.667634089989,14.174251041744066,24.402944289665044,1701.597055710335,0.4745777165490882,0.46703809940783336,0.45781271488043246,0.47995971213742267,0.1199583437051315,0.7720124569502812
cwm_sti,common-sites,1,1970s,perc_forest,single_predictor,perc_forest,Forest (% coverage),cwm_sti ~ perc_forest,fixed_100km,FALSE,100000,1726,-2551.552374000703,-2572.232566110569,-4180.6207244959305,22.529841448518887,23.698425817374062,1702.3015741826262,0.16484612098338935,0.1532127735814297,0.1700383252674958,0.16102263028371525,-0.012685366055766839,0.43868921593159577
cwm_sti,common-sites,1,1970s,perc_grass_shrub,single_predictor,perc_grass_shrub,Grass/Shrubland (% coverage),cwm_sti ~ perc_grass_shrub,fixed_100km,FALSE,100000,1726,-2661.618641063419,-2682.5487673716652,-4289.396081891582,21.13199023537631,24.175928821020328,1701.8240711789797,0.21666276894390324,0.2055282221899053,0.22442233135618522,0.24726196140900653,0.05390634363895168,0.5141712653792359
cwm_sti,common-sites,1,1970s,perc_pasture,single_predictor,perc_pasture,Pasture (% coverage),cwm_sti ~ perc_pasture,fixed_100km,FALSE,100000,1726,-2857.1614382083685,-2878.568289591623,-4482.478931376007,18.858348480959823,24.526248130960276,1701.4737518690397,0.30094390936088977,0.29086129378530146,0.3026775907631295,0.31801270110941476,0.09832617701104672,0.49136371641694787
cwm_sti,common-sites,1,1970s,perc_urban,single_predictor,perc_urban,Urban (% coverage),cwm_sti ~ perc_urban,fixed_100km,FALSE,100000,1726,-2642.446475589085,-2662.0857954707553,-4276.900017236094,21.399316300805275,22.32682668088207,1703.673173319118,0.2067533161403673,0.19635162455137367,0.20815506964649094,0.19669893650191075,0.038121016532902605,0.465435974784719
cwm_sti,common-sites,1,1970s,prec_breeding,single_predictor,prec_breeding,Precipitation,cwm_sti ~ prec_breeding,fixed_100km,FALSE,100000,1726,-2772.31740163071,-2790.3280531180008,-4415.2267825281315,19.884967683338644,19.99360377737334,1706.0063962226266,0.26288838149138594,0.2542447085568973,0.25143216653267,0.2872471692261801,0.04817246563905313,0.536949134071977
cwm_sti,common-sites,1,1970s,tmean_breeding,single_predictor,tmean_breeding,Temperature,cwm_sti ~ tmean_breeding,fixed_100km,FALSE,100000,1726,-2870.5736888059882,-2889.5389402399846,-4508.522522527935,18.764237169584888,21.254998330323765,1704.7450016696762,0.3044325014547894,0.29575497870008294,0.3113704019512144,0.3283870423590961,0.05482552234685658,0.46647086541466576
cwm_sti,common-sites,2,1990s,hh,single_predictor,hh,Land-use heterogeneity,cwm_sti ~ hh,fixed_100km,FALSE,100000,1726,-3267.5911354978807,-3288.191809162765,-4897.070375538368,14.880868221949633,23.73050437571677,1702.2694956242833,0.2795975930202128,0.26954891318725227,0.29500651136689887,0.300140704483046,0.12551452060411336,0.6828906630005405
