response,atlas,period,bandwidth,adaptive,bandwidth_value,aicc,rss,local_r2_mean,local_r2_median,local_r2_min,local_r2_max,local_cn_mean,local_cn_max,local_cn_over_30
predicted_richness,1,1970s,fixed_100km,FALSE,100000,13692.142738045712,211871.71351048962,0.26065375625892284,0.2456784003196169,0.09377463007101679,0.777365022831322,7.13812255478484,30.045599628205167,5.630630630630631e-4
predicted_richness,1,1970s,fixed_200km,FALSE,200000,13777.243970582134,234915.19078414835,0.1764032045853423,0.16445820835665412,0.15115868058015058,0.6111121937339644,4.9172466685104785,27.436851204094843,0
predicted_richness,2,1990s,fixed_100km,FALSE,100000,14322.983717864423,228841.9646925609,0.29167247073380553,0.291795767687073,0.1310539312984576,0.5977164036271713,5.7616856146537145,30.076958257090944,0.002702702702702703
predicted_richness,2,1990s,fixed_200km,FALSE,200000,14373.051868369967,247884.88104062292,0.23728058016985012,0.2304945694400284,0.1751294339420726,0.38374744532242694,4.084951539278812,25.365382960982593,0
predicted_richness,3,2010s,fixed_100km,FALSE,100000,13809.53027279631,144788.11177377275,0.37931208333969824,0.36467633058857507,0.19411650166201339,0.6641451631516956,6.500891822585518,31.16218270994191,0.014180672268907563
predicted_richness,3,2010s,fixed_200km,FALSE,200000,13937.746687607065,163027.11098503266,0.3073108577905083,0.30821095638532287,0.2560271221887,0.4034988865869756,4.403188235032504,28.311797499368367,0
beta_turnover,1,1970s,fixed_100km,FALSE,100000,-6008.69435836524,3.224966508169408,0.2773889675705614,0.27300079721841847,0.128310368356262,0.5235654063666257,7.13812255478484,30.045599628205167,5.630630630630631e-4
beta_turnover,1,1970s,fixed_200km,FALSE,200000,-5925.773394617667,3.5713316179677994,0.21800046310516108,0.2101316549740656,0.14170302048925754,0.3810694436306286,4.9172466685104785,27.436851204094843,0
beta_turnover,2,1990s,fixed_100km,FALSE,100000,-6460.246212533331,3.0240850805745314,0.2753864439353839,0.2976557513206655,0.05136792241457779,0.5260618415514965,5.7616856146537145,30.076958257090944,0.002702702702702703
beta_turnover,2,1990s,fixed_200km,FALSE,200000,-6362.219883896192,3.361760270426746,0.22234792642441514,0.24253145487662797,0.06916967693983002,0.3560551567196572,4.084951539278812,25.365382960982593,0
beta_turnover,3,2010s,fixed_100km,FALSE,100000,-7950.417152257266,1.575358458174383,0.3953796238459296,0.42397699242329756,0.15623382560507842,0.5984923834981373,6.500891822585518,31.16218270994191,0.014180672268907563
beta_turnover,3,2010s,fixed_200km,FALSE,200000,-7740.823106161206,1.851263405517214,0.32726898541216365,0.3723791959687151,0.13397856628195454,0.4440286485428921,4.403188235032504,28.311797499368367,0
