response,response_label,atlas,period,survey,site,X,Y,top_predictor,top_driver_label,top_local_t,top_abs_local_t,second_predictor,second_driver_label,second_local_t,second_abs_local_t,t_margin,n_supported_predictors,supported_predictors,top_supported,margin_for_plot,supported_count_label,ambiguity_class
beta_turnover,All-site beta turnover,1,1970s,AD90_1,AD90,447500.0709493527,6252499.57832838,perc_cropland,Cropland (% coverage),-10.81584944233802,10.81584944233802,perc_forest,Forest (% coverage),-6.994486555417504,6.994486555417504,3.8213628869205163,5,Cropland (% coverage); Forest (% coverage); Urban (% coverage); Grass/Shrubland (% coverage); Land-use heterogeneity,TRUE,3.8213628869205163,5,Four or more supported predictors
beta_turnover,All-site beta turnover,1,1970s,AD91_1,AD91,447500.05017916387,6257499.546271402,perc_cropland,Cropland (% coverage),-10.612379700872095,10.612379700872095,perc_forest,Forest (% coverage),-6.832006856739934,6.832006856739934,3.7803728441321613,5,Cropland (% coverage); Forest (% coverage); Urban (% coverage); Grass/Shrubland (% coverage); Land-use heterogeneity,TRUE,3.7803728441321613,5,Four or more supported predictors
beta_turnover,All-site beta turnover,1,1970s,AD92_1,AD92,447500.02377636905,6262499.551973275,perc_cropland,Cropland (% coverage),-10.389084157362108,10.389084157362108,perc_forest,Forest (% coverage),-6.724039377489872,6.724039377489872,3.665044779872236,5,Cropland (% coverage); Forest (% coverage); Urban (% coverage); Grass/Shrubland (% coverage); Land-use heterogeneity,TRUE,3.665044779872236,5,Four or more supported predictors
beta_turnover,All-site beta turnover,1,1970s,AD93_1,AD93,447499.9924736935,6267499.595406948,perc_cropland,Cropland (% coverage),-10.153366332230023,10.153366332230023,perc_forest,Forest (% coverage),-6.667281231025302,6.667281231025302,3.486085101204721,4,Cropland (% coverage); Forest (% coverage); Urban (% coverage); Grass/Shrubland (% coverage),TRUE,3.486085101204721,4,Four or more supported predictors
beta_turnover,All-site beta turnover,1,1970s,AD94_1,AD94,447499.9570043505,6272499.676545255,perc_cropland,Cropland (% coverage),-9.909952977139785,9.909952977139785,perc_forest,Forest (% coverage),-6.647424049128615,6.647424049128615,3.26252892801117,4,Cropland (% coverage); Forest (% coverage); Urban (% coverage); Grass/Shrubland (% coverage),TRUE,3.26252892801117,4,Four or more supported predictors
beta_turnover,All-site beta turnover,1,1970s,AD95_1,AD95,447499.9167107371,6277499.684056323,perc_cropland,Cropland (% coverage),-9.66648426544402,9.66648426544402,perc_forest,Forest (% coverage),-6.657108829497162,6.657108829497162,3.0093754359468576,4,Cropland (% coverage); Forest (% coverage); Urban (% coverage); Grass/Shrubland (% coverage),TRUE,3.0093754359468576,4,Four or more supported predictors
beta_turnover,All-site beta turnover,1,1970s,AE93_1,AE93,447500.1701742312,6217499.746982312,perc_cropland,Cropland (% coverage),-10.113374674734876,10.113374674734876,perc_forest,Forest (% coverage),-7.878067387832937,7.878067387832937,2.2353072869019392,5,Cropland (% coverage); Forest (% coverage); Urban (% coverage); Grass/Shrubland (% coverage); Pasture (% coverage),TRUE,2.2353072869019392,5,Four or more supported predictors
beta_turnover,All-site beta turnover,1,1970s,AE94_1,AE94,447500.1510277113,6222499.78450804,perc_cropland,Cropland (% coverage),-10.576068289331454,10.576068289331454,perc_forest,Forest (% coverage),-7.979908409985876,7.979908409985876,2.596159879345578,5,Cropland (% coverage); Forest (% coverage); Urban (% coverage); Grass/Shrubland (% coverage); Pasture (% coverage),TRUE,2.596159879345578,5,Four or more supported predictors
beta_turnover,All-site beta turnover,1,1970s,AE95_1,AE95,447500.1819872547,6227499.747924402,perc_cropland,Cropland (% coverage),-10.909207909088822,10.909207909088822,perc_forest,Forest (% coverage),-7.972856345026345,7.972856345026345,2.936351564062477,5,Cropland (% coverage); Forest (% coverage); Urban (% coverage); Grass/Shrubland (% coverage); Pasture (% coverage),TRUE,2.936351564062477,5,Four or more supported predictors
beta_turnover,All-site beta turnover,1,1970s,AE96_1,AE96,447500.139576756,6232499.638727918,perc_cropland,Cropland (% coverage),-11.093526382951255,11.093526382951255,perc_forest,Forest (% coverage),-7.860632290496692,7.860632290496692,3.232894092454563,5,Cropland (% coverage); Forest (% coverage); Urban (% coverage); Grass/Shrubland (% coverage); Pasture (% coverage),TRUE,3.232894092454563,5,Four or more supported predictors
beta_turnover,All-site beta turnover,1,1970s,AE97_1,AE97,447500.1513174165,6237499.67796077,perc_cropland,Cropland (% coverage),-11.15016008664544,11.15016008664544,perc_forest,Forest (% coverage),-7.670424236671276,7.670424236671276,3.4797358499741646,4,Cropland (% coverage); Forest (% coverage); Urban (% coverage); Grass/Shrubland (% coverage),TRUE,3.4797358499741646,4,Four or more supported predictors
beta_turnover,All-site beta turnover,1,1970s,AE98_1,AE98,447500.15313399426,6242499.6437634,perc_cropland,Cropland (% coverage),-11.104670603080615,11.104670603080615,perc_forest,Forest (% coverage),-7.438277991543527,7.438277991543527,3.6663926115370886,4,Cropland (% coverage); Forest (% coverage); Urban (% coverage); Grass/Shrubland (% coverage),TRUE,3.6663926115370886,4,Four or more supported predictors
