response,response_label,period,predictor,driver_label,n_cells,local_vif_mean,local_vif_median,local_vif_q90,local_vif_q95,local_vif_max,n_vif_gt_5,percent_vif_gt_5,n_vif_gt_10,percent_vif_gt_10
beta_turnover,All-site beta turnover,1970s,perc_cropland,Cropland (% coverage),1776,4.681974989265523,4.534595890237419,6.2555367417696,6.917282664446059,8.081314161516291,592,33.333333333333336,0,0
beta_turnover,All-site beta turnover,1970s,hh,Land-use heterogeneity,1776,3.3790111618137417,3.259014513075137,4.340274537397381,5.4871457869757485,7.2442570676582525,125,7.038288288288288,0,0
beta_turnover,All-site beta turnover,1970s,perc_forest,Forest (% coverage),1776,2.1995078392796072,2.0415548932639975,3.1523693874706424,3.5702263741266456,4.441525979512575,0,0,0,0
beta_turnover,All-site beta turnover,1970s,tmean_breeding,Temperature,1776,1.5946418813328436,1.5540705182544086,1.8525215470965346,1.9453922924502431,4.3896631094399226,0,0,0,0
beta_turnover,All-site beta turnover,1970s,perc_grass_shrub,Grass/Shrubland (% coverage),1776,1.7050319242101126,1.6950693266145878,1.9764431971640346,2.028387736602578,3.499433199302217,0,0,0,0
beta_turnover,All-site beta turnover,1970s,perc_urban,Urban (% coverage),1776,1.6393686109301069,1.5791414446874463,2.0494924005382726,2.274597634172633,2.8924310193052953,0,0,0,0
beta_turnover,All-site beta turnover,1970s,perc_pasture,Pasture (% coverage),1776,1.7112761915990413,1.6680393206934343,2.2311715030399517,2.4088053724679073,2.707322831709722,0,0,0,0
beta_turnover,All-site beta turnover,1970s,prec_breeding,Precipitation,1776,1.4151590266486098,1.339066732171899,1.8117528198198576,1.90247812776539,2.4277242246215596,0,0,0,0
beta_turnover,All-site beta turnover,1990s,perc_cropland,Cropland (% coverage),1850,3.8756906037014747,3.7581840320396687,5.26687575858493,5.860955203990323,6.734617201663583,245,13.243243243243244,0,0
beta_turnover,All-site beta turnover,1990s,hh,Land-use heterogeneity,1850,2.674923909861751,2.6034991559556255,3.4601441674577202,3.759517866239337,4.5807457090490304,0,0,0,0
