period,driver_label,local_t_plot,density,base_y,max_density,density_scaled,ridge_y,effect_sign
1970s,Temperature,-8,2.4364304957786215e-17,8,0.2985748996329664,8.16019865961167e-17,8,Negative
1970s,Temperature,-7.9498432601880875,1.5344728474851586e-17,8,0.2985748996329664,5.1393229952399307e-17,8,Negative
1970s,Temperature,-7.899686520376176,1.2646685625694796e-17,8,0.2985748996329664,4.2356827855392984e-17,8,Negative
1970s,Temperature,-7.849529780564263,2.0489848378384635e-17,8,0.2985748996329664,6.86254886247052e-17,8,Negative
1970s,Temperature,-7.799373040752351,1.686588765497564e-17,8,0.2985748996329664,5.648796223563541e-17,8,Negative
1970s,Temperature,-7.7492163009404385,2.0878314767269388e-17,8,0.2985748996329664,6.992655709818469e-17,8,Negative
1970s,Temperature,-7.699059561128527,2.5322947544463088e-17,8,0.2985748996329664,8.481271391397001e-17,8,Negative
1970s,Temperature,-7.648902821316614,1.837351939245585e-17,8,0.2985748996329664,6.153738782142149e-17,8,Negative
1970s,Temperature,-7.598746081504702,3.2891121333617955e-18,8,0.2985748996329664,1.101603697231432e-17,8,Negative
1970s,Temperature,-7.54858934169279,1.4859286960795848e-17,8,0.2985748996329664,4.9767368184874695e-17,8,Negative
1970s,Temperature,-7.498432601880878,3.66707483582885e-18,8,0.2985748996329664,1.2281926043805856e-17,8,Negative
1970s,Temperature,-7.448275862068965,1.4579656036805482e-17,8,0.2985748996329664,4.883081616950397e-17,8,Negative
1970s,Temperature,-7.398119122257054,1.5284262021753873e-17,8,0.2985748996329664,5.119071308587086e-17,8,Negative
1970s,Temperature,-7.347962382445141,2.6532173976238676e-17,8,0.2985748996329664,8.886270751109445e-17,8,Negative
1970s,Temperature,-7.297805642633229,7.652354809362376e-18,8,0.2985748996329664,2.562959853212477e-17,8,Negative
1970s,Temperature,-7.247648902821316,2.5565516132851908e-17,8,0.2985748996329664,8.56251351479284e-17,8,Negative
1970s,Temperature,-7.197492163009405,1.947177516559907e-17,8,0.2985748996329664,6.521571367698834e-17,8,Negative
1970s,Temperature,-7.147335423197492,2.4475592178369654e-17,8,0.2985748996329664,8.197471458068688e-17,8,Negative
1970s,Temperature,-7.09717868338558,2.868600467487454e-17,8,0.2985748996329664,9.607641067664366e-17,8,Negative
1970s,Temperature,-7.047021943573668,1.6659970825130103e-17,8,0.2985748996329664,5.579829666060326e-17,8,Negative
1970s,Temperature,-6.996865203761756,3.106380154082568e-17,8,0.2985748996329664,1.040402310408944e-16,8,Negative
