atlas,survey,beta_turnover,site,X,Y
1,AD90_1,0.43747780368512107,AD90,447500.0709493527,6252499.57832838
1,BD19_1,0.23812730394544152,BD19,457500.063487968,6297499.744964002
1,DC09_1,0.19125039386462073,DC09,552499.6781305044,6347499.774804628
1,DB11_1,0.17503422079155442,DB11,557499.6898730142,6357499.755865983
1,DB13_1,0.27607996606095014,DB13,557499.6790873646,6367499.744899912
1,DB14_1,0.1964051467021545,DB14,557499.6920318474,6372499.795985679
1,DB15_1,0.19115381908931395,DB15,557499.6776623846,6377499.772861233
1,DB16_1,0.1824678284103235,DB16,557499.6934591797,6382499.787658613
1,BD20_1,0.20908218129590933,BD20,462500.0521724849,6252499.692892568
1,DB20_1,0.24404551174721528,DB20,562499.6596629414,6352499.822055593
1,DB21_1,0.3034521983180273,DB21,562499.6778171846,6357499.774650563
1,DB22_1,0.3175518892775189,DB22,562499.6515363256,6362499.764446196
1,DB23_1,0.264302613974943,DB23,562499.6400820935,6367499.792328508
1,DB24_1,0.16631312927146027,DB24,562499.6441820732,6372499.746949654
1,DB25_1,0.17121339845179467,DB25,562499.6611575983,6377499.739594084
1,DB26_1,0.17191611997329398,DB26,562499.6900292314,6382499.770230629
1,DB31_1,0.2798807834922723,DB31,567499.6497347835,6357499.773935058
1,DB32_1,0.19351553149682207,DB32,567499.649767541,6362499.788996397
1,BD21_1,0.23139814554292143,BD21,462500.04652625887,6257499.613366459
1,DB33_1,0.19815817736789046,DB33,567499.6483663965,6367499.730884405
1,DB34_1,0.21598159284334761,DB34,567499.6427126657,6372499.710880268
1,DB35_1,0.18691287279277632,DB35,567499.6318198992,6377499.728951592
1,DB36_1,0.210709746802765,DB36,567499.676348217,6382499.674741831
1,DB40_1,0.21598443788437557,DB40,572499.6344654928,6352499.8530826
1,DB41_1,0.23854113215610775,DB41,572499.6216895938,6357499.864695008
1,DB42_1,0.22046849101169366,DB42,572499.5906535387,6362499.80320541
1,DB43_1,0.16581791638278295,DB43,572499.5984189146,6367499.780956781
1,DB44_1,0.21564767591681921,DB44,572499.5838254265,6372499.796851205
1,DB45_1,0.18072434159416106,DB45,572499.6077339851,6377499.740606079
1,BD22_1,0.24684925565413463,BD22,462500.04672205047,6262499.682150681
1,DB46_1,0.3940084403527178,DB46,572499.6071544627,6382499.722435604
1,DB52_1,0.20797575440160712,DB52,577499.5523310879,6362499.807698655
1,DB53_1,0.19445656442148065,DB53,577499.5700187528,6367499.831857608
1,DB54_1,0.22910072956920208,DB54,577499.5493575014,6372499.782863706
1,DB55_1,0.18129528564896494,DB55,577499.5492296974,6377499.66181914
