atlas,period,distance_band,n_pairs,mean_distance_km,mean_similarity,sd_similarity
1,1970s,"[0,50)",167831,31.90471054024998,0.8042742500807122,0.08869818835411213
1,1970s,"[50,100)",347907,75.82168175765912,0.7828199199938052,0.09039920901414449
1,1970s,"[100,200)",690601,147.7002483039122,0.7671288990720807,0.09016351095946139
1,1970s,"[200,300)",325014,235.399517731874,0.7382281509426784,0.09022018101289622
1,1970s,"[300,400)",35563,342.24655447998833,0.7437177662845592,0.08076954143104845
1,1970s,"[400,500)",9284,422.8860709610996,0.7081606519672071,0.0903007464152313
2,1990s,"[0,50)",183594,31.938479139004095,0.8253612579529893,0.08559023629759184
2,1990s,"[50,100)",377946,75.88191954281359,0.8060928305563582,0.0863937392627515
2,1990s,"[100,200)",751027,147.7268162627738,0.7892001437552906,0.08600976764183063
2,1990s,"[200,300)",350120,235.2828424897561,0.7637511852103613,0.08567398641384259
2,1990s,"[300,400)",38212,342.5118409334445,0.7649949301845755,0.07176802463117349
2,1990s,"[400,500)",9426,422.3527834644537,0.7428067542933093,0.08019015721873374
3,2010s,"[0,50)",194988,31.94982545332887,0.847228406935132,0.06775278029668903
3,2010s,"[50,100)",401403,75.8425165298867,0.8273486590232139,0.07132707785893666
3,2010s,"[100,200)",794086,147.73404869342107,0.8084820912855063,0.07009101755003544
3,2010s,"[200,300)",371802,235.2578507295039,0.7801183601819783,0.07169752767281198
3,2010s,"[300,400)",39396,342.3347179284325,0.7751491237996895,0.058254839388614546
3,2010s,"[400,500)",9981,422.62018342279845,0.7503534753730364,0.06398451343131212
