atlas,period,band_km,moran_i,p_value,mean_neighbours
1,1970s,0-50,0.10297236430476055,0,188.99887387387386
1,1970s,50-100,0.042292483392449766,1.0782458932434232e-163,391.7871621621622
1,1970s,100-200,-0.0035514540623414704,0.9994276258098685,777.7038288288288
1,1970s,200-300,-0.07538953697049004,1,366.0067567567568
1,1970s,300-400,-0.007507242233826804,0.8551439756323227,40.04842342342342
1,1970s,400-500,-0.010032342716183074,0.7572525935146964,10.454954954954955
2,1990s,0-50,0.07339703324930336,6.029882235050085e-207,198.48
2,1990s,50-100,0.02908014000493476,1.6645827380530587e-85,408.59027027027025
2,1990s,100-200,0.006264376604460421,5.542189149982484e-15,811.9210810810811
2,1990s,200-300,-0.04592476137808197,1,378.5081081081081
2,1990s,300-400,-0.0030727626527762776,0.653163094977186,41.31027027027027
2,1990s,400-500,-0.021065581413030634,0.9470290764322797,10.19027027027027
3,2010s,0-50,0.0925507028162844,0,204.81932773109244
3,2010s,50-100,-0.006994692802616007,0.999994688688199,421.64180672268907
3,2010s,100-200,0.01133086786552909,7.823839531806578e-44,834.1239495798319
3,2010s,200-300,-0.050067090623663234,1,390.54831932773106
3,2010s,300-400,-0.003159507589138129,0.6613196707999786,41.38235294117647
3,2010s,400-500,-0.007312386657299357,0.6878971243126708,10.484243697478991
