response,site_filter,atlas,period,bandwidth,bandwidth_value,model_id,model_type,predictor,model_label,survey,site,X,Y,observed,fitted,residual,coefficient,local_se,local_t,abs_local_t,local_r2,supported,direction,dominant_driver,direction_plot
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,AD90_1,AD90,447500.0709493527,6252499.57832838,46.93829583095509,49.312321517644534,-2.3740256866894427,2.830959209798901,0.7485985349561198,3.7816788005934874,3.7816788005934874,0.3023067509910771,TRUE,Positive,Land-use heterogeneity,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,AD92_1,AD92,447500.02377636905,6262499.551973275,32.01136812689959,46.44690397029297,-14.435535843393382,2.926079694147184,0.7697296510957204,3.8014381932433943,3.8014381932433943,0.2839642216753469,TRUE,Positive,Land-use heterogeneity,Positive
richness,common-sites,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,AD93_1,AD93,447499.9924736935,6267499.595406948,40.9921282640114,48.22330851507048,-7.2311802510590795,-6.358631279542919,1.612844188156347,-3.9424957018393165,3.9424957018393165,0.26381475937498133,TRUE,Negative,Precipitation,Negative
richness,common-sites,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,AD94_1,AD94,447499.9570043505,6272499.676545255,42.48671816511489,51.01694397048172,-8.530225805366833,-6.901761213344088,1.6755289355067364,-4.119153699519228,4.119153699519228,0.24993894017082766,TRUE,Negative,Precipitation,Negative
richness,common-sites,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,AD95_1,AD95,447499.9167107371,6277499.684056323,34.4390190437221,51.03563610778254,-16.59661706406044,-7.393735874441461,1.7458379195552198,-4.235064315893158,4.235064315893158,0.23496251849539343,TRUE,Negative,Precipitation,Negative
richness,common-sites,1,1970s,fixed_100km,100000,perc_grass_shrub,single_predictor,perc_grass_shrub,Grass/Shrubland (% coverage),AE93_1,AE93,447500.1701742312,6217499.746982312,24.104145313035463,44.98821192769947,-20.884066614664004,2.2732492226722165,0.5683602634352642,3.99966248332056,3.99966248332056,0.31798629436775544,TRUE,Positive,Grass/Shrubland (% coverage),Positive
richness,common-sites,1,1970s,fixed_100km,100000,perc_grass_shrub,single_predictor,perc_grass_shrub,Grass/Shrubland (% coverage),AE94_1,AE94,447500.1510277113,6222499.78450804,45.51355100216228,46.57834910616469,-1.0647981040024064,2.231174275248371,0.5716571264257518,3.9029938963564397,3.9029938963564397,0.3183283348290725,TRUE,Positive,Grass/Shrubland (% coverage),Positive
richness,common-sites,1,1970s,fixed_100km,100000,perc_grass_shrub,single_predictor,perc_grass_shrub,Grass/Shrubland (% coverage),AE95_1,AE95,447500.18198725476,6227499.747924402,47.89257933531226,45.900283670361425,1.9922956649508379,2.1845602431840394,0.5770426539545356,3.785786420142449,3.785786420142449,0.3172007845093542,TRUE,Positive,Grass/Shrubland (% coverage),Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,AE96_1,AE96,447500.139576756,6232499.638727918,25.217111712572418,50.488647116513256,-25.271535403940838,2.696993700351878,0.723994978391756,3.7251552577655116,3.7251552577655116,0.3244981012739755,TRUE,Positive,Land-use heterogeneity,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,AE97_1,AE97,447500.1513174165,6237499.67796077,25.369267845765187,50.649707313625356,-25.28043946786017,2.720146468205728,0.7280901752243805,3.7360021612260352,3.7360021612260352,0.3209392321892807,TRUE,Positive,Land-use heterogeneity,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,AE98_1,AE98,447500.15313399426,6242499.6437634,66.24285829246112,50.3908546575248,15.852003634936324,2.7516028894789306,0.7336577311761405,3.7505266727957522,3.7505266727957522,0.31602390199033625,TRUE,Positive,Land-use heterogeneity,Positive
richness,common-sites,1,1970s,fixed_100km,100000,perc_grass_shrub,single_predictor,perc_grass_shrub,Grass/Shrubland (% coverage),AF81_1,AF81,442500.1384771916,6157499.787446427,54.959608759129715,51.23416102724645,3.725447731883264,2.5881160968068393,0.6319612913049908,4.095371239371984,4.095371239371984,0.2103075258291127,TRUE,Positive,Grass/Shrubland (% coverage),Positive
richness,common-sites,1,1970s,fixed_100km,100000,perc_grass_shrub,single_predictor,perc_grass_shrub,Grass/Shrubland (% coverage),AF82_1,AF82,442500.15165183047,6162499.8084204225,44.94405006314836,48.474271220370134,-3.5302211572217743,2.5736451430743106,0.6216901748672615,4.13975521428148,4.13975521428148,0.22228329608628378,TRUE,Positive,Grass/Shrubland (% coverage),Positive
richness,common-sites,1,1970s,fixed_100km,100000,perc_grass_shrub,single_predictor,perc_grass_shrub,Grass/Shrubland (% coverage),AF91_1,AF91,447500.16279772675,6157499.807246089,54.38994437975713,52.08186422057567,2.308080159181465,2.40912476344991,0.6039438782762108,3.9889878018568283,3.9889878018568283,0.20661163257989487,TRUE,Positive,Grass/Shrubland (% coverage),Positive
richness,common-sites,1,1970s,fixed_100km,100000,perc_grass_shrub,single_predictor,perc_grass_shrub,Grass/Shrubland (% coverage),AF92_1,AF92,447500.2057250942,6162499.834014087,74.91520361967868,53.63561235215728,21.279591267521397,2.407270010661854,0.5948835906045277,4.046623656597349,4.046623656597349,0.21840173300407167,TRUE,Positive,Grass/Shrubland (% coverage),Positive
richness,common-sites,1,1970s,fixed_100km,100000,perc_grass_shrub,single_predictor,perc_grass_shrub,Grass/Shrubland (% coverage),AF93_1,AF93,447500.1653840631,6167499.788514787,79.46199694963092,51.405914534729206,28.05608241490171,2.4089200478437967,0.5879036760912221,4.097474034964218,4.097474034964218,0.23031479660676638,TRUE,Positive,Grass/Shrubland (% coverage),Positive
richness,common-sites,1,1970s,fixed_100km,100000,perc_grass_shrub,single_predictor,perc_grass_shrub,Grass/Shrubland (% coverage),AF94_1,AF94,447500.1697669054,6172499.780493908,49.53045843538721,47.28981300110879,2.24064543427842,2.4122531588251626,0.5825760741796671,4.140666370863046,4.140666370863046,0.24233802514789832,TRUE,Positive,Grass/Shrubland (% coverage),Positive
richness,common-sites,1,1970s,fixed_100km,100000,perc_grass_shrub,single_predictor,perc_grass_shrub,Grass/Shrubland (% coverage),AF97_1,AF97,447500.13908220717,6187499.650967309,36.92945715454009,46.08145868090722,-9.15200152636713,2.394961135940557,0.5728316238006832,4.180916409695083,4.180916409695083,0.27749988261352104,TRUE,Positive,Grass/Shrubland (% coverage),Positive
richness,common-sites,1,1970s,fixed_100km,100000,perc_grass_shrub,single_predictor,perc_grass_shrub,Grass/Shrubland (% coverage),AF98_1,AF98,447500.13873657817,6192499.683587027,46.01732574582625,45.36385657915945,0.6534691666667953,2.379550911881248,0.5705744496047743,4.1704477190128575,4.1704477190128575,0.2884464141597786,TRUE,Positive,Grass/Shrubland (% coverage),Positive
