response,site_filter,atlas,period,model_id,model_type,predictor,model_label,formula,bandwidth,adaptive,bandwidth_value,n_sites,aicc,aic,bic,rss,enp,edf,gw_r2,gw_r2_adj,local_r2_mean,local_r2_median,local_r2_min,local_r2_max
richness,common-sites,1,1970s,hh,single_predictor,hh,Land-use heterogeneity,richness ~ hh,fixed_100km,FALSE,100000,1726,13422.036410684577,13401.457659321077,11792.443878194947,235541.42724535445,23.682758266748756,1702.3172417332512,0.16069984150571281,0.1490165749876975,0.15720523114543827,0.1475480753303952,-0.0026377763411631755,0.35371650574224145
richness,common-sites,1,1970s,intercept_only,intercept_only,NA,Intercept only,richness ~ 1,fixed_100km,FALSE,100000,1726,13496.68301793405,13485.218730860062,11819.416441795584,248517.69717377293,12.268516535298678,1713.7314834647013,0.11446175279683546,0.10811852810963918,0.10784222472106131,0.08957437672734313,-0.012952899600928868,0.3478251372606658
richness,common-sites,1,1970s,perc_cropland,single_predictor,perc_cropland,Cropland (% coverage),richness ~ perc_cropland,fixed_100km,FALSE,100000,1726,13433.8031630054,13412.588395098846,11807.494868895814,236981.89064898863,24.402944289665044,1701.597055710335,0.15556706644735319,0.14344976343036298,0.15218272962948148,0.13362808514100039,-0.008446884483861165,0.3560624763095025
richness,common-sites,1,1970s,perc_forest,single_predictor,perc_forest,Forest (% coverage),richness ~ perc_forest,fixed_100km,FALSE,100000,1726,13378.769724429188,13358.089532319324,11749.701373933962,229683.95765692194,23.698425817374062,1702.3015741826262,0.18157164826786631,0.1701712805290203,0.17557097218328,0.15740061132982047,0.040185654509745976,0.42133207085331686
richness,common-sites,1,1970s,perc_grass_shrub,single_predictor,perc_grass_shrub,Grass/Shrubland (% coverage),richness ~ perc_grass_shrub,fixed_100km,FALSE,100000,1726,13462.12783788404,13441.197711575795,11834.350397055878,240980.65905285295,24.175928821020328,1701.8240711789797,0.14131833324404586,0.1291128222760496,0.13364741092700927,0.12370477892795403,-0.007738415623543858,0.3931437623958843
richness,common-sites,1,1970s,perc_pasture,single_predictor,perc_pasture,Pasture (% coverage),richness ~ perc_pasture,fixed_100km,FALSE,100000,1726,13475.287405826459,13453.880554443203,11849.96991265882,242693.9411018672,24.526248130960276,1701.4737518690397,0.13521342884527443,0.1227404518286338,0.12671078058524457,0.11577300379919811,-0.009142718711416814,0.3570607516310481
richness,common-sites,1,1970s,perc_urban,single_predictor,perc_urban,Urban (% coverage),richness ~ perc_urban,fixed_100km,FALSE,100000,1726,13491.711501727474,13472.072181845802,11857.257960080464,245505.60733384558,22.32682668088207,1703.673173319118,0.12519467358115544,0.11372351915849432,0.11961011507044447,0.1097184195858168,-0.010438651213335662,0.35963524759893595
richness,common-sites,1,1970s,prec_breeding,single_predictor,prec_breeding,Precipitation,richness ~ prec_breeding,fixed_100km,FALSE,100000,1726,13474.145399579316,13456.134748092025,11831.236018681895,243469.43084670513,19.99360377737334,1706.0063962226266,0.13245014141271938,0.12227689621660831,0.12842625697260343,0.10533036935210459,-0.004749631957313377,0.3572402788100359
richness,common-sites,1,1970s,tmean_breeding,single_predictor,tmean_breeding,Temperature,richness ~ tmean_breeding,fixed_100km,FALSE,100000,1726,13500.338642011491,13481.373390577495,11862.389808289545,246924.58758065145,21.254998330323765,1704.7450016696762,0.12013844903512749,0.10916177366507684,0.1129803783577486,0.09643983756910729,-0.004110452610862104,0.34993141714924964
richness,common-sites,2,1990s,hh,single_predictor,hh,Land-use heterogeneity,richness ~ hh,fixed_100km,FALSE,100000,1726,13497.605558244071,13477.004884579188,11868.126318203584,246077.0725106414,23.73050437571677,1702.2694956242833,0.2008336534914401,0.189686318791368,0.1933411189070902,0.1951050596959729,0.08280432674717429,0.4337354412240552
richness,common-sites,2,1990s,intercept_only,intercept_only,NA,Intercept only,richness ~ 1,fixed_100km,FALSE,100000,1726,13707.957275397253,13696.492988323263,12030.690699258785,280878.145366988,12.268516535298678,1713.7314834647013,0.08781277769252926,0.08127866295930297,0.07940503182563813,0.06729796513359307,-0.0015779769275976166,0.3514831907941615
