response,atlas,period,bandwidth,bandwidth_value,model_id,model_type,predictor,model_label,survey,site,X,Y,observed,fitted,residual,coefficient,local_se,local_t,abs_local_t,local_r2,supported,direction
richness,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,AD90_1,AD90,447500.0709493527,6252499.57832838,46.93829583095509,49.12497464010188,-2.186678809146791,2.915448062523498,0.7179550960327987,4.06076658363925,4.06076658363925,0.3164508038408523,TRUE,Positive
richness,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BD19_1,BD19,457500.063487968,6297499.744964002,67.13935349383976,54.02154320454174,13.11781028929802,3.4528716233930723,0.7847551999614975,4.399934684806779,4.399934684806779,0.2171596800288274,TRUE,Positive
richness,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,DC09_1,DC09,552499.6781305044,6347499.774804628,45.92459301434293,47.09323648287003,-1.168643468527101,2.1359829705568507,0.7446730806955631,2.8683499188150217,2.8683499188150217,0.19158817322491506,TRUE,Positive
richness,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,DB11_1,DB11,557499.6898730142,6357499.755865983,54.656701856830665,48.73671585885495,5.919985997975715,1.9478735625908916,0.8063284951988582,2.4157320176443764,2.4157320176443764,0.2176151407259927,TRUE,Positive
richness,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,DB13_1,DB13,557499.6790873646,6367499.744899912,32.74862806357594,48.623338540314705,-15.874710476738763,1.816300278679547,0.8648955157216134,2.100022772304632,2.100022772304632,0.2392748990700845,TRUE,Positive
richness,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,DB14_1,DB14,557499.6920318474,6372499.795985679,39.23917848910627,47.87663916850632,-8.63746067940005,1.7346257402877887,0.8986080056709164,1.9303475256629692,1.9303475256629692,0.25061986396979374,FALSE,Not supported
richness,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,DB15_1,DB15,557499.6776623846,6377499.772861233,41.259546120503465,48.37358543586013,-7.1140393153566635,1.6414076298338474,0.9362190337335423,1.753230356029067,1.753230356029067,0.2625128533995004,FALSE,Not supported
richness,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,DB16_1,DB16,557499.6934591797,6382499.787658613,51.15437309682872,49.02086058279935,2.13351251402937,1.5360251797657778,0.9777506027500934,1.5709785045853617,1.5709785045853617,0.2750896189912862,FALSE,Not supported
richness,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BD20_1,BD20,462500.0521724849,6252499.692892568,40.72555951625907,47.7027734717619,-6.977213955502833,2.9348774903622226,0.6443194474378567,4.555003736163474,4.555003736163474,0.2980236778802437,TRUE,Positive
richness,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,DB20_1,DB20,562499.6596629414,6352499.822055593,35.05620815490471,45.14853913500593,-10.092330980101224,1.9128711131554428,0.792895536635617,2.412513407846968,2.412513407846968,0.21199135898733337,TRUE,Positive
richness,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,DB21_1,DB21,562499.6778171846,6357499.774650563,31.20532094812379,46.833569759695386,-15.628248811571595,1.862137230640828,0.8183527597634693,2.2754700933360894,2.2754700933360894,0.22259899331111146,TRUE,Positive
richness,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,DB22_1,DB22,562499.6515363256,6362499.764446196,32.66983547465052,47.47521982600687,-14.805384351356352,1.7973836344499192,0.8461178756721384,2.124270962863319,2.124270962863319,0.23322298276385628,TRUE,Positive
