Species,PC1_1970s,PC1_1990s,PC2_1970s,PC2_1990s,target_period,delta_PC1,delta_PC2,pca_distance,PC1_2010s,PC2_2010s
Streptopelia_turtur,-0.2943149007120839,0.284283361071512,0.22906955883036204,0.7447067297587564,1990s,0.5785982617835959,0.5156371709283943,0.7750210581539296,NA,NA
Tringa_glareola,0.2120946236275817,-0.011202881600083104,0.6574304178425256,0.10039982667503602,1990s,-0.22329750522766478,-0.5570305911674897,0.6001207006405478,NA,NA
Circus_pygargus,-0.20721407088008287,0.21312678932046655,0.8995554144482251,0.4902393261995766,1990s,0.4203408602005494,-0.40931608824864846,0.5867078479561298,NA,NA
Lanius_excubitor,0.21047283539769016,0.006005669229867249,0.5888442721016496,0.1117000699367774,1990s,-0.2044671661678229,-0.4771442021648722,0.5191082851392882,NA,NA
Panurus_biarmicus,-0.14459534663998264,-0.49850152853349783,0.28962975343121944,-0.0704136552576188,1990s,-0.3539061818935152,-0.3600434086888382,0.5048572488562719,NA,NA
Circus_aeruginosus,-0.30671348906102797,-0.09241516101469936,0.3832434493188797,-0.05202650316641538,1990s,0.2142983280463286,-0.4352699524852951,0.48516358575227275,NA,NA
Corvus_corax,0.10697424539716717,0.19318452019656454,0.6353070608863715,0.16405563504284723,1990s,0.08621027479939737,-0.4712514258435242,0.4790721426262877,NA,NA
Turdus_pilaris,-0.07746855566801751,0.3221873709086048,-0.17775084357524054,-0.37606701365565726,1990s,0.3996559265766223,-0.19831617008041671,0.44615486432760465,NA,NA
Regulus_ignicapilla,0.21749247234637653,-0.17510735711779443,0.27609308915924086,0.43333176898266607,1990s,-0.39259982946417094,0.1572386798234252,0.4229168104106406,NA,NA
Remiz_pendulinus,-0.08231907763177226,0.30420385040205655,-0.23001138105402993,-0.060533007787338396,1990s,0.3865229280338288,0.16947837326669155,0.4220460791204776,NA,NA
Asio_flammeus,0.06004566106293807,NA,0.23052328203346334,NA,2010s,-0.8566631730362044,-0.29024932976026463,0.904497907937183,-0.7966175119732664,-0.05972604772680131
Haematopus_ostralegus,-1.3698819821054875,NA,0.07591096331769627,NA,2010s,0.7025851727842093,-0.2610704718582188,0.7495223254129861,-0.6672968093212782,-0.18515950854052254
Tringa_glareola,0.2120946236275817,NA,0.6574304178425256,NA,2010s,-0.5021039020788205,-0.5463653689872977,0.7420400561367316,-0.2900092784512388,0.11106504885522793
Lanius_excubitor,0.21047283539769016,NA,0.5888442721016496,NA,2010s,-0.15624693264402614,-0.6020209696282456,0.6219665198648556,0.054225902753664006,-0.013176697526596037
Corvus_corax,0.10697424539716717,NA,0.6353070608863715,NA,2010s,0.18484005721001173,-0.5901569509881299,0.6184262878864436,0.2918143026071789,0.045150109898241586
Streptopelia_turtur,-0.2943149007120839,NA,0.22906955883036204,NA,2010s,0.32328408668527175,0.48482489332512935,0.5827244442201248,0.028969185973187844,0.7138944521554914
Circus_aeruginosus,-0.30671348906102797,NA,0.3832434493188797,NA,2010s,0.20517860069325478,-0.5273789356472327,0.5658858541674726,-0.1015348883677732,-0.14413548632835302
Panurus_biarmicus,-0.14459534663998264,NA,0.28962975343121944,NA,2010s,-0.46251673378808855,-0.2928856078978899,0.5474520146530818,-0.6071120804280712,-0.0032558544666704665
Numenius_arquata,0.03126016918613601,NA,0.4223649171948673,NA,2010s,-0.4617805926054587,-0.2528443172021957,0.5264708581189401,-0.4305204234193227,0.16952059999267163
Botaurus_stellaris,-0.2820496107568176,NA,0.5293980844793063,NA,2010s,0.13597671018403357,-0.47799315345415455,0.4969578658815248,-0.14607290057278405,0.05140493102515168
