Species,atlas,period,PC1,PC2
Acanthis_flammea,1,1970s,-0.41297883176247746,0.08089665283773446
Accipiter_nisus,1,1970s,0.3295005591287267,-0.008340222598124078
Acrocephalus_arundinaceus,1,1970s,-0.08782720822849038,-0.1631195721660405
Acrocephalus_palustris,1,1970s,0.10925772285765718,-0.16058852881297392
Acrocephalus_schoenobaenus,1,1970s,-0.15539640561479237,-0.16732099400206257
Acrocephalus_scirpaceus,1,1970s,-0.19334078932030319,-0.1713501323425842
Aegithalos_caudatus,1,1970s,0.16600038859657643,-0.3046965475007098
Alauda_arvensis,1,1970s,-0.03163666541743787,-0.025528545486157052
Alcedo_atthis,1,1970s,0.5194876191032667,0.32600466649122456
Anarhynchus_alexandrinus,1,1970s,-0.9021767839938462,-0.19157483446272677
Anas_acuta,1,1970s,-0.7187373184622157,0.10690803688118984
Anas_crecca,1,1970s,-0.043481078465540834,0.1548341128819228
Anas_platyrhynchos,1,1970s,0.09353516670465156,-0.22111478771302087
Anser_anser,1,1970s,-0.04845378171038488,-0.24849038393552336
Anthus_pratensis,1,1970s,-0.3777597563461039,0.04299288266996498
Anthus_trivialis,1,1970s,0.3913217190557252,0.1155377017075754
Apus_apus,1,1970s,0.3603852612556935,-0.07379528891374432
Ardea_cinerea,1,1970s,-0.1502981503945739,0.129291583566753
Asio_flammeus,1,1970s,0.06004566106293807,0.23052328203346334
Asio_otus,1,1970s,0.23448732452512194,0.03510166958452348
Astur_gentilis,1,1970s,0.3645242803030226,0.443139078017134
Athene_noctua,1,1970s,0.15196531281851736,-0.0019678549815163164
Aythya_ferina,1,1970s,0.20378651035011677,-0.17067594094893107
Aythya_fuligula,1,1970s,0.1875942652829958,-0.18776443622565894
Botaurus_stellaris,1,1970s,-0.2820496107568176,0.5293980844793063
Buteo_buteo,1,1970s,0.5600923734106633,0.2587870353194162
Calidris_alpina,1,1970s,-0.7128972202409228,-0.015783043758772587
Calidris_pugnax,1,1970s,-0.5320838346226534,0.2457222488092823
Caprimulgus_europaeus,1,1970s,0.24072878676041545,0.19328123763037283
Carduelis_carduelis,1,1970s,0.19956875280772443,-0.013861949889532038
Carpodacus_erythrinus,1,1970s,-0.4336384104718157,-0.4463083193342274
Certhia_brachydactyla,1,1970s,-0.036176869976387506,0.6314852112194363
Certhia_familiaris,1,1970s,0.28198968973104155,-0.1260721613604888
Charadrius_dubius,1,1970s,0.36749578472805716,-0.11104911196138867
Charadrius_hiaticula,1,1970s,-1.1293220668612325,-0.09258497471372769
