response,trait,trait_group,period_or_comparison,model_set,predictor_set,n_rows,bandwidth_value,aicc,rss,local_r2_mean,local_r2_median,local_r2_min,local_r2_max,local_cn_mean,local_cn_max,local_cn_over_30,status
group_probability,Foraging guild,Aquatic pursuers,1970s,period,full_period,1776,100000,-12172.412612270367,0.10029499207007586,0.330154490373473,0.3318679825426488,0.16443710364136108,0.6651475278414246,7.13812255478484,30.045599628205167,5.630630630630631e-4,ok
group_probability,Foraging guild,Aquatic pursuers,1990s,period,full_period,1850,100000,-12714.387218726162,0.10289891637301161,0.45324847376859706,0.46455452817652165,0.14279255184196718,0.7535526332876001,5.7616856146537145,30.076958257090944,0.002702702702702703,ok
group_probability,Foraging guild,Aquatic pursuers,2010s,period,full_period,1904,100000,-13898.31208724179,0.06929298809801732,0.6099712950008305,0.6544931537754587,0.360884423799958,0.8167097866947813,6.500891822585518,31.16218270994191,0.014180672268907563,ok
group_probability,Foraging guild,Dabbling ducks,1970s,period,full_period,1776,100000,-11005.132013037462,0.19351757860912577,0.36552874414002706,0.35488848326334493,0.19437223653198327,0.7844085024604305,7.13812255478484,30.045599628205167,5.630630630630631e-4,ok
group_probability,Foraging guild,Dabbling ducks,1990s,period,full_period,1850,100000,-12719.433531443581,0.10261861769658577,0.45207346397754666,0.4375366183466432,0.2092950370687569,0.7372970467670421,5.7616856146537145,30.076958257090944,0.002702702702702703,ok
group_probability,Foraging guild,Dabbling ducks,2010s,period,full_period,1904,100000,-13351.392857207342,0.0923505086052266,0.46342466177532743,0.4323279542392753,0.33227498469314354,0.6333284189196773,6.500891822585518,31.16218270994191,0.014180672268907563,ok
group_probability,Foraging guild,Diurnal raptors,1970s,period,full_period,1776,100000,-12164.7661721593,0.10072773584134054,0.6270134490567117,0.6171978087800729,0.5465745896574884,0.8421801949582598,7.13812255478484,30.045599628205167,5.630630630630631e-4,ok
group_probability,Foraging guild,Diurnal raptors,1990s,period,full_period,1850,100000,-14467.179595058495,0.03989662657591668,0.694868712470089,0.6955244905432247,0.5835785402993067,0.8152714604541665,5.7616856146537145,30.076958257090944,0.002702702702702703,ok
group_probability,Foraging guild,Diurnal raptors,2010s,period,full_period,1904,100000,-14921.363055217374,0.04048886647097183,0.5640286965707079,0.5697360732266674,0.2821842600992752,0.8271625465473514,6.500891822585518,31.16218270994191,0.014180672268907563,ok
group_probability,Foraging guild,Foliage gleaners,1970s,period,full_period,1776,100000,-8851.31439152305,0.6507356558341443,0.26744718493431924,0.24080429856630775,0.11846248440174206,0.7734651285017271,7.13812255478484,30.045599628205167,5.630630630630631e-4,ok
group_probability,Foraging guild,Foliage gleaners,1990s,period,full_period,1850,100000,-9900.86781193747,0.4708635799433955,0.3302124019059288,0.3358528001431078,0.15015433591163388,0.6292481928058127,5.7616856146537145,30.076958257090944,0.002702702702702703,ok
group_probability,Foraging guild,Foliage gleaners,2010s,period,full_period,1904,100000,-11036.356860219294,0.31152246814874207,0.40016727451864087,0.382003585861336,0.2434704583826401,0.6934014993516989,6.500891822585518,31.16218270994191,0.014180672268907563,ok
group_probability,Foraging guild,Gulls,1970s,period,full_period,1776,100000,-13148.07387257104,0.05790229067902315,0.5584114966458149,0.5452491210547925,0.39493093656499006,0.8463732802239667,7.13812255478484,30.045599628205167,5.630630630630631e-4,ok
group_probability,Foraging guild,Gulls,1990s,period,full_period,1850,100000,-13204.080260850336,0.0789684314117095,0.5313252840744511,0.5271186661207817,0.36053733744206323,0.6926565086139296,5.7616856146537145,30.076958257090944,0.002702702702702703,ok
group_probability,Foraging guild,Gulls,2010s,period,full_period,1904,100000,-13852.383717742465,0.07098479946187777,0.5658116997520816,0.5522471831927505,0.411493464998606,0.8118520213086831,6.500891822585518,31.16218270994191,0.014180672268907563,ok
group_probability,Foraging guild,Low flycatching feeders,1970s,period,full_period,1776,100000,-10349.010382350501,0.28000464966711675,0.3286180668162601,0.32899083675272933,0.08176988535449303,0.9365851044093519,7.13812255478484,30.045599628205167,5.630630630630631e-4,ok
group_probability,Foraging guild,Low flycatching feeders,1990s,period,full_period,1850,100000,-12123.206146610199,0.14164224089640867,0.42495109466753733,0.40172437704274133,0.22687618744767774,0.6174922445002934,5.7616856146537145,30.076958257090944,0.002702702702702703,ok
group_probability,Foraging guild,Low flycatching feeders,2010s,period,full_period,1904,100000,-13376.161056327448,0.09115694634403212,0.5127527014075424,0.5097277689534482,0.32086151235697163,0.6431697117684783,6.500891822585518,31.16218270994191,0.014180672268907563,ok
group_probability,Foraging guild,Marsh warblers,1970s,period,full_period,1776,100000,-10861.932934209573,0.20976722547672627,0.35310526137483156,0.33180598112464876,0.1751319576920298,0.861403549767382,7.13812255478484,30.045599628205167,5.630630630630631e-4,ok
group_probability,Foraging guild,Marsh warblers,1990s,period,full_period,1850,100000,-12795.408446445075,0.09848968813210388,0.5183232481304417,0.5118464830281535,0.3517359105974606,0.7525650472134735,5.7616856146537145,30.076958257090944,0.002702702702702703,ok
group_probability,Foraging guild,Marsh warblers,2010s,period,full_period,1904,100000,-13300.326568849225,0.09486091285604516,0.5394455381253646,0.5199957714599026,0.28922335185189196,0.7170344591354443,6.500891822585518,31.16218270994191,0.014180672268907563,ok
group_probability,Foraging guild,Omnivorous corvids,1970s,period,full_period,1776,100000,-11002.715698969738,0.19378104566145615,0.4251026150475805,0.39687287741099986,0.2751941506876547,0.8844639260134469,7.13812255478484,30.045599628205167,5.630630630630631e-4,ok
group_probability,Foraging guild,Omnivorous corvids,1990s,period,full_period,1850,100000,-12979.309408438796,0.08917011307965117,0.5341569025729377,0.5183542299429296,0.4090374157960307,0.8365730782606597,5.7616856146537145,30.076958257090944,0.002702702702702703,ok
group_probability,Foraging guild,Omnivorous corvids,2010s,period,full_period,1904,100000,-14366.934339782525,0.05417494794708551,0.7060907625313202,0.7020929675180365,0.5229730393247046,0.9132129380558436,6.500891822585518,31.16218270994191,0.014180672268907563,ok
group_probability,Foraging guild,Open-land insectivores,1970s,period,full_period,1776,100000,-13178.518026719641,0.05691818966342184,0.6176587924530241,0.6122448658172741,0.46924985376850437,0.9758318672316665,7.13812255478484,30.045599628205167,5.630630630630631e-4,ok
group_probability,Foraging guild,Open-land insectivores,1990s,period,full_period,1850,100000,-13979.978891813702,0.051916855427507645,0.5945878881702501,0.5790889179363352,0.4013015973975245,0.9504439552868527,5.7616856146537145,30.076958257090944,0.002702702702702703,ok
group_probability,Foraging guild,Open-land insectivores,2010s,period,full_period,1904,100000,-14885.177756964127,0.04126571120264454,0.6517772442287504,0.6396338994756997,0.4604592629606017,0.9739229330664689,6.500891822585518,31.16218270994191,0.014180672268907563,ok
group_probability,Foraging guild,Owls,1970s,period,full_period,1776,100000,-14112.645812365023,0.03363752016419689,0.3323106800499393,0.31214959661575753,0.2338464976259307,0.9368264440445606,7.13812255478484,30.045599628205167,5.630630630630631e-4,ok
group_probability,Foraging guild,Owls,1990s,period,full_period,1850,100000,-15211.008567605424,0.026688214366494923,0.3772286916689043,0.3708850815591759,0.21262011645785153,0.6436711665908099,5.7616856146537145,30.076958257090944,0.002702702702702703,ok
group_probability,Foraging guild,Owls,2010s,period,full_period,1904,100000,-17651.963033166532,0.00964932910839374,0.5357558898318223,0.5505832398276722,0.21683050955338093,0.866090635217561,6.500891822585518,31.16218270994191,0.014180672268907563,ok
group_probability,Foraging guild,Passerine seedeaters,1970s,period,full_period,1776,100000,-11409.536730523956,0.15410943931438792,0.27325643931227234,0.2518995924712397,0.12761652995296288,0.7504932339815333,7.13812255478484,30.045599628205167,5.630630630630631e-4,ok
group_probability,Foraging guild,Passerine seedeaters,1990s,period,full_period,1850,100000,-12310.65656789143,0.1279935530872114,0.5453108732921924,0.5719951809589505,0.3166240751639,0.6788244376347995,5.7616856146537145,30.076958257090944,0.002702702702702703,ok
group_probability,Foraging guild,Passerine seedeaters,2010s,period,full_period,1904,100000,-13249.536981470872,0.09742539903665776,0.5214629023632261,0.5287325798045043,0.25458494782001573,0.6907904133277432,6.500891822585518,31.16218270994191,0.014180672268907563,ok
group_probability,Foraging guild,Plovers,1970s,period,full_period,1776,100000,-11249.357641687835,0.16865478328789518,0.7032598401647115,0.7097165222829882,0.5770559364377836,0.9084318114574927,7.13812255478484,30.045599628205167,5.630630630630631e-4,ok
group_probability,Foraging guild,Plovers,1990s,period,full_period,1850,100000,-13117.992491885961,0.08272998396602835,0.7168169584423294,0.718968965575628,0.5343630771987995,0.8300614959538325,5.7616856146537145,30.076958257090944,0.002702702702702703,ok
group_probability,Foraging guild,Plovers,2010s,period,full_period,1904,100000,-13659.047748201105,0.07857139978855401,0.6331411122679744,0.6387428648064005,0.4689434542806495,0.7760919674177763,6.500891822585518,31.16218270994191,0.014180672268907563,ok
group_probability,Foraging guild,Rails,1970s,period,full_period,1776,100000,-11937.50827187991,0.1144778920292805,0.2776760400690038,0.2649436129215511,0.11664177044913449,0.5730719539097792,7.13812255478484,30.045599628205167,5.630630630630631e-4,ok
