response,guild,comparison,atlas_start,atlas_end,period_start,period_end,base_site,survey,site,X,Y,cwm_sti_start,cwm_sti_end,delta_cwm_sti,expected_richness_start,expected_richness_end,expected_richness_min,delta_tmean_breeding,delta_prec_breeding,delta_hh,delta_perc_urban,delta_perc_cropland,delta_perc_pasture,delta_perc_forest,delta_perc_grass_shrub
delta_cwm_sti,aerial_insectivores,1990s_minus_1970s,1,2,1970s,1990s,AD90,AD90_2,AD90,447500.0709493527,6252499.57832838,12.306437646334729,12.343260358776448,0.03682271244171886,1.294754515400155,1.2975708649574544,1.294754515400155,-0.20931210935646938,49.98968240795699,-0.006522275041003001,0,-0.0547905853255546,0.010728577878740986,0,0.0440620074468132
delta_cwm_sti,aerial_insectivores,1990s_minus_1970s,1,2,1970s,1990s,BD19,BD19_2,BD19,457500.063487968,6297499.744964002,12.271778534075784,12.34125792606013,0.0694793919843466,2.3988788801758396,1.748316509023639,1.748316509023639,-0.23408337380027078,51.186222128314,0.011444317057704989,0,-0.017539963724891,-0.002085800467272969,0.073064002986102,-0.053438238793938
delta_cwm_sti,aerial_insectivores,1990s_minus_1970s,1,2,1970s,1990s,DC09,DC09_2,DC09,552499.6781305044,6347499.774804628,12.297453861040465,12.33760229890857,0.040148437868104736,2.429075847847856,2.207995090257547,2.207995090257547,-0.2652969277311801,78.29598711680501,0.0019219819274559902,0,0,0.0183995121447326,0,-0.018399512144732594
delta_cwm_sti,aerial_insectivores,1990s_minus_1970s,1,2,1970s,1990s,DB11,DB11_2,DB11,557499.6898730142,6357499.755865983,12.300438183788163,12.34729755229477,0.0468593685066061,2.8472542575611923,2.5561525249209245,2.5561525249209245,-0.26576338942508926,79.11126656545099,0.06450699307141006,0,-0.053559830736253033,0,0,0.0535598307362533
delta_cwm_sti,aerial_insectivores,1990s_minus_1970s,1,2,1970s,1990s,DB13,DB13_2,DB13,557499.6790873646,6367499.744899912,12.300828382970849,12.336872426297857,0.03604404332700817,2.102811168415103,3.098160971198223,2.102811168415103,-0.2691750667627897,77.97370761776502,0.04310667235293497,0,-0.037687342529724055,0.0376873425297236,0,0
delta_cwm_sti,aerial_insectivores,1990s_minus_1970s,1,2,1970s,1990s,DB14,DB14_2,DB14,557499.6920318474,6372499.795985679,12.314528314165017,12.346705065658488,0.032176751493471656,1.990508123202545,2.55882291326695,1.990508123202545,-0.27310366869557967,77.12885577003199,0.030293482881302958,0,-0.023115297629693998,0,0,0.0231152976296945
delta_cwm_sti,aerial_insectivores,1990s_minus_1970s,1,2,1970s,1990s,DB15,DB15_2,DB15,557499.6776623846,6377499.772861233,12.290674009452944,12.330412959586168,0.03973895013322348,2.023414924135599,2.605521194518093,2.023414924135599,-0.27098940788335035,78.56085104603099,0.025162525806179947,0.073064004902591,-0.008098264454008075,0.0194213413063106,-0.0032368902177176972,-0.08115019153717701
delta_cwm_sti,aerial_insectivores,1990s_minus_1970s,1,2,1970s,1990s,DB16,DB16_2,DB16,557499.6934591797,6382499.787658613,12.306887551187975,12.352486558716556,0.04559900752858148,2.161051836518615,1.9745107521966299,1.9745107521966299,-0.2694790499705597,75.25812564913798,0.013744059478240978,-0.060886670748658,0,0.01217733414973099,0.0730640048983903,-0.0243546682994634
delta_cwm_sti,aerial_insectivores,1990s_minus_1970s,1,2,1970s,1990s,DB20,DB20_2,DB20,562499.6596629414,6352499.822055593,12.32061291709042,12.33655128288522,0.015938365794799125,2.1314177161357812,2.616403776149069,2.1314177161357812,-0.26575169680450017,80.73843333525501,0.026609544706083683,0,-0.013577788698812987,0,0,0.0135777886988126
delta_cwm_sti,aerial_insectivores,1990s_minus_1970s,1,2,1970s,1990s,DB21,DB21_2,DB21,562499.6778171846,6357499.774650563,12.292308321811849,12.329262971971048,0.036954650159199076,1.3606321409725703,2.210693438778184,1.3606321409725703,-0.26200605217388073,79.80823900209799,0.255226626587258,0,-0.20471260107062195,0,0,0.2047126010706213
