comparison,base_site,thermal_group,contribution
1990s_minus_1970s,AD90,very_cold,0
1990s_minus_1970s,AD92,very_cold,0
1990s_minus_1970s,AD93,very_cold,0
1990s_minus_1970s,AD94,very_cold,0
1990s_minus_1970s,AD95,very_cold,0
1990s_minus_1970s,AE93,very_cold,0
1990s_minus_1970s,AE94,very_cold,0
1990s_minus_1970s,AE95,very_cold,0
1990s_minus_1970s,AE96,very_cold,0
1990s_minus_1970s,AE97,very_cold,0
1990s_minus_1970s,AE98,very_cold,0
1990s_minus_1970s,AF81,very_cold,0
1990s_minus_1970s,AF82,very_cold,0
1990s_minus_1970s,AF91,very_cold,0
1990s_minus_1970s,AF92,very_cold,0
1990s_minus_1970s,AF93,very_cold,0
1990s_minus_1970s,AF94,very_cold,0
1990s_minus_1970s,AF97,very_cold,0
1990s_minus_1970s,AF98,very_cold,0
1990s_minus_1970s,AF99,very_cold,0
1990s_minus_1970s,BC20,very_cold,0
1990s_minus_1970s,BC21,very_cold,0
1990s_minus_1970s,BC30,very_cold,0
1990s_minus_1970s,BC31,very_cold,0
1990s_minus_1970s,BC32,very_cold,0
1990s_minus_1970s,BC33,very_cold,0
1990s_minus_1970s,BC34,very_cold,0
1990s_minus_1970s,BC41,very_cold,0
1990s_minus_1970s,BC43,very_cold,0
1990s_minus_1970s,BC44,very_cold,0
1990s_minus_1970s,BC45,very_cold,0
1990s_minus_1970s,BC50,very_cold,0
1990s_minus_1970s,BC51,very_cold,0
1990s_minus_1970s,BC52,very_cold,0
1990s_minus_1970s,BC53,very_cold,0
1990s_minus_1970s,BC54,very_cold,0
1990s_minus_1970s,BC55,very_cold,0
1990s_minus_1970s,BC60,very_cold,0
1990s_minus_1970s,BC62,very_cold,0
1990s_minus_1970s,BC64,very_cold,0
1990s_minus_1970s,BC65,very_cold,0
1990s_minus_1970s,BC70,very_cold,0
1990s_minus_1970s,BC71,very_cold,0
1990s_minus_1970s,BC72,very_cold,0
1990s_minus_1970s,BC73,very_cold,0
1990s_minus_1970s,BC74,very_cold,0
1990s_minus_1970s,BC75,very_cold,0
1990s_minus_1970s,BC81,very_cold,0
1990s_minus_1970s,BC82,very_cold,0
1990s_minus_1970s,BC83,very_cold,0
1990s_minus_1970s,BC84,very_cold,0
1990s_minus_1970s,BC85,very_cold,0
1990s_minus_1970s,BC93,very_cold,0
1990s_minus_1970s,BC94,very_cold,0
1990s_minus_1970s,BC95,very_cold,0
1990s_minus_1970s,BC96,very_cold,0
1990s_minus_1970s,BD00,very_cold,0
1990s_minus_1970s,BD02,very_cold,0
1990s_minus_1970s,BD03,very_cold,0
1990s_minus_1970s,BD04,very_cold,0
1990s_minus_1970s,BD05,very_cold,0
1990s_minus_1970s,BD06,very_cold,0
1990s_minus_1970s,BD07,very_cold,0
1990s_minus_1970s,BD08,very_cold,0
1990s_minus_1970s,BD10,very_cold,0
1990s_minus_1970s,BD11,very_cold,0
1990s_minus_1970s,BD12,very_cold,0
1990s_minus_1970s,BD13,very_cold,0
1990s_minus_1970s,BD17,very_cold,0
1990s_minus_1970s,BD18,very_cold,0
1990s_minus_1970s,BD19,very_cold,0
1990s_minus_1970s,BD21,very_cold,0
1990s_minus_1970s,BD22,very_cold,0
1990s_minus_1970s,BD26,very_cold,0
1990s_minus_1970s,BD27,very_cold,0
1990s_minus_1970s,BD28,very_cold,0
1990s_minus_1970s,BD31,very_cold,0
1990s_minus_1970s,BD32,very_cold,0
1990s_minus_1970s,BD35,very_cold,0
1990s_minus_1970s,BD36,very_cold,0
1990s_minus_1970s,BD37,very_cold,0
1990s_minus_1970s,BD38,very_cold,0
1990s_minus_1970s,BD39,very_cold,0
1990s_minus_1970s,BD40,very_cold,0
1990s_minus_1970s,BD41,very_cold,0
1990s_minus_1970s,BD42,very_cold,0
1990s_minus_1970s,BD43,very_cold,0
1990s_minus_1970s,BD44,very_cold,0
1990s_minus_1970s,BD45,very_cold,0
1990s_minus_1970s,BD46,very_cold,0
1990s_minus_1970s,BD47,very_cold,0
1990s_minus_1970s,BD48,very_cold,0
1990s_minus_1970s,BD49,very_cold,0
1990s_minus_1970s,BD50,very_cold,0
1990s_minus_1970s,BD51,very_cold,0
1990s_minus_1970s,BD55,very_cold,0
1990s_minus_1970s,BD56,very_cold,0
1990s_minus_1970s,BD57,very_cold,0
1990s_minus_1970s,BD58,very_cold,0
1990s_minus_1970s,BD59,very_cold,0
1990s_minus_1970s,BD60,very_cold,0
1990s_minus_1970s,BD61,very_cold,0
1990s_minus_1970s,BD64,very_cold,0
1990s_minus_1970s,BD66,very_cold,0
1990s_minus_1970s,BD67,very_cold,0
1990s_minus_1970s,BD68,very_cold,0
1990s_minus_1970s,BD69,very_cold,0
1990s_minus_1970s,BD70,very_cold,0
1990s_minus_1970s,BD71,very_cold,0
1990s_minus_1970s,BD72,very_cold,0
1990s_minus_1970s,BD73,very_cold,0
1990s_minus_1970s,BD74,very_cold,0
1990s_minus_1970s,BD75,very_cold,0
1990s_minus_1970s,BD76,very_cold,0
1990s_minus_1970s,BD77,very_cold,0
1990s_minus_1970s,BD78,very_cold,0
1990s_minus_1970s,BD80,very_cold,0
1990s_minus_1970s,BD81,very_cold,0
1990s_minus_1970s,BD82,very_cold,0
1990s_minus_1970s,BD83,very_cold,0
1990s_minus_1970s,BD85,very_cold,0
1990s_minus_1970s,BD86,very_cold,0
1990s_minus_1970s,BD87,very_cold,0
1990s_minus_1970s,BD88,very_cold,0
1990s_minus_1970s,BD89,very_cold,0
1990s_minus_1970s,BD90,very_cold,0
1990s_minus_1970s,BD91,very_cold,0
1990s_minus_1970s,BD92,very_cold,0
1990s_minus_1970s,BD93,very_cold,0
1990s_minus_1970s,BD94,very_cold,0
1990s_minus_1970s,BD95,very_cold,0
1990s_minus_1970s,BD97,very_cold,0
1990s_minus_1970s,BD98,very_cold,0
1990s_minus_1970s,BE03,very_cold,0
1990s_minus_1970s,BE04,very_cold,0
1990s_minus_1970s,BE05,very_cold,0
1990s_minus_1970s,BE06,very_cold,0
1990s_minus_1970s,BE07,very_cold,0
1990s_minus_1970s,BE08,very_cold,0
1990s_minus_1970s,BE09,very_cold,0
1990s_minus_1970s,BE11,very_cold,0
1990s_minus_1970s,BE12,very_cold,0
1990s_minus_1970s,BE13,very_cold,0
1990s_minus_1970s,BE14,very_cold,0
1990s_minus_1970s,BE15,very_cold,0
1990s_minus_1970s,BE16,very_cold,0
1990s_minus_1970s,BE17,very_cold,0
1990s_minus_1970s,BE18,very_cold,0
1990s_minus_1970s,BE19,very_cold,0
1990s_minus_1970s,BE20,very_cold,0
1990s_minus_1970s,BE21,very_cold,0
1990s_minus_1970s,BE22,very_cold,0
1990s_minus_1970s,BE23,very_cold,0
1990s_minus_1970s,BE24,very_cold,0
1990s_minus_1970s,BE25,very_cold,0
1990s_minus_1970s,BE26,very_cold,0
1990s_minus_1970s,BE27,very_cold,0
1990s_minus_1970s,BE30,very_cold,0
1990s_minus_1970s,BE31,very_cold,0
1990s_minus_1970s,BE32,very_cold,0
1990s_minus_1970s,BE33,very_cold,0
1990s_minus_1970s,BE34,very_cold,0
1990s_minus_1970s,BE35,very_cold,0
1990s_minus_1970s,BE36,very_cold,0
1990s_minus_1970s,BE37,very_cold,0
1990s_minus_1970s,BE38,very_cold,0
1990s_minus_1970s,BE39,very_cold,0
1990s_minus_1970s,BE40,very_cold,0
1990s_minus_1970s,BE41,very_cold,0
1990s_minus_1970s,BE42,very_cold,0
1990s_minus_1970s,BE43,very_cold,0
1990s_minus_1970s,BE44,very_cold,0
1990s_minus_1970s,BE45,very_cold,0
1990s_minus_1970s,BE46,very_cold,0
1990s_minus_1970s,BE47,very_cold,0
1990s_minus_1970s,BE48,very_cold,0
1990s_minus_1970s,BE50,very_cold,0
1990s_minus_1970s,BE51,very_cold,0
1990s_minus_1970s,BE52,very_cold,0
1990s_minus_1970s,BE53,very_cold,0
1990s_minus_1970s,BE54,very_cold,0
1990s_minus_1970s,BE55,very_cold,0
1990s_minus_1970s,BE56,very_cold,0
1990s_minus_1970s,BE57,very_cold,0
1990s_minus_1970s,BE58,very_cold,0
1990s_minus_1970s,BE59,very_cold,0
1990s_minus_1970s,BE60,very_cold,0
1990s_minus_1970s,BE61,very_cold,0
1990s_minus_1970s,BE62,very_cold,0
1990s_minus_1970s,BE63,very_cold,0
1990s_minus_1970s,BE64,very_cold,0
1990s_minus_1970s,BE65,very_cold,0
1990s_minus_1970s,BE66,very_cold,0
1990s_minus_1970s,BE67,very_cold,0
1990s_minus_1970s,BE68,very_cold,0
1990s_minus_1970s,BE69,very_cold,0
1990s_minus_1970s,BE70,very_cold,0
1990s_minus_1970s,BE71,very_cold,0
1990s_minus_1970s,BE73,very_cold,0
1990s_minus_1970s,BE74,very_cold,0
1990s_minus_1970s,BE75,very_cold,0
1990s_minus_1970s,BE76,very_cold,0
1990s_minus_1970s,BE77,very_cold,0
1990s_minus_1970s,BE78,very_cold,0
1990s_minus_1970s,BE79,very_cold,0
1990s_minus_1970s,BE80,very_cold,0
1990s_minus_1970s,BE81,very_cold,0
1990s_minus_1970s,BE82,very_cold,0
1990s_minus_1970s,BE83,very_cold,0
1990s_minus_1970s,BE84,very_cold,0
1990s_minus_1970s,BE85,very_cold,0
1990s_minus_1970s,BE86,very_cold,0
1990s_minus_1970s,BE87,very_cold,0
1990s_minus_1970s,BE88,very_cold,0
1990s_minus_1970s,BE89,very_cold,0
1990s_minus_1970s,BE90,very_cold,0
1990s_minus_1970s,BE91,very_cold,0
1990s_minus_1970s,BE92,very_cold,0
1990s_minus_1970s,BE93,very_cold,0
1990s_minus_1970s,BE94,very_cold,0
1990s_minus_1970s,BE95,very_cold,0
1990s_minus_1970s,BE96,very_cold,0
1990s_minus_1970s,BE97,very_cold,0
1990s_minus_1970s,BE98,very_cold,0
1990s_minus_1970s,BE99,very_cold,0
1990s_minus_1970s,BF00,very_cold,0
1990s_minus_1970s,BF01,very_cold,0
1990s_minus_1970s,BF02,very_cold,0
1990s_minus_1970s,BF03,very_cold,0
1990s_minus_1970s,BF04,very_cold,0
1990s_minus_1970s,BF05,very_cold,0
1990s_minus_1970s,BF06,very_cold,0
1990s_minus_1970s,BF07,very_cold,0
1990s_minus_1970s,BF08,very_cold,0
1990s_minus_1970s,BF11,very_cold,0
1990s_minus_1970s,BF12,very_cold,0
1990s_minus_1970s,BF14,very_cold,0
1990s_minus_1970s,BF15,very_cold,0
1990s_minus_1970s,BF16,very_cold,0
1990s_minus_1970s,BF17,very_cold,0
1990s_minus_1970s,BF18,very_cold,0
1990s_minus_1970s,BF21,very_cold,0
1990s_minus_1970s,BF24,very_cold,0
1990s_minus_1970s,BF27,very_cold,0
1990s_minus_1970s,BF28,very_cold,0
1990s_minus_1970s,BF29,very_cold,0
1990s_minus_1970s,BF31,very_cold,0
1990s_minus_1970s,BF32,very_cold,0
1990s_minus_1970s,BF33,very_cold,0
1990s_minus_1970s,BF34,very_cold,0
1990s_minus_1970s,BF35,very_cold,0
1990s_minus_1970s,BF36,very_cold,0
1990s_minus_1970s,BF37,very_cold,0
1990s_minus_1970s,BF38,very_cold,0
1990s_minus_1970s,BF40,very_cold,0
1990s_minus_1970s,BF41,very_cold,0
1990s_minus_1970s,BF43,very_cold,0
1990s_minus_1970s,BF46,very_cold,0
1990s_minus_1970s,BF47,very_cold,0
1990s_minus_1970s,BF48,very_cold,0
1990s_minus_1970s,BF49,very_cold,0
1990s_minus_1970s,BF50,very_cold,0
1990s_minus_1970s,BF51,very_cold,0
1990s_minus_1970s,BF53,very_cold,0
1990s_minus_1970s,BF55,very_cold,0
1990s_minus_1970s,BF56,very_cold,0
1990s_minus_1970s,BF57,very_cold,0
1990s_minus_1970s,BF58,very_cold,0
1990s_minus_1970s,BF59,very_cold,0
1990s_minus_1970s,BF60,very_cold,0
1990s_minus_1970s,BF61,very_cold,0
1990s_minus_1970s,BF62,very_cold,0
1990s_minus_1970s,BF63,very_cold,0
1990s_minus_1970s,BF64,very_cold,0
1990s_minus_1970s,BF65,very_cold,0
1990s_minus_1970s,BF67,very_cold,0
1990s_minus_1970s,BF68,very_cold,0
1990s_minus_1970s,BF69,very_cold,0
1990s_minus_1970s,BF70,very_cold,0
1990s_minus_1970s,BF71,very_cold,0
1990s_minus_1970s,BF72,very_cold,0
1990s_minus_1970s,BF73,very_cold,0
1990s_minus_1970s,BF76,very_cold,0
1990s_minus_1970s,BF77,very_cold,0
1990s_minus_1970s,BF78,very_cold,0
1990s_minus_1970s,BF79,very_cold,0
1990s_minus_1970s,BF80,very_cold,0
1990s_minus_1970s,BF81,very_cold,0
1990s_minus_1970s,BF82,very_cold,0
1990s_minus_1970s,BF83,very_cold,0
1990s_minus_1970s,BF85,very_cold,0
1990s_minus_1970s,BF87,very_cold,0
1990s_minus_1970s,BF88,very_cold,0
1990s_minus_1970s,BF89,very_cold,0
1990s_minus_1970s,BF90,very_cold,0
1990s_minus_1970s,BF91,very_cold,0
1990s_minus_1970s,BF92,very_cold,0
1990s_minus_1970s,BF93,very_cold,0
1990s_minus_1970s,BF94,very_cold,0
1990s_minus_1970s,BF95,very_cold,0
1990s_minus_1970s,BF97,very_cold,0
1990s_minus_1970s,BF98,very_cold,0
1990s_minus_1970s,BF99,very_cold,0
1990s_minus_1970s,BG27,very_cold,0
1990s_minus_1970s,BG28,very_cold,0
1990s_minus_1970s,BG29,very_cold,0
1990s_minus_1970s,BG30,very_cold,0
1990s_minus_1970s,BG31,very_cold,0
1990s_minus_1970s,BG32,very_cold,0
1990s_minus_1970s,BG33,very_cold,0
1990s_minus_1970s,BG39,very_cold,0
1990s_minus_1970s,BG41,very_cold,0
1990s_minus_1970s,BG42,very_cold,0
1990s_minus_1970s,BG43,very_cold,0
1990s_minus_1970s,BG45,very_cold,0
1990s_minus_1970s,BG49,very_cold,0
1990s_minus_1970s,BG50,very_cold,0
1990s_minus_1970s,BG55,very_cold,0
1990s_minus_1970s,BG57,very_cold,0
1990s_minus_1970s,BG58,very_cold,0
1990s_minus_1970s,BG60,very_cold,0
1990s_minus_1970s,BG61,very_cold,0
1990s_minus_1970s,BG62,very_cold,0
1990s_minus_1970s,BG63,very_cold,0
1990s_minus_1970s,BG64,very_cold,0
1990s_minus_1970s,BG65,very_cold,0
1990s_minus_1970s,BG66,very_cold,0
1990s_minus_1970s,BG67,very_cold,0
1990s_minus_1970s,BG68,very_cold,0
1990s_minus_1970s,BG69,very_cold,0
1990s_minus_1970s,BG70,very_cold,0
