"survey","site","atlas","period","model_year","species_richness","raw_species_pool_size","analysis_set"
"AD90_1","AD90","1","1970s",1971,45,201,"All model-included surveys"
"AD90_2","AD90","2","1990s",1992,40,201,"All model-included surveys"
"AD90_3","AD90","3","2010s",2014,68,201,"All model-included surveys"
"AD91_1","AD91","1","1970s",1971,42,201,"All model-included surveys"
"AD91_3","AD91","3","2010s",2014,70,201,"All model-included surveys"
"AD92_1","AD92","1","1970s",1971,33,201,"All model-included surveys"
"AD92_2","AD92","2","1990s",1992,30,201,"All model-included surveys"
"AD92_3","AD92","3","2010s",2014,37,201,"All model-included surveys"
"AD93_1","AD93","1","1970s",1971,41,201,"All model-included surveys"
"AD93_2","AD93","2","1990s",1992,64,201,"All model-included surveys"
"AD93_3","AD93","3","2010s",2014,43,201,"All model-included surveys"
"AD94_1","AD94","1","1970s",1971,42,201,"All model-included surveys"
"AD94_2","AD94","2","1990s",1992,56,201,"All model-included surveys"
"AD94_3","AD94","3","2010s",2014,65,201,"All model-included surveys"
"AD95_1","AD95","1","1970s",1971,33,201,"All model-included surveys"
"AD95_2","AD95","2","1990s",1992,67,201,"All model-included surveys"
"AD95_3","AD95","3","2010s",2014,64,201,"All model-included surveys"
"AE93_1","AE93","1","1970s",1971,22,201,"All model-included surveys"
"AE93_2","AE93","2","1990s",1992,54,201,"All model-included surveys"
"AE93_3","AE93","3","2010s",2014,61,201,"All model-included surveys"
"AE94_1","AE94","1","1970s",1971,47,201,"All model-included surveys"
"AE94_2","AE94","2","1990s",1992,50,201,"All model-included surveys"
"AE94_3","AE94","3","2010s",2014,58,201,"All model-included surveys"
"AE95_1","AE95","1","1970s",1971,49,201,"All model-included surveys"
"AE95_2","AE95","2","1990s",1992,39,201,"All model-included surveys"
"AE95_3","AE95","3","2010s",2014,77,201,"All model-included surveys"
"AE96_1","AE96","1","1970s",1971,24,201,"All model-included surveys"
"AE96_2","AE96","2","1990s",1992,38,201,"All model-included surveys"
"AE96_3","AE96","3","2010s",2014,55,201,"All model-included surveys"
"AE97_1","AE97","1","1970s",1971,23,201,"All model-included surveys"
"AE97_2","AE97","2","1990s",1992,58,201,"All model-included surveys"
"AE97_3","AE97","3","2010s",2014,68,201,"All model-included surveys"
"AE98_1","AE98","1","1970s",1971,71,201,"All model-included surveys"
"AE98_2","AE98","2","1990s",1992,77,201,"All model-included surveys"
"AE98_3","AE98","3","2010s",2014,80,201,"All model-included surveys"
"AF81_1","AF81","1","1970s",1971,60,201,"All model-included surveys"
"AF81_2","AF81","2","1990s",1992,52,201,"All model-included surveys"
"AF81_3","AF81","3","2010s",2014,56,201,"All model-included surveys"
"AF82_1","AF82","1","1970s",1971,46,201,"All model-included surveys"
"AF82_2","AF82","2","1990s",1992,35,201,"All model-included surveys"
"AF82_3","AF82","3","2010s",2014,41,201,"All model-included surveys"
"AF91_1","AF91","1","1970s",1971,61,201,"All model-included surveys"
"AF91_2","AF91","2","1990s",1992,68,201,"All model-included surveys"
"AF91_3","AF91","3","2010s",2014,54,201,"All model-included surveys"
"AF92_1","AF92","1","1970s",1971,79,201,"All model-included surveys"
"AF92_2","AF92","2","1990s",1992,67,201,"All model-included surveys"
"AF92_3","AF92","3","2010s",2014,53,201,"All model-included surveys"
"AF93_1","AF93","1","1970s",1971,85,201,"All model-included surveys"
"AF93_2","AF93","2","1990s",1992,70,201,"All model-included surveys"
"AF93_3","AF93","3","2010s",2014,60,201,"All model-included surveys"
"AF94_1","AF94","1","1970s",1971,49,201,"All model-included surveys"
"AF94_2","AF94","2","1990s",1992,67,201,"All model-included surveys"
"AF94_3","AF94","3","2010s",2014,59,201,"All model-included surveys"
"AF95_2","AF95","2","1990s",1992,59,201,"All model-included surveys"
"AF95_3","AF95","3","2010s",2014,42,201,"All model-included surveys"
"AF96_1","AF96","1","1970s",1971,42,201,"All model-included surveys"
"AF96_3","AF96","3","2010s",2014,44,201,"All model-included surveys"
"AF97_1","AF97","1","1970s",1971,38,201,"All model-included surveys"
"AF97_2","AF97","2","1990s",1992,42,201,"All model-included surveys"
"AF97_3","AF97","3","2010s",2014,64,201,"All model-included surveys"
"AF98_1","AF98","1","1970s",1971,49,201,"All model-included surveys"
"AF98_2","AF98","2","1990s",1992,50,201,"All model-included surveys"
"AF98_3","AF98","3","2010s",2014,62,201,"All model-included surveys"
"AF99_1","AF99","1","1970s",1971,47,201,"All model-included surveys"
