"site","richness_1970s","richness_1990s","richness_2010s","delta_1990s_minus_1970s","delta_2010s_minus_1990s","delta_2010s_minus_1970s"
"AD90",45,40,68,-5,28,23
"AD92",33,30,37,-3,7,4
"AD93",41,64,43,23,-21,2
"AD94",42,56,65,14,9,23
"AD95",33,67,64,34,-3,31
"AE93",22,54,61,32,7,39
"AE94",47,50,58,3,8,11
"AE95",49,39,77,-10,38,28
"AE96",24,38,55,14,17,31
"AE97",23,58,68,35,10,45
"AE98",71,77,80,6,3,9
"AF81",60,52,56,-8,4,-4
"AF82",46,35,41,-11,6,-5
"AF91",61,68,54,7,-14,-7
"AF92",79,67,53,-12,-14,-26
"AF93",85,70,60,-15,-10,-25
"AF94",49,67,59,18,-8,10
"AF97",38,42,64,4,22,26
"AF98",49,50,62,1,12,13
"AF99",47,39,68,-8,29,21
"BC20",58,60,76,2,16,18
"BC21",45,59,73,14,14,28
"BC30",49,49,40,0,-9,-9
"BC31",48,65,62,17,-3,14
"BC32",50,75,60,25,-15,10
"BC33",49,71,56,22,-15,7
"BC34",45,48,48,3,0,3
"BC41",30,42,37,12,-5,7
"BC43",65,28,59,-37,31,-6
"BC44",61,74,64,13,-10,3
"BC45",33,19,10,-14,-9,-23
"BC50",51,59,56,8,-3,5
"BC51",44,31,53,-13,22,9
"BC52",51,43,47,-8,4,-4
"BC53",50,24,45,-26,21,-5
"BC54",60,85,66,25,-19,6
"BC55",32,81,59,49,-22,27
"BC60",72,56,42,-16,-14,-30
"BC62",37,27,42,-10,15,5
"BC64",47,71,69,24,-2,22
"BC65",54,67,58,13,-9,4
"BC70",66,37,52,-29,15,-14
"BC71",61,40,35,-21,-5,-26
"BC72",46,56,58,10,2,12
"BC73",58,44,58,-14,14,0
"BC74",41,28,59,-13,31,18
"BC75",51,66,75,15,9,24
"BC81",61,53,66,-8,13,5
"BC82",74,62,70,-12,8,-4
"BC83",70,91,60,21,-31,-10
"BC84",78,88,77,10,-11,-1
"BC85",49,52,74,3,22,25
"BC93",44,56,48,12,-8,4
"BC94",78,96,91,18,-5,13
"BC95",55,62,60,7,-2,5
"BC96",60,67,65,7,-2,5
"BD00",44,51,68,7,17,24
"BD02",32,42,46,10,4,14
"BD03",29,45,42,16,-3,13
"BD04",27,60,50,33,-10,23
"BD05",27,64,62,37,-2,35
"BD06",30,46,57,16,11,27
"BD07",60,61,44,1,-17,-16
"BD08",82,70,60,-12,-10,-22
"BD10",36,56,53,20,-3,17
"BD11",60,64,62,4,-2,2
"BD12",46,48,65,2,17,19
"BD13",49,73,76,24,3,27
"BD17",31,27,28,-4,1,-3
"BD18",80,47,47,-33,0,-33
"BD19",67,49,61,-18,12,-6
"BD21",52,63,59,11,-4,7
"BD22",40,55,67,15,12,27
"BD26",65,33,67,-32,34,2
"BD27",56,43,59,-13,16,3
"BD28",59,35,43,-24,8,-16
"BD31",42,56,60,14,4,18
"BD32",35,67,58,32,-9,23
"BD35",42,62,58,20,-4,16
"BD36",59,62,66,3,4,7
"BD37",66,49,70,-17,21,4
"BD38",33,39,36,6,-3,3
"BD39",62,76,51,14,-25,-11
"BD40",33,48,41,15,-7,8
"BD41",34,51,57,17,6,23
"BD42",47,86,72,39,-14,25
