"model_name","atlas","covariate","effect","gradient_min","gradient_max","n_gradient_points","n_posterior_draws","n_species","richness_low_median","richness_high_median","delta_median","delta_q025","delta_q975","pr_delta_positive","slope_median","slope_pr_positive","direction","supported_direction"
"2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage","Atlas1","hh","marginal",0,0.82671060479546,30,100,157,59.7945788196201,65.8278754469657,6.44795361432249,2.84420065136303,9.9862733657324,1,7.76694469589152,1,"positive","positive"
"2026-03-13_06-58-56_Atlas2_MinOccs5_CoverageGoodAverage","Atlas2","hh","marginal",0,0.843464827578149,30,100,157,44.424613849486,59.5147426344882,14.3266067171063,9.31747958592381,18.3870924831727,1,16.9037130615272,1,"positive","positive"
"2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage","Atlas3","hh","marginal",0,0.84531197802587,30,100,157,58.8862022913371,71.1274257201449,11.5414759759714,8.35621399566092,14.2424537377339,1,13.6355265446649,1,"positive","positive"
"2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage","Atlas1","perc_cropland","marginal",0,1,30,100,157,58.8932297111376,63.5296351366619,4.73996417452489,-0.24424851444774,10.2852482499014,0.96,4.79103364709373,0.96,"positive","positive"
"2026-03-13_06-58-56_Atlas2_MinOccs5_CoverageGoodAverage","Atlas2","perc_cropland","marginal",0,1,30,100,157,48.4541326230535,57.3866470201893,9.99443065451653,4.70603744518008,14.8055934527356,1,10.0823164434359,1,"positive","positive"
"2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage","Atlas3","perc_cropland","marginal",0,1,30,100,157,63.3537902633732,69.3014496102773,6.82872831568934,2.97621529975359,11.6897610948838,1,6.9267605192431,1,"positive","positive"
"2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage","Atlas1","perc_forest","marginal",0,0.97873895673172,30,100,157,58.7899199474251,78.4509734515102,20.0289054387152,13.0874880743465,25.0550967429643,1,20.7278602728119,1,"positive","positive"
"2026-03-13_06-58-56_Atlas2_MinOccs5_CoverageGoodAverage","Atlas2","perc_forest","marginal",0,0.99142837960925,30,100,157,49.5940546107522,76.845280324248,26.8685083455331,16.888253045663,34.4275140088392,1,27.6062760336284,1,"positive","positive"
"2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage","Atlas3","perc_forest","marginal",0,1,30,100,157,63.778593202019,84.2501443749727,20.1516134423207,14.7954278419465,25.665672344742,1,20.6995490672753,1,"positive","positive"
"2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage","Atlas1","perc_grass_shrub","marginal",0,0.566842484934837,30,100,157,60.6040938216347,68.8364704249646,7.806412837744,3.10390990929957,12.7721598338296,1,13.8169931980585,1,"positive","positive"
"2026-03-13_06-58-56_Atlas2_MinOccs5_CoverageGoodAverage","Atlas2","perc_grass_shrub","marginal",0,0.705593845871106,30,100,157,54.1081787912077,65.0725777250199,10.6296971240472,4.96577824121552,16.7001853803352,1,15.2235196846779,1,"positive","positive"
"2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage","Atlas3","perc_grass_shrub","marginal",0,0.48307046552177,30,100,157,65.257892634939,69.035471545197,4.19469135472461,1.52100639332488,7.56158473751879,1,8.82619583408515,1,"positive","positive"
"2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage","Atlas1","perc_pasture","marginal",0,0.701720201338416,30,100,157,62.771035200581,67.1816814987532,5.51488763042614,-0.224252082472031,8.93083612800222,0.96,7.79388978890456,0.96,"positive","positive"
"2026-03-13_06-58-56_Atlas2_MinOccs5_CoverageGoodAverage","Atlas2","perc_pasture","marginal",0,0.680441748193146,30,100,157,56.9470449011715,63.2273366088847,6.24655178201527,-0.871974182901184,13.246605509453,0.97,9.15255574156005,0.96,"positive","positive"
"2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage","Atlas3","perc_pasture","marginal",0,0.739063360937982,30,100,157,67.1339698811738,85.1952506657309,17.5985618071008,12.0994702065158,22.7828032530529,1,23.9965422479412,1,"positive","positive"
"2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage","Atlas1","perc_urban","marginal",0,1,30,100,157,61.3951478169846,69.4436864776796,7.85615122521984,1.49741923839508,15.0834840262207,0.98,7.86728079169188,0.99,"positive","positive"
"2026-03-13_06-58-56_Atlas2_MinOccs5_CoverageGoodAverage","Atlas2","perc_urban","marginal",0,1,30,100,157,52.0949084828811,68.6970273113395,15.5557504467371,9.87124913882891,22.3393552786042,1,15.8246185853332,1,"positive","positive"
"2026-03-13_06-58-56_Atlas3_MinOccs5_CoverageGoodAverage","Atlas3","perc_urban","marginal",0,1,30,100,157,63.704276395077,78.3220594999533,14.7226594271356,9.62170669033908,21.4383556630434,1,14.653317711002,1,"positive","positive"
"2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage","Atlas1","prec_breeding","marginal",103.895091550868,161.706972370637,30,100,157,66.5052348486587,57.3366222470363,-9.15416598175107,-15.3230893483356,-3.22579440063982,0,-0.161150071500524,0,"negative","negative"
