"comparison_id","comparison_label","start_period","end_period","site","start_richness","end_richness","delta_richness"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AD93",41,63,22
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AD95",33,65,32
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AE98",69,75,6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AF91",57,68,11
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AF92",76,67,-9
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AF93",84,70,-14
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AF94",49,67,18
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AF98",48,50,2
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AF99",47,38,-9
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC20",58,60,2
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC32",50,75,25
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC33",49,70,21
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC44",59,72,13
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC54",60,84,24
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC60",71,56,-15
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC65",54,67,13
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC72",46,56,10
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC75",51,66,15
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC82",74,62,-12
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC83",69,88,19
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC84",77,86,9
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC85",49,52,3
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC94",76,95,19
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC95",54,62,8
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC96",60,67,7
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD07",59,60,1
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD08",80,70,-10
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD11",60,64,4
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD12",46,48,2
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD13",48,72,24
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD19",67,49,-18
