"survey","site","atlas","period","species_richness","retained_species_pool_size"
"AD90_1","AD90","1","1970s",45,156
"AD91_1","AD91","1","1970s",41,156
"AD93_1","AD93","1","1970s",41,156
"AD95_1","AD95","1","1970s",33,156
"AE94_1","AE94","1","1970s",46,156
"AE95_1","AE95","1","1970s",48,156
"AE98_1","AE98","1","1970s",69,156
"AF81_1","AF81","1","1970s",57,156
"AF82_1","AF82","1","1970s",46,156
"AF91_1","AF91","1","1970s",57,156
"AF92_1","AF92","1","1970s",76,156
"AF93_1","AF93","1","1970s",84,156
"AF94_1","AF94","1","1970s",49,156
"AF96_1","AF96","1","1970s",42,156
"AF98_1","AF98","1","1970s",48,156
"AF99_1","AF99","1","1970s",47,156
"BC20_1","BC20","1","1970s",58,156
"BC30_1","BC30","1","1970s",49,156
"BC32_1","BC32","1","1970s",50,156
"BC33_1","BC33","1","1970s",49,156
"BC34_1","BC34","1","1970s",44,156
"BC43_1","BC43","1","1970s",65,156
"BC44_1","BC44","1","1970s",59,156
"BC45_1","BC45","1","1970s",32,156
"BC50_1","BC50","1","1970s",51,156
"BC53_1","BC53","1","1970s",50,156
"BC54_1","BC54","1","1970s",60,156
"BC60_1","BC60","1","1970s",71,156
"BC62_1","BC62","1","1970s",36,156
"BC65_1","BC65","1","1970s",54,156
"BC70_1","BC70","1","1970s",66,156
"BC71_1","BC71","1","1970s",61,156
"BC72_1","BC72","1","1970s",46,156
"BC73_1","BC73","1","1970s",58,156
"BC75_1","BC75","1","1970s",51,156
"BC81_1","BC81","1","1970s",61,156
"BC82_1","BC82","1","1970s",74,156
"BC83_1","BC83","1","1970s",69,156
"BC84_1","BC84","1","1970s",77,156
"BC85_1","BC85","1","1970s",49,156
"BC93_1","BC93","1","1970s",44,156
"BC94_1","BC94","1","1970s",76,156
"BC95_1","BC95","1","1970s",54,156
"BC96_1","BC96","1","1970s",60,156
"BD07_1","BD07","1","1970s",59,156
"BD08_1","BD08","1","1970s",80,156
"BD11_1","BD11","1","1970s",60,156
"BD12_1","BD12","1","1970s",46,156
"BD13_1","BD13","1","1970s",48,156
"BD18_1","BD18","1","1970s",79,156
"BD19_1","BD19","1","1970s",67,156
"BD21_1","BD21","1","1970s",52,156
"BD26_1","BD26","1","1970s",65,156
"BD27_1","BD27","1","1970s",56,156
"BD28_1","BD28","1","1970s",59,156
"BD35_1","BD35","1","1970s",42,156
"BD36_1","BD36","1","1970s",59,156
"BD37_1","BD37","1","1970s",66,156
"BD39_1","BD39","1","1970s",62,156
"BD43_1","BD43","1","1970s",41,156
"BD45_1","BD45","1","1970s",52,156
"BD46_1","BD46","1","1970s",50,156
"BD47_1","BD47","1","1970s",64,156
"BD48_1","BD48","1","1970s",67,156
"BD49_1","BD49","1","1970s",57,156
"BD50_1","BD50","1","1970s",44,156
"BD51_1","BD51","1","1970s",60,156
"BD55_1","BD55","1","1970s",54,156
"BD56_1","BD56","1","1970s",62,156
"BD57_1","BD57","1","1970s",68,156
"BD58_1","BD58","1","1970s",51,156
"BD59_1","BD59","1","1970s",73,156
"BD61_1","BD61","1","1970s",60,156
"BD66_1","BD66","1","1970s",52,156
"BD67_1","BD67","1","1970s",44,156
"BD68_1","BD68","1","1970s",51,156
"BD70_1","BD70","1","1970s",58,156
"BD73_1","BD73","1","1970s",55,156
"BD76_1","BD76","1","1970s",74,156
"BD77_1","BD77","1","1970s",75,156
"BD78_1","BD78","1","1970s",74,156
"BD80_1","BD80","1","1970s",45,156
"BD81_1","BD81","1","1970s",58,156
"BD82_1","BD82","1","1970s",59,156
"BD84_1","BD84","1","1970s",39,156
"BD86_1","BD86","1","1970s",57,156
"BD87_1","BD87","1","1970s",51,156
"BD88_1","BD88","1","1970s",60,156
"BD89_1","BD89","1","1970s",47,156
"BD91_1","BD91","1","1970s",62,156
"BD93_1","BD93","1","1970s",48,156
"BD96_1","BD96","1","1970s",47,156
"BD97_1","BD97","1","1970s",60,156
"BD98_1","BD98","1","1970s",49,156
"BE03_1","BE03","1","1970s",47,156
"BE05_1","BE05","1","1970s",52,156
"BE07_1","BE07","1","1970s",61,156
"BE08_1","BE08","1","1970s",60,156
"BE09_1","BE09","1","1970s",51,156
"BE11_1","BE11","1","1970s",61,156
"BE12_1","BE12","1","1970s",40,156
"BE13_1","BE13","1","1970s",41,156
"BE14_1","BE14","1","1970s",46,156
"BE15_1","BE15","1","1970s",45,156
"BE16_1","BE16","1","1970s",44,156
"BE17_1","BE17","1","1970s",71,156
"BE18_1","BE18","1","1970s",59,156
"BE20_1","BE20","1","1970s",58,156
"BE22_1","BE22","1","1970s",52,156
"BE23_1","BE23","1","1970s",54,156
"BE25_1","BE25","1","1970s",63,156
"BE27_1","BE27","1","1970s",43,156
"BE28_1","BE28","1","1970s",46,156
"BE29_1","BE29","1","1970s",48,156
"BE30_1","BE30","1","1970s",58,156
"BE31_1","BE31","1","1970s",58,156
"BE32_1","BE32","1","1970s",49,156
"BE33_1","BE33","1","1970s",57,156
"BE34_1","BE34","1","1970s",61,156
"BE36_1","BE36","1","1970s",38,156
"BE40_1","BE40","1","1970s",61,156
"BE41_1","BE41","1","1970s",49,156
"BE43_1","BE43","1","1970s",46,156
"BE45_1","BE45","1","1970s",47,156
"BE50_1","BE50","1","1970s",59,156
"BE52_1","BE52","1","1970s",49,156
"BE53_1","BE53","1","1970s",52,156
"BE54_1","BE54","1","1970s",46,156
"BE55_1","BE55","1","1970s",54,156
"BE59_1","BE59","1","1970s",43,156
"BE60_1","BE60","1","1970s",61,156
"BE62_1","BE62","1","1970s",54,156
"BE63_1","BE63","1","1970s",45,156
"BE65_1","BE65","1","1970s",46,156
"BE70_1","BE70","1","1970s",53,156
"BE71_1","BE71","1","1970s",59,156
"BE78_1","BE78","1","1970s",47,156
"BE80_1","BE80","1","1970s",59,156
"BE82_1","BE82","1","1970s",53,156
"BE84_1","BE84","1","1970s",51,156
"BE85_1","BE85","1","1970s",42,156
"BE86_1","BE86","1","1970s",50,156
"BE89_1","BE89","1","1970s",72,156
"BE90_1","BE90","1","1970s",57,156
"BE91_1","BE91","1","1970s",62,156
"BE92_1","BE92","1","1970s",55,156
"BE94_1","BE94","1","1970s",56,156
"BE95_1","BE95","1","1970s",47,156
"BE96_1","BE96","1","1970s",38,156
"BE99_1","BE99","1","1970s",62,156
"BF00_1","BF00","1","1970s",57,156
"BF02_1","BF02","1","1970s",54,156
"BF03_1","BF03","1","1970s",63,156
"BF04_1","BF04","1","1970s",48,156
"BF05_1","BF05","1","1970s",59,156
"BF06_1","BF06","1","1970s",54,156
"BF07_1","BF07","1","1970s",52,156
"BF08_1","BF08","1","1970s",44,156
"BF11_1","BF11","1","1970s",58,156
"BF12_1","BF12","1","1970s",61,156
"BF15_1","BF15","1","1970s",38,156
"BF16_1","BF16","1","1970s",43,156
"BF18_1","BF18","1","1970s",33,156
"BF21_1","BF21","1","1970s",50,156
"BF29_1","BF29","1","1970s",58,156
"BF31_1","BF31","1","1970s",54,156
"BF32_1","BF32","1","1970s",71,156
"BF33_1","BF33","1","1970s",63,156
"BF38_1","BF38","1","1970s",47,156
"BF39_1","BF39","1","1970s",60,156
"BF40_1","BF40","1","1970s",55,156
"BF41_1","BF41","1","1970s",57,156
"BF43_1","BF43","1","1970s",48,156
"BF44_1","BF44","1","1970s",62,156
"BF49_1","BF49","1","1970s",66,156
"BF50_1","BF50","1","1970s",55,156
"BF58_1","BF58","1","1970s",43,156
"BF59_1","BF59","1","1970s",61,156
"BF60_1","BF60","1","1970s",59,156
"BF61_1","BF61","1","1970s",45,156
"BF62_1","BF62","1","1970s",57,156
"BF68_1","BF68","1","1970s",57,156
"BF69_1","BF69","1","1970s",57,156
"BF72_1","BF72","1","1970s",53,156
"BF77_1","BF77","1","1970s",51,156
"BF78_1","BF78","1","1970s",53,156
"BF79_1","BF79","1","1970s",53,156
"BF80_1","BF80","1","1970s",52,156
"BF81_1","BF81","1","1970s",55,156
"BF82_1","BF82","1","1970s",64,156
"BF83_1","BF83","1","1970s",60,156
"BF88_1","BF88","1","1970s",53,156
"BF89_1","BF89","1","1970s",53,156
"BF94_1","BF94","1","1970s",50,156
"BF97_1","BF97","1","1970s",47,156
"BG27_1","BG27","1","1970s",64,156
"BG28_1","BG28","1","1970s",59,156
"BG29_1","BG29","1","1970s",87,156
"BG30_1","BG30","1","1970s",37,156
"BG31_1","BG31","1","1970s",85,156
"BG32_1","BG32","1","1970s",92,156
"BG33_1","BG33","1","1970s",17,156
"BG39_1","BG39","1","1970s",54,156
"BG41_1","BG41","1","1970s",61,156
"BG42_1","BG42","1","1970s",72,156
"BG43_1","BG43","1","1970s",39,156
"BG45_1","BG45","1","1970s",35,156
"BG49_1","BG49","1","1970s",66,156
"BG50_1","BG50","1","1970s",47,156
"BG54_1","BG54","1","1970s",41,156
"BG55_1","BG55","1","1970s",73,156
"BG60_1","BG60","1","1970s",63,156
"BG61_1","BG61","1","1970s",60,156
"BG62_1","BG62","1","1970s",68,156
"BG63_1","BG63","1","1970s",73,156
"BG64_1","BG64","1","1970s",60,156
"BG65_1","BG65","1","1970s",60,156
"BG66_1","BG66","1","1970s",65,156
"BG70_1","BG70","1","1970s",50,156
"BG71_1","BG71","1","1970s",52,156
"BG72_1","BG72","1","1970s",59,156
"BG73_1","BG73","1","1970s",65,156
"BG74_1","BG74","1","1970s",55,156
"BG75_1","BG75","1","1970s",54,156
"BG76_1","BG76","1","1970s",80,156
"BG79_1","BG79","1","1970s",47,156
"BG80_1","BG80","1","1970s",59,156
"BG81_1","BG81","1","1970s",51,156
"BG82_1","BG82","1","1970s",50,156
"BG83_1","BG83","1","1970s",65,156
"BG84_1","BG84","1","1970s",56,156
"BG85_1","BG85","1","1970s",74,156
"BG86_1","BG86","1","1970s",52,156
"BG90_1","BG90","1","1970s",61,156
"BG91_1","BG91","1","1970s",52,156
"BG92_1","BG92","1","1970s",57,156
"BG93_1","BG93","1","1970s",65,156
"BH57_1","BH57","1","1970s",67,156
"BH58_1","BH58","1","1970s",57,156
"BH59_1","BH59","1","1970s",55,156
"BH66_1","BH66","1","1970s",57,156
"BH67_1","BH67","1","1970s",66,156
"BH68_1","BH68","1","1970s",55,156
"BH69_1","BH69","1","1970s",61,156
"BH76_1","BH76","1","1970s",75,156
"BH77_1","BH77","1","1970s",86,156
"BH78_1","BH78","1","1970s",63,156
"BH79_1","BH79","1","1970s",63,156
"BH86_1","BH86","1","1970s",47,156
"BH87_1","BH87","1","1970s",82,156
"BH88_1","BH88","1","1970s",60,156
"BH89_1","BH89","1","1970s",59,156
"BH96_1","BH96","1","1970s",51,156
"BH97_1","BH97","1","1970s",62,156
"BH99_1","BH99","1","1970s",91,156
"CC04_1","CC04","1","1970s",67,156
"CC05_1","CC05","1","1970s",48,156
"CC06_1","CC06","1","1970s",61,156
"CC14_1","CC14","1","1970s",38,156
"CC16_1","CC16","1","1970s",50,156
"CC23_1","CC23","1","1970s",57,156
"CC24_1","CC24","1","1970s",55,156
"CC25_1","CC25","1","1970s",45,156
"CC31_1","CC31","1","1970s",54,156
"CC35_1","CC35","1","1970s",43,156
"CC36_1","CC36","1","1970s",59,156
"CC41_1","CC41","1","1970s",52,156
"CC46_1","CC46","1","1970s",72,156
"CC50_1","CC50","1","1970s",55,156
"CC53_1","CC53","1","1970s",71,156
"CC54_1","CC54","1","1970s",62,156
"CC56_1","CC56","1","1970s",73,156
"CC57_1","CC57","1","1970s",50,156
"CC60_1","CC60","1","1970s",55,156
"CC61_1","CC61","1","1970s",75,156
"CC62_1","CC62","1","1970s",65,156
"CC64_1","CC64","1","1970s",57,156
"CC65_1","CC65","1","1970s",48,156
"CC68_1","CC68","1","1970s",43,156
"CC70_1","CC70","1","1970s",71,156
"CC72_1","CC72","1","1970s",65,156
"CC75_1","CC75","1","1970s",96,156
"CC77_1","CC77","1","1970s",61,156
"CC80_1","CC80","1","1970s",83,156
"CC83_1","CC83","1","1970s",59,156
"CC84_1","CC84","1","1970s",41,156
"CC85_1","CC85","1","1970s",84,156
"CC86_1","CC86","1","1970s",50,156
"CC88_1","CC88","1","1970s",46,156
"CC92_1","CC92","1","1970s",58,156
"CC93_1","CC93","1","1970s",62,156
"CC94_1","CC94","1","1970s",62,156
"CC95_1","CC95","1","1970s",30,156
"CC96_1","CC96","1","1970s",60,156
"CC97_1","CC97","1","1970s",79,156
"CC98_1","CC98","1","1970s",55,156
"CD03_1","CD03","1","1970s",72,156
"CD04_1","CD04","1","1970s",60,156
"CD08_1","CD08","1","1970s",60,156
"CD09_1","CD09","1","1970s",55,156
"CD11_1","CD11","1","1970s",61,156
"CD12_1","CD12","1","1970s",46,156
"CD15_1","CD15","1","1970s",47,156
"CD17_1","CD17","1","1970s",46,156
"CD18_1","CD18","1","1970s",43,156
"CD20_1","CD20","1","1970s",64,156
"CD21_1","CD21","1","1970s",54,156
"CD22_1","CD22","1","1970s",57,156
"CD31_1","CD31","1","1970s",46,156
"CD32_1","CD32","1","1970s",45,156
"CD33_1","CD33","1","1970s",74,156
"CD36_1","CD36","1","1970s",42,156
"CD40_1","CD40","1","1970s",68,156
"CD42_1","CD42","1","1970s",59,156
"CD43_1","CD43","1","1970s",59,156
"CD47_1","CD47","1","1970s",60,156
"CD50_1","CD50","1","1970s",52,156
"CD51_1","CD51","1","1970s",54,156
"CD54_1","CD54","1","1970s",60,156
"CD57_1","CD57","1","1970s",47,156
