"site","survey","atlas","period","species_richness","retained_species_pool_size"
"AD93","AD93_1","1","1970s",41,156
"AD95","AD95_1","1","1970s",33,156
"AE98","AE98_1","1","1970s",69,156
"AF91","AF91_1","1","1970s",57,156
"AF92","AF92_1","1","1970s",76,156
"AF93","AF93_1","1","1970s",84,156
"AF94","AF94_1","1","1970s",49,156
"AF98","AF98_1","1","1970s",48,156
"AF99","AF99_1","1","1970s",47,156
"BC20","BC20_1","1","1970s",58,156
"BC32","BC32_1","1","1970s",50,156
"BC33","BC33_1","1","1970s",49,156
"BC44","BC44_1","1","1970s",59,156
"BC54","BC54_1","1","1970s",60,156
"BC60","BC60_1","1","1970s",71,156
"BC65","BC65_1","1","1970s",54,156
"BC72","BC72_1","1","1970s",46,156
"BC75","BC75_1","1","1970s",51,156
"BC82","BC82_1","1","1970s",74,156
"BC83","BC83_1","1","1970s",69,156
"BC84","BC84_1","1","1970s",77,156
"BC85","BC85_1","1","1970s",49,156
"BC94","BC94_1","1","1970s",76,156
"BC95","BC95_1","1","1970s",54,156
"BC96","BC96_1","1","1970s",60,156
"BD07","BD07_1","1","1970s",59,156
"BD08","BD08_1","1","1970s",80,156
"BD11","BD11_1","1","1970s",60,156
"BD12","BD12_1","1","1970s",46,156
"BD13","BD13_1","1","1970s",48,156
"BD19","BD19_1","1","1970s",67,156
"BD21","BD21_1","1","1970s",52,156
"BD35","BD35_1","1","1970s",42,156
"BD36","BD36_1","1","1970s",59,156
"BD39","BD39_1","1","1970s",62,156
"BD43","BD43_1","1","1970s",41,156
"BD45","BD45_1","1","1970s",52,156
"BD46","BD46_1","1","1970s",50,156
"BD49","BD49_1","1","1970s",57,156
"BD50","BD50_1","1","1970s",44,156
"BD51","BD51_1","1","1970s",60,156
"BD56","BD56_1","1","1970s",62,156
"BD57","BD57_1","1","1970s",68,156
"BD61","BD61_1","1","1970s",60,156
"BD66","BD66_1","1","1970s",52,156
"BD68","BD68_1","1","1970s",51,156
"BD70","BD70_1","1","1970s",58,156
"BD73","BD73_1","1","1970s",55,156
"BD76","BD76_1","1","1970s",74,156
"BD77","BD77_1","1","1970s",75,156
"BD80","BD80_1","1","1970s",45,156
"BD81","BD81_1","1","1970s",58,156
"BD82","BD82_1","1","1970s",59,156
"BD88","BD88_1","1","1970s",60,156
"BD91","BD91_1","1","1970s",62,156
"BE03","BE03_1","1","1970s",47,156
"BE07","BE07_1","1","1970s",61,156
"BE08","BE08_1","1","1970s",60,156
"BE09","BE09_1","1","1970s",51,156
"BE11","BE11_1","1","1970s",61,156
"BE12","BE12_1","1","1970s",40,156
"BE13","BE13_1","1","1970s",41,156
"BE14","BE14_1","1","1970s",46,156
"BE15","BE15_1","1","1970s",45,156
"BE16","BE16_1","1","1970s",44,156
"BE17","BE17_1","1","1970s",71,156
"BE20","BE20_1","1","1970s",58,156
"BE22","BE22_1","1","1970s",52,156
"BE27","BE27_1","1","1970s",43,156
"BE30","BE30_1","1","1970s",58,156
"BE32","BE32_1","1","1970s",49,156
"BE34","BE34_1","1","1970s",61,156
"BE36","BE36_1","1","1970s",38,156
"BE45","BE45_1","1","1970s",47,156
"BE55","BE55_1","1","1970s",54,156
"BE59","BE59_1","1","1970s",43,156
"BE62","BE62_1","1","1970s",54,156
"BE63","BE63_1","1","1970s",45,156
"BE78","BE78_1","1","1970s",47,156
"BE80","BE80_1","1","1970s",59,156
"BE82","BE82_1","1","1970s",53,156
"BE84","BE84_1","1","1970s",51,156
"BE86","BE86_1","1","1970s",50,156
"BE89","BE89_1","1","1970s",72,156
"BE92","BE92_1","1","1970s",55,156
"BE94","BE94_1","1","1970s",56,156
"BE95","BE95_1","1","1970s",47,156
"BE96","BE96_1","1","1970s",38,156
"BE99","BE99_1","1","1970s",62,156
"BF02","BF02_1","1","1970s",54,156
"BF03","BF03_1","1","1970s",63,156
"BF04","BF04_1","1","1970s",48,156
