"comparison_id","comparison_label","start_period","end_period","species","occupied_grid_cells_start","occupied_grid_cells_end","n_shared_grid_cells","records_1970s","records_1990s","records_2010s","prop_occupied_start","prop_occupied_end","delta_occupied_grid_cells","delta_occupancy_proportion","delta_occupancy_percentage_points","change_class","foraging_guild_consensus","species_english"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Acrocephalus_schoenobaenus",621,270,894,621,270,291,0.694630872483222,0.302013422818792,-351,-0.39261744966443,-39.261744966443,"Decrease","Marsh warblers","Sedge Warbler"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Emberiza_calandra",759,491,894,759,491,523,0.848993288590604,0.549217002237136,-268,-0.299776286353468,-29.9776286353468,"Decrease","Buntings","Corn Bunting"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Gallinago_gallinago",507,376,894,507,376,256,0.567114093959732,0.420581655480984,-131,-0.146532438478747,-14.6532438478747,"Decrease","Scolopacids","Common Snipe"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Riparia_riparia",506,378,894,506,378,268,0.565995525727069,0.422818791946309,-128,-0.143176733780761,-14.3176733780761,"Decrease","Aerial insectivores","Sand Martin"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Athene_noctua",158,32,894,158,32,6,0.176733780760626,0.0357941834451902,-126,-0.140939597315436,-14.0939597315436,"Decrease","Owls","Little Owl"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Oenanthe_oenanthe",259,137,894,259,137,64,0.289709172259508,0.15324384787472,-122,-0.136465324384787,-13.6465324384787,"Decrease","Low flycatching feeders","Northern Wheatear"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Motacilla_flava",297,178,894,297,178,224,0.332214765100671,0.19910514541387,-119,-0.133109619686801,-13.3109619686801,"Decrease","Open-land insectivores","Western Yellow Wagtail"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Chroicocephalus_ridibundus",322,214,894,322,214,137,0.360178970917226,0.239373601789709,-108,-0.120805369127517,-12.0805369127517,"Decrease","Gulls","Black-headed Gull"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Oriolus_oriolus",135,43,894,135,43,14,0.151006711409396,0.0480984340044743,-92,-0.102908277404922,-10.2908277404922,"Decrease","Orioles","Eurasian Golden Oriole"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Coloeus_monedula",600,686,894,600,686,633,0.671140939597315,0.767337807606264,86,0.0961968680089486,9.61968680089486,"Stable","Omnivorous corvids","Western Jackdaw"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Delichon_urbicum",702,788,894,702,788,793,0.785234899328859,0.881431767337808,86,0.0961968680089486,9.61968680089486,"Stable","Aerial insectivores","Common House Martin"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Luscinia_luscinia",533,619,894,533,619,539,0.596196868008949,0.692393736017897,86,0.0961968680089486,9.61968680089486,"Stable","Low flycatching feeders","Thrush Nightingale"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Motacilla_cinerea",68,154,894,68,154,118,0.0760626398210291,0.172259507829978,86,0.0961968680089485,9.61968680089485,"Stable","Open-land insectivores","Grey Wagtail"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Scolopax_rusticola",152,237,894,152,237,203,0.170022371364653,0.26510067114094,85,0.0950782997762863,9.50782997762864,"Stable","Scolopacids","Eurasian Woodcock"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Sylvia_atricapilla",775,857,894,775,857,880,0.866890380313199,0.958612975391499,82,0.0917225950782998,9.17225950782998,"Stable","Foliage gleaners","Eurasian Blackcap"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Chloris_chloris",789,869,894,789,869,860,0.88255033557047,0.972035794183445,80,0.0894854586129754,8.94854586129754,"Stable","Passerine seedeaters","European Greenfinch"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Tadorna_tadorna",500,579,894,500,579,431,0.559284116331096,0.647651006711409,79,0.0883668903803132,8.83668903803132,"Stable","Dabbling ducks","Common Shelduck"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Apus_apus",277,354,894,277,354,332,0.309843400447427,0.395973154362416,77,0.0861297539149888,8.61297539149888,"Stable","Aerial insectivores","Common Swift"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Ficedula_hypoleuca",348,424,894,348,424,192,0.389261744966443,0.47427293064877,76,0.0850111856823266,8.50111856823266,"Stable","Flycatchers","European Pied Flycatcher"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Phylloscopus_sibilatrix",476,401,894,476,401,369,0.532438478747204,0.448545861297539,-75,-0.0838926174496645,-8.38926174496645,"Stable","Foliage gleaners","Wood Warbler"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Charadrius_dubius",73,148,894,73,148,214,0.08165548098434,0.165548098434004,75,0.0838926174496644,8.38926174496644,"Stable","Plovers","Little Ringed Plover"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Regulus_regulus",683,757,894,683,757,656,0.763982102908277,0.84675615212528,74,0.0827740492170023,8.27740492170023,"Stable","Tit-like birds","Goldcrest"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Motacilla_alba",801,873,894,801,873,875,0.895973154362416,0.976510067114094,72,0.0805369127516778,8.05369127516778,"Stable","Open-land insectivores","White Wagtail"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Podiceps_cristatus",278,348,894,278,348,295,0.310961968680089,0.389261744966443,70,0.0782997762863535,7.82997762863535,"Stable","Aquatic pursuers","Great Crested Grebe"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Ardea_cinerea",74,138,894,74,138,174,0.0827740492170022,0.154362416107383,64,0.0715883668903803,7.15883668903803,"Stable","Wading birds","Grey Heron"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Dryocopus_martius",49,113,894,49,113,103,0.0548098434004474,0.126398210290828,64,0.0715883668903803,7.15883668903803,"Stable","Woodpeckers","Black Woodpecker"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Cyanistes_caeruleus",818,878,894,818,878,870,0.914988814317673,0.982102908277405,60,0.0671140939597314,6.71140939597314,"Stable","Tit-like birds","Eurasian Blue Tit"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Gallinula_chloropus",685,744,894,685,744,577,0.766219239373602,0.832214765100671,59,0.0659955257270693,6.59955257270694,"Stable","Rails","Common Moorhen"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Passer_montanus",795,854,894,795,854,845,0.889261744966443,0.955257270693512,59,0.0659955257270693,6.59955257270694,"Stable","Passerine seedeaters","Eurasian Tree Sparrow"
