"comparison_id","comparison_label","start_period","end_period","site","start_richness","end_richness","delta_richness"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AD90",45,40,-5
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AD92",32,30,-2
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AD93",41,64,23
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AD94",42,56,14
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AD95",33,66,33
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AE93",22,54,32
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AE94",46,50,4
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AE95",48,39,-9
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AE96",24,38,14
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AE97",23,58,35
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AE98",69,76,7
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AF81",57,51,-6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AF82",46,34,-12
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AF91",57,68,11
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AF92",76,67,-9
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AF93",84,70,-14
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AF94",49,67,18
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AF97",38,42,4
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AF98",48,50,2
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AF99",47,38,-9
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC20",58,60,2
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC21",45,59,14
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC30",49,49,0
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC31",48,65,17
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC32",50,75,25
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC33",49,70,21
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC34",44,48,4
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC41",30,42,12
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC43",65,28,-37
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC44",59,72,13
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC45",32,19,-13
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC50",51,59,8
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC51",44,31,-13
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC52",51,43,-8
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC53",50,24,-26
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC54",60,84,24
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC55",31,80,49
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC60",71,56,-15
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC62",36,27,-9
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC64",47,71,24
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC65",54,67,13
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC70",66,37,-29
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC71",61,40,-21
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC72",46,56,10
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC73",58,44,-14
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC74",41,28,-13
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC75",51,66,15
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC81",61,53,-8
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC82",74,62,-12
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC83",69,88,19
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC84",77,86,9
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC85",49,52,3
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC93",44,56,12
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC94",76,95,19
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC95",54,62,8
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC96",60,67,7
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD00",44,51,7
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD02",32,42,10
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD03",29,45,16
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD04",27,60,33
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD05",27,63,36
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD06",30,46,16
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD07",59,60,1
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD08",80,70,-10
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD10",36,56,20
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD11",60,64,4
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD12",46,48,2
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD13",48,72,24
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD17",31,27,-4
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD18",79,47,-32
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD19",67,49,-18
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD21",52,63,11
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD22",40,55,15
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD26",65,33,-32
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD27",56,43,-13
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD28",59,35,-24
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD31",42,56,14
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD32",35,67,32
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD35",42,62,20
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD36",59,62,3
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD37",66,49,-17
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD38",32,39,7
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD39",62,76,14
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD40",33,48,15
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD41",34,51,17
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD42",46,86,40
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD43",41,62,21
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD44",38,65,27
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD45",52,71,19
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD46",50,50,0
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD47",64,52,-12
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD48",67,42,-25
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD49",57,58,1
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD50",44,42,-2
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD51",60,65,5
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD55",54,53,-1
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD56",62,51,-11
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD57",68,65,-3
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD58",51,57,6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD59",73,60,-13
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD60",36,63,27
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD61",60,77,17
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD64",42,56,14
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD66",52,57,5
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD67",44,49,5
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD68",51,57,6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD69",52,40,-12
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD70",58,65,7
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD71",45,60,15
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD72",48,63,15
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD73",55,96,41
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD74",48,51,3
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD75",38,57,19
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD76",74,59,-15
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD77",75,73,-2
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD78",74,57,-17
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD80",45,64,19
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD81",58,70,12
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD82",59,80,21
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD83",37,81,44
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD85",44,44,0
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD86",57,63,6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD87",51,40,-11
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD88",60,66,6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD89",47,47,0
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD90",38,58,20
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD91",62,58,-4
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD92",35,62,27
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD93",48,40,-8
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD94",38,24,-14
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD95",30,40,10
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD97",60,38,-22
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD98",49,39,-10
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE03",47,68,21
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE04",36,68,32
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE05",52,42,-10
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE06",26,76,50
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE07",61,78,17
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE08",60,78,18
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE09",51,48,-3
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE11",61,69,8
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE12",40,67,27
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE13",41,61,20
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BE14",46,63,17
