"comparison_id","comparison_label","start_period","end_period","species","occupied_grid_cells_start","occupied_grid_cells_end","n_shared_grid_cells","records_1970s","records_1990s","records_2010s","prop_occupied_start","prop_occupied_end","delta_occupied_grid_cells","delta_occupancy_proportion","delta_occupancy_percentage_points","change_class","foraging_guild_consensus","species_english"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Acrocephalus_schoenobaenus",1007,430,1726,1007,430,497,0.58342989571263,0.249130938586327,-577,-0.334298957126304,-33.4298957126304,"Decrease","Marsh warblers","Sedge Warbler"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Emberiza_calandra",1482,1043,1726,1482,1043,1160,0.858632676709154,0.604287369640788,-439,-0.254345307068366,-25.4345307068366,"Decrease","Buntings","Corn Bunting"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Riparia_riparia",866,620,1726,866,620,483,0.501738122827346,0.359212050984936,-246,-0.14252607184241,-14.252607184241,"Decrease","Aerial insectivores","Sand Martin"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Gallinago_gallinago",836,605,1726,836,605,454,0.484356894553882,0.350521436848204,-231,-0.133835457705678,-13.3835457705678,"Decrease","Scolopacids","Common Snipe"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Athene_noctua",308,92,1726,308,92,20,0.178447276940904,0.0533024333719583,-216,-0.125144843568946,-12.5144843568946,"Decrease","Owls","Little Owl"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Oenanthe_oenanthe",422,207,1726,422,207,86,0.24449594438007,0.119930475086906,-215,-0.124565469293163,-12.4565469293163,"Decrease","Low flycatching feeders","Northern Wheatear"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Chroicocephalus_ridibundus",521,337,1726,521,337,210,0.301853997682503,0.195249130938586,-184,-0.106604866743917,-10.6604866743917,"Decrease","Gulls","Black-headed Gull"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Motacilla_flava",468,295,1726,468,295,396,0.271147161066049,0.170915411355736,-173,-0.100231749710313,-10.0231749710313,"Decrease","Open-land insectivores","Western Yellow Wagtail"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Spinus_spinus",119,291,1726,119,291,169,0.0689455388180765,0.168597914252607,172,0.0996523754345307,9.96523754345307,"Stable","Passerine seedeaters","Eurasian Siskin"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Locustella_naevia",217,386,1726,217,386,507,0.125724217844728,0.223638470451912,169,0.0979142526071842,9.79142526071842,"Stable","Marsh warblers","Common Grasshopper Warbler"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Certhia_brachydactyla",31,189,1726,31,189,465,0.0179606025492468,0.109501738122827,158,0.0915411355735805,9.15411355735805,"Stable","Tit-like birds","Short-toed Treecreeper"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Rallus_aquaticus",226,384,1726,226,384,550,0.130938586326767,0.222479721900348,158,0.0915411355735805,9.15411355735805,"Stable","Rails","Water Rail"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Passer_montanus",1451,1604,1726,1451,1604,1642,0.840672074159907,0.929316338354577,153,0.0886442641946698,8.86442641946697,"Stable","Passerine seedeaters","Eurasian Tree Sparrow"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Haematopus_ostralegus",497,649,1726,497,649,695,0.287949015063731,0.376013904982619,152,0.0880648899188876,8.80648899188876,"Stable","Plovers","Eurasian Oystercatcher"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Periparus_ater",1142,1290,1726,1142,1290,1361,0.661645422943221,0.74739281575898,148,0.0857473928157589,8.57473928157589,"Stable","Tit-like birds","Coal Tit"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Troglodytes_troglodytes",1549,1695,1726,1549,1695,1718,0.897450753186559,0.982039397450753,146,0.0845886442641947,8.45886442641947,"Stable","Low flycatching feeders","Eurasian Wren"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Erithacus_rubecula",1474,1617,1726,1474,1617,1658,0.853997682502897,0.936848203939745,143,0.0828505214368482,8.28505214368482,"Stable","Low flycatching feeders","European Robin"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Ficedula_hypoleuca",471,608,1726,471,608,277,0.272885283893395,0.35225955967555,137,0.0793742757821553,7.93742757821553,"Stable","Flycatchers","European Pied Flycatcher"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Cyanistes_caeruleus",1485,1621,1726,1485,1621,1676,0.8603707995365,0.939165701042874,136,0.0787949015063731,7.87949015063731,"Stable","Tit-like birds","Eurasian Blue Tit"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Aegithalos_caudatus",424,550,1726,424,550,730,0.245654692931634,0.318655851680185,126,0.0730011587485516,7.30011587485516,"Stable","Tit-like birds","Long-tailed Tit"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Saxicola_rubetra",942,816,1726,942,816,609,0.54577056778679,0.472769409038239,-126,-0.0730011587485515,-7.30011587485515,"Stable","Low flycatching feeders","Whinchat"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Podiceps_cristatus",405,530,1726,405,530,453,0.234646581691773,0.307068366164542,125,0.0724217844727694,7.24217844727694,"Stable","Aquatic pursuers","Great Crested Grebe"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Coloeus_monedula",1066,1190,1726,1066,1190,1193,0.617612977983778,0.689455388180765,124,0.0718424101969872,7.18424101969872,"Stable","Omnivorous corvids","Western Jackdaw"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Apus_apus",435,558,1726,435,558,526,0.252027809965238,0.323290845886443,123,0.0712630359212051,7.12630359212051,"Stable","Aerial insectivores","Common Swift"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Charadrius_dubius",94,212,1726,94,212,361,0.0544611819235226,0.122827346465817,118,0.0683661645422943,6.83661645422943,"Stable","Plovers","Little Ringed Plover"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Ardea_cinerea",98,215,1726,98,215,256,0.0567786790266512,0.124565469293163,117,0.0677867902665122,6.77867902665122,"Stable","Wading birds","Grey Heron"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Phylloscopus_sibilatrix",709,593,1726,709,593,603,0.410776361529548,0.343568945538818,-116,-0.06720741599073,-6.720741599073,"Stable","Foliage gleaners","Wood Warbler"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Oriolus_oriolus",173,59,1726,173,59,19,0.100231749710313,0.0341830822711472,-114,-0.0660486674391657,-6.60486674391657,"Stable","Orioles","Eurasian Golden Oriole"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Scolopax_rusticola",212,325,1726,212,325,282,0.122827346465817,0.1882966396292,113,0.0654692931633835,6.54692931633835,"Stable","Scolopacids","Eurasian Woodcock"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Perdix_perdix",1194,1301,1726,1194,1301,721,0.691772885283893,0.753765932792584,107,0.0619930475086906,6.19930475086906,"Stable","Gallinaceous birds","Grey Partridge"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Cuculus_canorus",1461,1561,1726,1461,1561,1514,0.846465816917729,0.904403244495944,100,0.0579374275782155,5.79374275782155,"Stable","Cuckoos","Common Cuckoo"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Dryocopus_martius",60,156,1726,60,156,143,0.0347624565469293,0.0903823870220162,96,0.0556199304750869,5.56199304750869,"Stable","Woodpeckers","Black Woodpecker"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Pernis_apivorus",162,257,1726,162,257,289,0.0938586326767092,0.148899188876014,95,0.0550405561993048,5.50405561993048,"Stable","Diurnal raptors","European Honey Buzzard"
