"comparison_id","foraging_guild_consensus","change_class","n_species","comparison_label","guild_species_count","proportion_within_guild","foraging_guild_label"
"1990s_minus_1970s","Aerial insectivores","Decrease",1,"1990s minus 1970s",4,0.25,"Aerial insectivores (n=4)"
"2010s_minus_1990s","Aerial insectivores","Decrease",0,"2010s minus 1990s",4,0,"Aerial insectivores (n=4)"
"1990s_minus_1970s","Aquatic pursuers","Decrease",0,"1990s minus 1970s",6,0,"Aquatic pursuers (n=6)"
"2010s_minus_1990s","Aquatic pursuers","Decrease",0,"2010s minus 1990s",6,0,"Aquatic pursuers (n=6)"
"1990s_minus_1970s","Buntings","Decrease",1,"1990s minus 1970s",3,0.333333333333333,"Buntings (n=3)"
"2010s_minus_1990s","Buntings","Decrease",0,"2010s minus 1990s",3,0,"Buntings (n=3)"
"1990s_minus_1970s","Columbids","Decrease",0,"1990s minus 1970s",4,0,"Columbids (n=4)"
"2010s_minus_1990s","Columbids","Decrease",0,"2010s minus 1990s",4,0,"Columbids (n=4)"
"1990s_minus_1970s","Cuckoos","Decrease",0,"1990s minus 1970s",1,0,"Cuckoos (n=1)"
"2010s_minus_1990s","Cuckoos","Decrease",0,"2010s minus 1990s",1,0,"Cuckoos (n=1)"
"1990s_minus_1970s","Dabbling ducks","Decrease",0,"1990s minus 1970s",7,0,"Dabbling ducks (n=7)"
"2010s_minus_1990s","Dabbling ducks","Decrease",2,"2010s minus 1990s",7,0.285714285714286,"Dabbling ducks (n=7)"
"1990s_minus_1970s","Dippers","Decrease",0,"1990s minus 1970s",1,0,"Dippers (n=1)"
"2010s_minus_1990s","Dippers","Decrease",0,"2010s minus 1990s",1,0,"Dippers (n=1)"
"1990s_minus_1970s","Diurnal raptors","Decrease",0,"1990s minus 1970s",7,0,"Diurnal raptors (n=7)"
"2010s_minus_1990s","Diurnal raptors","Decrease",1,"2010s minus 1990s",7,0.142857142857143,"Diurnal raptors (n=7)"
"1990s_minus_1970s","Diving ducks","Decrease",0,"1990s minus 1970s",3,0,"Diving ducks (n=3)"
"2010s_minus_1990s","Diving ducks","Decrease",0,"2010s minus 1990s",3,0,"Diving ducks (n=3)"
"1990s_minus_1970s","Flycatchers","Decrease",0,"1990s minus 1970s",3,0,"Flycatchers (n=3)"
"2010s_minus_1990s","Flycatchers","Decrease",1,"2010s minus 1990s",3,0.333333333333333,"Flycatchers (n=3)"
"1990s_minus_1970s","Foliage gleaners","Decrease",0,"1990s minus 1970s",9,0,"Foliage gleaners (n=9)"
"2010s_minus_1990s","Foliage gleaners","Decrease",0,"2010s minus 1990s",9,0,"Foliage gleaners (n=9)"
"1990s_minus_1970s","Gallinaceous birds","Decrease",0,"1990s minus 1970s",2,0,"Gallinaceous birds (n=2)"
"2010s_minus_1990s","Gallinaceous birds","Decrease",1,"2010s minus 1990s",2,0.5,"Gallinaceous birds (n=2)"
"1990s_minus_1970s","Grazing waterfowl","Decrease",0,"1990s minus 1970s",2,0,"Grazing waterfowl (n=2)"
"2010s_minus_1990s","Grazing waterfowl","Decrease",0,"2010s minus 1990s",2,0,"Grazing waterfowl (n=2)"
"1990s_minus_1970s","Gulls","Decrease",1,"1990s minus 1970s",5,0.2,"Gulls (n=5)"
"2010s_minus_1990s","Gulls","Decrease",0,"2010s minus 1990s",5,0,"Gulls (n=5)"
"1990s_minus_1970s","Kingfishers","Decrease",0,"1990s minus 1970s",1,0,"Kingfishers (n=1)"
"2010s_minus_1990s","Kingfishers","Decrease",0,"2010s minus 1990s",1,0,"Kingfishers (n=1)"
"1990s_minus_1970s","Low flycatching feeders","Decrease",1,"1990s minus 1970s",9,0.111111111111111,"Low flycatching feeders (n=9)"
"2010s_minus_1990s","Low flycatching feeders","Decrease",1,"2010s minus 1990s",9,0.111111111111111,"Low flycatching feeders (n=9)"
"1990s_minus_1970s","Marsh warblers","Decrease",1,"1990s minus 1970s",6,0.166666666666667,"Marsh warblers (n=6)"
"2010s_minus_1990s","Marsh warblers","Decrease",0,"2010s minus 1990s",6,0,"Marsh warblers (n=6)"
"1990s_minus_1970s","Nigthjars","Decrease",0,"1990s minus 1970s",1,0,"Nigthjars (n=1)"
"2010s_minus_1990s","Nigthjars","Decrease",0,"2010s minus 1990s",1,0,"Nigthjars (n=1)"
"1990s_minus_1970s","Omnivorous corvids","Decrease",0,"1990s minus 1970s",7,0,"Omnivorous corvids (n=7)"
"2010s_minus_1990s","Omnivorous corvids","Decrease",1,"2010s minus 1990s",7,0.142857142857143,"Omnivorous corvids (n=7)"
"1990s_minus_1970s","Open-land insectivores","Decrease",1,"1990s minus 1970s",6,0.166666666666667,"Open-land insectivores (n=6)"
"2010s_minus_1990s","Open-land insectivores","Decrease",0,"2010s minus 1990s",6,0,"Open-land insectivores (n=6)"
"1990s_minus_1970s","Orioles","Decrease",0,"1990s minus 1970s",1,0,"Orioles (n=1)"
"2010s_minus_1990s","Orioles","Decrease",0,"2010s minus 1990s",1,0,"Orioles (n=1)"
"1990s_minus_1970s","Owls","Decrease",1,"1990s minus 1970s",5,0.2,"Owls (n=5)"
"2010s_minus_1990s","Owls","Decrease",0,"2010s minus 1990s",5,0,"Owls (n=5)"
"1990s_minus_1970s","Passerine seedeaters","Decrease",0,"1990s minus 1970s",12,0,"Passerine seedeaters (n=12)"
"2010s_minus_1990s","Passerine seedeaters","Decrease",1,"2010s minus 1990s",12,0.0833333333333333,"Passerine seedeaters (n=12)"
"1990s_minus_1970s","Plovers","Decrease",0,"1990s minus 1970s",6,0,"Plovers (n=6)"
"2010s_minus_1990s","Plovers","Decrease",0,"2010s minus 1990s",6,0,"Plovers (n=6)"
"1990s_minus_1970s","Rails","Decrease",0,"1990s minus 1970s",5,0,"Rails (n=5)"
"2010s_minus_1990s","Rails","Decrease",1,"2010s minus 1990s",5,0.2,"Rails (n=5)"
"1990s_minus_1970s","Reedlings","Decrease",0,"1990s minus 1970s",1,0,"Reedlings (n=1)"
"2010s_minus_1990s","Reedlings","Decrease",0,"2010s minus 1990s",1,0,"Reedlings (n=1)"
"1990s_minus_1970s","Scolopacids","Decrease",1,"1990s minus 1970s",9,0.111111111111111,"Scolopacids (n=9)"
