"comparison_id","foraging_guild_consensus","change_class","n_species","comparison_label","guild_species_count","proportion_within_guild","percentage_within_guild"
"1990s_minus_1970s","Aerial insectivores","Decrease",1,"1990s minus 1970s",4,0.25,25
"2010s_minus_1990s","Aerial insectivores","Decrease",1,"2010s minus 1990s",4,0.25,25
"1990s_minus_1970s","Aquatic pursuers","Decrease",0,"1990s minus 1970s",6,0,0
"2010s_minus_1990s","Aquatic pursuers","Decrease",0,"2010s minus 1990s",6,0,0
"1990s_minus_1970s","Buntings","Decrease",1,"1990s minus 1970s",3,0.333333333333333,33.3333333333333
"2010s_minus_1990s","Buntings","Decrease",0,"2010s minus 1990s",3,0,0
"1990s_minus_1970s","Columbids","Decrease",0,"1990s minus 1970s",4,0,0
"2010s_minus_1990s","Columbids","Decrease",0,"2010s minus 1990s",4,0,0
"1990s_minus_1970s","Cuckoos","Decrease",0,"1990s minus 1970s",1,0,0
"2010s_minus_1990s","Cuckoos","Decrease",0,"2010s minus 1990s",1,0,0
"1990s_minus_1970s","Dabbling ducks","Decrease",0,"1990s minus 1970s",7,0,0
"2010s_minus_1990s","Dabbling ducks","Decrease",3,"2010s minus 1990s",7,0.428571428571429,42.8571428571429
"1990s_minus_1970s","Dippers","Decrease",0,"1990s minus 1970s",1,0,0
"2010s_minus_1990s","Dippers","Decrease",0,"2010s minus 1990s",1,0,0
"1990s_minus_1970s","Diurnal raptors","Decrease",0,"1990s minus 1970s",7,0,0
"2010s_minus_1990s","Diurnal raptors","Decrease",2,"2010s minus 1990s",7,0.285714285714286,28.5714285714286
"1990s_minus_1970s","Diving ducks","Decrease",0,"1990s minus 1970s",3,0,0
"2010s_minus_1990s","Diving ducks","Decrease",0,"2010s minus 1990s",3,0,0
"1990s_minus_1970s","Flycatchers","Decrease",0,"1990s minus 1970s",3,0,0
"2010s_minus_1990s","Flycatchers","Decrease",1,"2010s minus 1990s",3,0.333333333333333,33.3333333333333
"1990s_minus_1970s","Foliage gleaners","Decrease",0,"1990s minus 1970s",9,0,0
"2010s_minus_1990s","Foliage gleaners","Decrease",0,"2010s minus 1990s",9,0,0
"1990s_minus_1970s","Gallinaceous birds","Decrease",0,"1990s minus 1970s",2,0,0
"2010s_minus_1990s","Gallinaceous birds","Decrease",1,"2010s minus 1990s",2,0.5,50
"1990s_minus_1970s","Grazing waterfowl","Decrease",0,"1990s minus 1970s",2,0,0
"2010s_minus_1990s","Grazing waterfowl","Decrease",0,"2010s minus 1990s",2,0,0
"1990s_minus_1970s","Gulls","Decrease",1,"1990s minus 1970s",5,0.2,20
"2010s_minus_1990s","Gulls","Decrease",0,"2010s minus 1990s",5,0,0
"1990s_minus_1970s","Kingfishers","Decrease",0,"1990s minus 1970s",1,0,0
"2010s_minus_1990s","Kingfishers","Decrease",0,"2010s minus 1990s",1,0,0
"1990s_minus_1970s","Low flycatching feeders","Decrease",1,"1990s minus 1970s",9,0.111111111111111,11.1111111111111
"2010s_minus_1990s","Low flycatching feeders","Decrease",1,"2010s minus 1990s",9,0.111111111111111,11.1111111111111
"1990s_minus_1970s","Marsh warblers","Decrease",1,"1990s minus 1970s",6,0.166666666666667,16.6666666666667
"2010s_minus_1990s","Marsh warblers","Decrease",0,"2010s minus 1990s",6,0,0
"1990s_minus_1970s","Nigthjars","Decrease",0,"1990s minus 1970s",1,0,0
"2010s_minus_1990s","Nigthjars","Decrease",0,"2010s minus 1990s",1,0,0
"1990s_minus_1970s","Omnivorous corvids","Decrease",0,"1990s minus 1970s",7,0,0
"2010s_minus_1990s","Omnivorous corvids","Decrease",1,"2010s minus 1990s",7,0.142857142857143,14.2857142857143
"1990s_minus_1970s","Open-land insectivores","Decrease",1,"1990s minus 1970s",6,0.166666666666667,16.6666666666667
"2010s_minus_1990s","Open-land insectivores","Decrease",0,"2010s minus 1990s",6,0,0
"1990s_minus_1970s","Orioles","Decrease",1,"1990s minus 1970s",1,1,100
"2010s_minus_1990s","Orioles","Decrease",0,"2010s minus 1990s",1,0,0
"1990s_minus_1970s","Owls","Decrease",1,"1990s minus 1970s",5,0.2,20
"2010s_minus_1990s","Owls","Decrease",0,"2010s minus 1990s",5,0,0
"1990s_minus_1970s","Passerine seedeaters","Decrease",0,"1990s minus 1970s",11,0,0
