"coverage_id","coverage_filter","survey","site","atlas","period","species_richness","modelled_species_pool_size"
"good","Good coverage","AD90_1","AD90","1","1970s",45,156
"good","Good coverage","BD19_1","BD19","1","1970s",67,156
"good","Good coverage","DC09_1","DC09","1","1970s",46,156
"good","Good coverage","DB11_1","DB11","1","1970s",57,156
"good","Good coverage","DB14_1","DB14","1","1970s",37,156
"good","Good coverage","DB16_1","DB16","1","1970s",53,156
"good","Good coverage","DB24_1","DB24","1","1970s",51,156
"good","Good coverage","DB25_1","DB25","1","1970s",49,156
"good","Good coverage","DB26_1","DB26","1","1970s",48,156
"good","Good coverage","DB32_1","DB32","1","1970s",43,156
"good","Good coverage","BD21_1","BD21","1","1970s",52,156
"good","Good coverage","DB33_1","DB33","1","1970s",52,156
"good","Good coverage","DB34_1","DB34","1","1970s",63,156
"good","Good coverage","DB35_1","DB35","1","1970s",48,156
"good","Good coverage","DB40_1","DB40","1","1970s",64,156
"good","Good coverage","DB43_1","DB43","1","1970s",49,156
"good","Good coverage","DB44_1","DB44","1","1970s",59,156
"good","Good coverage","DB45_1","DB45","1","1970s",47,156
"good","Good coverage","DB53_1","DB53","1","1970s",43,156
"good","Good coverage","DB54_1","DB54","1","1970s",53,156
"good","Good coverage","DB55_1","DB55","1","1970s",60,156
"good","Good coverage","DB60_1","DB60","1","1970s",48,156
"good","Good coverage","DB62_1","DB62","1","1970s",44,156
"good","Good coverage","DB64_1","DB64","1","1970s",53,156
"good","Good coverage","DB65_1","DB65","1","1970s",46,156
"good","Good coverage","DB68_1","DB68","1","1970s",27,156
"good","Good coverage","DB70_1","DB70","1","1970s",41,156
"good","Good coverage","DB72_1","DB72","1","1970s",55,156
"good","Good coverage","DB74_1","DB74","1","1970s",46,156
"good","Good coverage","DB75_1","DB75","1","1970s",46,156
"good","Good coverage","DB78_1","DB78","1","1970s",50,156
"good","Good coverage","DB79_1","DB79","1","1970s",35,156
"good","Good coverage","DB80_1","DB80","1","1970s",29,156
"good","Good coverage","BD26_1","BD26","1","1970s",65,156
"good","Good coverage","DB81_1","DB81","1","1970s",38,156
"good","Good coverage","DB82_1","DB82","1","1970s",54,156
"good","Good coverage","DB83_1","DB83","1","1970s",64,156
"good","Good coverage","DB89_1","DB89","1","1970s",60,156
"good","Good coverage","DC00_1","DC00","1","1970s",74,156
"good","Good coverage","DC01_1","DC01","1","1970s",52,156
"good","Good coverage","DC02_1","DC02","1","1970s",51,156
"good","Good coverage","BD27_1","BD27","1","1970s",56,156
"good","Good coverage","DC04_1","DC04","1","1970s",67,156
"good","Good coverage","DC10_1","DC10","1","1970s",53,156
"good","Good coverage","DC11_1","DC11","1","1970s",72,156
"good","Good coverage","DC15_1","DC15","1","1970s",55,156
"good","Good coverage","BD28_1","BD28","1","1970s",59,156
"good","Good coverage","DC18_1","DC18","1","1970s",53,156
"good","Good coverage","DC19_1","DC19","1","1970s",55,156
"good","Good coverage","DC23_1","DC23","1","1970s",76,156
"good","Good coverage","DC25_1","DC25","1","1970s",49,156
"good","Good coverage","DC26_1","DC26","1","1970s",74,156
"good","Good coverage","DC27_1","DC27","1","1970s",54,156
"good","Good coverage","DC28_1","DC28","1","1970s",66,156
"good","Good coverage","DC32_1","DC32","1","1970s",57,156
"good","Good coverage","DC33_1","DC33","1","1970s",63,156
"good","Good coverage","DC40_1","DC40","1","1970s",73,156
"good","Good coverage","DC41_1","DC41","1","1970s",58,156
"good","Good coverage","DC42_1","DC42","1","1970s",66,156
"good","Good coverage","DC53_1","DC53","1","1970s",58,156
"good","Good coverage","DC57_1","DC57","1","1970s",49,156
"good","Good coverage","DC69_1","DC69","1","1970s",46,156
"good","Good coverage","DC89_1","DC89","1","1970s",42,156
"good","Good coverage","DD00_1","DD00","1","1970s",44,156
"good","Good coverage","DD01_1","DD01","1","1970s",68,156
"good","Good coverage","DD03_1","DD03","1","1970s",49,156
"good","Good coverage","DD05_1","DD05","1","1970s",66,156
"good","Good coverage","DD08_1","DD08","1","1970s",60,156
"good","Good coverage","DD09_1","DD09","1","1970s",80,156
"good","Good coverage","DD10_1","DD10","1","1970s",54,156
"good","Good coverage","DD11_1","DD11","1","1970s",78,156
"good","Good coverage","BD35_1","BD35","1","1970s",42,156
"good","Good coverage","DD12_1","DD12","1","1970s",69,156
"good","Good coverage","DD13_1","DD13","1","1970s",42,156
"good","Good coverage","DD16_1","DD16","1","1970s",66,156
"good","Good coverage","DD17_1","DD17","1","1970s",65,156
"good","Good coverage","DD18_1","DD18","1","1970s",69,156
"good","Good coverage","DD19_1","DD19","1","1970s",63,156
"good","Good coverage","DD20_1","DD20","1","1970s",52,156
"good","Good coverage","DD21_1","DD21","1","1970s",53,156
"good","Good coverage","BD36_1","BD36","1","1970s",59,156
"good","Good coverage","DD26_1","DD26","1","1970s",70,156
"good","Good coverage","DD28_1","DD28","1","1970s",53,156
"good","Good coverage","DD29_1","DD29","1","1970s",67,156
"good","Good coverage","DD30_1","DD30","1","1970s",63,156
"good","Good coverage","BD37_1","BD37","1","1970s",66,156
"good","Good coverage","DD37_1","DD37","1","1970s",57,156
"good","Good coverage","DD43_1","DD43","1","1970s",55,156
"good","Good coverage","DD47_1","DD47","1","1970s",56,156
"good","Good coverage","DD51_1","DD51","1","1970s",67,156
"good","Good coverage","BD39_1","BD39","1","1970s",62,156
"good","Good coverage","DD52_1","DD52","1","1970s",47,156
"good","Good coverage","DD53_1","DD53","1","1970s",58,156
"good","Good coverage","DD57_1","DD57","1","1970s",61,156
"good","Good coverage","DD61_1","DD61","1","1970s",56,156
"good","Good coverage","DD62_1","DD62","1","1970s",55,156
"good","Good coverage","DD63_1","DD63","1","1970s",52,156
"good","Good coverage","DD64_1","DD64","1","1970s",55,156
"good","Good coverage","DD70_1","DD70","1","1970s",63,156
"good","Good coverage","DD72_1","DD72","1","1970s",48,156
"good","Good coverage","DD80_1","DD80","1","1970s",63,156
"good","Good coverage","DD90_1","DD90","1","1970s",40,156
