"site","survey","atlas","period","species_richness","modelled_species_pool_size"
"AD90","AD90_1","1","1970s",45,157
"AD92","AD92_1","1","1970s",32,157
"AD93","AD93_1","1","1970s",41,157
"AD94","AD94_1","1","1970s",42,157
"AD95","AD95_1","1","1970s",33,157
"AE93","AE93_1","1","1970s",22,157
"AE94","AE94_1","1","1970s",46,157
"AE95","AE95_1","1","1970s",48,157
"AE96","AE96_1","1","1970s",24,157
"AE97","AE97_1","1","1970s",23,157
"AE98","AE98_1","1","1970s",69,157
"AF81","AF81_1","1","1970s",57,157
"AF82","AF82_1","1","1970s",46,157
"AF91","AF91_1","1","1970s",57,157
"AF92","AF92_1","1","1970s",76,157
"AF93","AF93_1","1","1970s",84,157
"AF94","AF94_1","1","1970s",49,157
"AF97","AF97_1","1","1970s",38,157
"AF98","AF98_1","1","1970s",48,157
"AF99","AF99_1","1","1970s",47,157
"BC20","BC20_1","1","1970s",58,157
"BC21","BC21_1","1","1970s",45,157
"BC30","BC30_1","1","1970s",49,157
"BC31","BC31_1","1","1970s",48,157
"BC32","BC32_1","1","1970s",50,157
"BC33","BC33_1","1","1970s",49,157
"BC34","BC34_1","1","1970s",44,157
"BC41","BC41_1","1","1970s",30,157
"BC43","BC43_1","1","1970s",65,157
"BC44","BC44_1","1","1970s",59,157
"BC45","BC45_1","1","1970s",32,157
"BC50","BC50_1","1","1970s",51,157
"BC51","BC51_1","1","1970s",44,157
"BC52","BC52_1","1","1970s",51,157
"BC53","BC53_1","1","1970s",50,157
"BC54","BC54_1","1","1970s",60,157
"BC55","BC55_1","1","1970s",31,157
"BC60","BC60_1","1","1970s",71,157
"BC62","BC62_1","1","1970s",36,157
"BC64","BC64_1","1","1970s",47,157
"BC65","BC65_1","1","1970s",54,157
"BC70","BC70_1","1","1970s",66,157
"BC71","BC71_1","1","1970s",61,157
"BC72","BC72_1","1","1970s",46,157
"BC73","BC73_1","1","1970s",58,157
"BC74","BC74_1","1","1970s",41,157
"BC75","BC75_1","1","1970s",51,157
"BC81","BC81_1","1","1970s",61,157
"BC82","BC82_1","1","1970s",74,157
"BC83","BC83_1","1","1970s",69,157
"BC84","BC84_1","1","1970s",77,157
"BC85","BC85_1","1","1970s",49,157
"BC93","BC93_1","1","1970s",44,157
"BC94","BC94_1","1","1970s",76,157
"BC95","BC95_1","1","1970s",54,157
"BC96","BC96_1","1","1970s",60,157
"BD00","BD00_1","1","1970s",44,157
"BD02","BD02_1","1","1970s",32,157
"BD03","BD03_1","1","1970s",29,157
"BD04","BD04_1","1","1970s",27,157
"BD05","BD05_1","1","1970s",27,157
"BD06","BD06_1","1","1970s",30,157
"BD07","BD07_1","1","1970s",59,157
"BD08","BD08_1","1","1970s",80,157
"BD10","BD10_1","1","1970s",36,157
"BD11","BD11_1","1","1970s",60,157
"BD12","BD12_1","1","1970s",46,157
"BD13","BD13_1","1","1970s",48,157
"BD17","BD17_1","1","1970s",31,157
"BD18","BD18_1","1","1970s",79,157
"BD19","BD19_1","1","1970s",67,157
"BD21","BD21_1","1","1970s",52,157
"BD22","BD22_1","1","1970s",40,157
"BD26","BD26_1","1","1970s",65,157
"BD27","BD27_1","1","1970s",56,157
"BD28","BD28_1","1","1970s",59,157
"BD31","BD31_1","1","1970s",42,157
"BD32","BD32_1","1","1970s",35,157
"BD35","BD35_1","1","1970s",42,157
"BD36","BD36_1","1","1970s",59,157
"BD37","BD37_1","1","1970s",66,157
"BD38","BD38_1","1","1970s",32,157
"BD39","BD39_1","1","1970s",62,157
"BD40","BD40_1","1","1970s",33,157
"BD41","BD41_1","1","1970s",34,157
"BD42","BD42_1","1","1970s",46,157
"BD43","BD43_1","1","1970s",41,157
"BD44","BD44_1","1","1970s",38,157
"BD45","BD45_1","1","1970s",52,157
"BD46","BD46_1","1","1970s",50,157
"BD47","BD47_1","1","1970s",64,157
"BD48","BD48_1","1","1970s",67,157
"BD49","BD49_1","1","1970s",57,157
"BD50","BD50_1","1","1970s",44,157
"BD51","BD51_1","1","1970s",60,157
"BD55","BD55_1","1","1970s",54,157
"BD56","BD56_1","1","1970s",62,157
"BD57","BD57_1","1","1970s",68,157
"BD58","BD58_1","1","1970s",51,157
"BD59","BD59_1","1","1970s",73,157
"BD60","BD60_1","1","1970s",36,157
"BD61","BD61_1","1","1970s",60,157
"BD64","BD64_1","1","1970s",42,157
"BD66","BD66_1","1","1970s",52,157
"BD67","BD67_1","1","1970s",44,157
"BD68","BD68_1","1","1970s",51,157
"BD69","BD69_1","1","1970s",52,157
"BD70","BD70_1","1","1970s",58,157
"BD71","BD71_1","1","1970s",45,157
"BD72","BD72_1","1","1970s",48,157
"BD73","BD73_1","1","1970s",55,157
"BD74","BD74_1","1","1970s",48,157
"BD75","BD75_1","1","1970s",38,157
"BD76","BD76_1","1","1970s",74,157
"BD77","BD77_1","1","1970s",75,157
"BD78","BD78_1","1","1970s",74,157
"BD80","BD80_1","1","1970s",45,157
"BD81","BD81_1","1","1970s",58,157
"BD82","BD82_1","1","1970s",59,157
"BD83","BD83_1","1","1970s",37,157
"BD85","BD85_1","1","1970s",44,157
"BD86","BD86_1","1","1970s",57,157
"BD87","BD87_1","1","1970s",51,157
"BD88","BD88_1","1","1970s",60,157
"BD89","BD89_1","1","1970s",47,157
"BD90","BD90_1","1","1970s",38,157
"BD91","BD91_1","1","1970s",62,157
"BD92","BD92_1","1","1970s",35,157
"BD93","BD93_1","1","1970s",48,157
"BD94","BD94_1","1","1970s",38,157
"BD95","BD95_1","1","1970s",30,157
"BD97","BD97_1","1","1970s",60,157
"BD98","BD98_1","1","1970s",49,157
"BE03","BE03_1","1","1970s",47,157
"BE04","BE04_1","1","1970s",36,157
"BE05","BE05_1","1","1970s",52,157
"BE06","BE06_1","1","1970s",26,157
"BE07","BE07_1","1","1970s",61,157
"BE08","BE08_1","1","1970s",60,157
"BE09","BE09_1","1","1970s",51,157
