"site","survey","atlas","period","species_richness","retained_species_pool_size","pct_lnd"
"AD93","AD93_1","1","1970s",41,154,79.2863502418833
"AD95","AD95_1","1","1970s",33,154,31.4374353690826
"AE98","AE98_1","1","1970s",69,154,60.1013027143366
"AF91","AF91_1","1","1970s",57,154,96.0224708397579
"AF92","AF92_1","1","1970s",76,154,100
"AF93","AF93_1","1","1970s",83,154,93.5680064039386
"AF94","AF94_1","1","1970s",49,154,64.920690383459
"AF98","AF98_1","1","1970s",48,154,35.8703357062038
"AF99","AF99_1","1","1970s",47,154,29.1649009559219
"BC20","BC20_1","1","1970s",58,154,100
"BC32","BC32_1","1","1970s",50,154,100
"BC33","BC33_1","1","1970s",49,154,90.0083396025285
"BC44","BC44_1","1","1970s",59,154,92.8996909142348
"BC54","BC54_1","1","1970s",60,154,100
"BC60","BC60_1","1","1970s",71,154,100
"BC65","BC65_1","1","1970s",54,154,87.6511598551178
"BC72","BC72_1","1","1970s",46,154,42.2227095505843
"BC75","BC75_1","1","1970s",51,154,83.1903167381744
"BC82","BC82_1","1","1970s",74,154,38.2382493245741
"BC83","BC83_1","1","1970s",68,154,59.2589059914817
"BC84","BC84_1","1","1970s",77,154,98.1573092073059
"BC85","BC85_1","1","1970s",49,154,99.9184959464101
"BC94","BC94_1","1","1970s",75,154,100
"BC95","BC95_1","1","1970s",54,154,100
"BC96","BC96_1","1","1970s",60,154,84.0788044916003
"BD07","BD07_1","1","1970s",59,154,27.8918391533683
"BD08","BD08_1","1","1970s",80,154,34.2154392038693
"BD11","BD11_1","1","1970s",60,154,100
"BD12","BD12_1","1","1970s",46,154,100
"BD13","BD13_1","1","1970s",48,154,94.1767054329643
"BD19","BD19_1","1","1970s",67,154,100
"BD21","BD21_1","1","1970s",52,154,100
"BD35","BD35_1","1","1970s",42,154,47.2858626474541
"BD36","BD36_1","1","1970s",59,154,66.9227163233266
"BD39","BD39_1","1","1970s",61,154,98.2806491818695
"BD43","BD43_1","1","1970s",41,154,51.9751064518396
"BD45","BD45_1","1","1970s",52,154,91.5697689701455
"BD46","BD46_1","1","1970s",50,154,45.8239324691135
"BD49","BD49_1","1","1970s",57,154,57.6911318923478
"BD50","BD50_1","1","1970s",44,154,100
"BD51","BD51_1","1","1970s",60,154,79.9539888757725
"BD56","BD56_1","1","1970s",62,154,39.8797191099966
"BD57","BD57_1","1","1970s",68,154,87.1031476010498
"BD61","BD61_1","1","1970s",60,154,86.1028611707534
"BD66","BD66_1","1","1970s",52,154,57.0495874789028
"BD68","BD68_1","1","1970s",51,154,100
"BD70","BD70_1","1","1970s",58,154,100
"BD73","BD73_1","1","1970s",55,154,97.6213372857504
"BD76","BD76_1","1","1970s",74,154,44.6876418573642
"BD77","BD77_1","1","1970s",75,154,66.4189847768357
"BD80","BD80_1","1","1970s",45,154,100
"BD81","BD81_1","1","1970s",58,154,100
"BD82","BD82_1","1","1970s",59,154,100
"BD88","BD88_1","1","1970s",60,154,39.718526470875
"BD91","BD91_1","1","1970s",62,154,100
"BE03","BE03_1","1","1970s",47,154,71.4720010768625
"BE07","BE07_1","1","1970s",60,154,91.2639291465244
"BE08","BE08_1","1","1970s",60,154,38.7987616335452
"BE09","BE09_1","1","1970s",51,154,68.4932976221032
"BE11","BE11_1","1","1970s",61,154,59.4235802014122
"BE12","BE12_1","1","1970s",40,154,74.8183395242528
"BE13","BE13_1","1","1970s",41,154,100
"BE14","BE14_1","1","1970s",46,154,100
"BE15","BE15_1","1","1970s",45,154,100
"BE16","BE16_1","1","1970s",44,154,100
"BE17","BE17_1","1","1970s",71,154,99.2996588061194
"BE20","BE20_1","1","1970s",58,154,95.4598068353035
"BE22","BE22_1","1","1970s",52,154,100
"BE27","BE27_1","1","1970s",43,154,100
"BE30","BE30_1","1","1970s",58,154,100
"BE32","BE32_1","1","1970s",49,154,100
"BE34","BE34_1","1","1970s",61,154,100
"BE36","BE36_1","1","1970s",38,154,100
"BE45","BE45_1","1","1970s",47,154,100
"BE55","BE55_1","1","1970s",54,154,100
"BE59","BE59_1","1","1970s",43,154,100
"BE62","BE62_1","1","1970s",54,154,100
"BE63","BE63_1","1","1970s",45,154,100
"BE78","BE78_1","1","1970s",47,154,100
"BE80","BE80_1","1","1970s",59,154,100
"BE82","BE82_1","1","1970s",53,154,100
"BE84","BE84_1","1","1970s",51,154,100
"BE86","BE86_1","1","1970s",50,154,100
"BE89","BE89_1","1","1970s",72,154,100
"BE92","BE92_1","1","1970s",55,154,100
"BE94","BE94_1","1","1970s",56,154,100
"BE95","BE95_1","1","1970s",47,154,100
"BE96","BE96_1","1","1970s",38,154,100
"BE99","BE99_1","1","1970s",62,154,100
"BF02","BF02_1","1","1970s",54,154,90.0620386642933
"BF03","BF03_1","1","1970s",63,154,100
"BF04","BF04_1","1","1970s",48,154,100
"BF05","BF05_1","1","1970s",59,154,100
"BF06","BF06_1","1","1970s",54,154,100
"BF07","BF07_1","1","1970s",51,154,95.872277152451
"BF08","BF08_1","1","1970s",44,154,64.9344661919674
"BF11","BF11_1","1","1970s",58,154,70.0185889959049
"BF16","BF16_1","1","1970s",43,154,100
"BF18","BF18_1","1","1970s",33,154,38.3930891877643
"BF21","BF21_1","1","1970s",50,154,100
"BF31","BF31_1","1","1970s",54,154,100
"BF32","BF32_1","1","1970s",71,154,100
"BF33","BF33_1","1","1970s",63,154,100
"BF38","BF38_1","1","1970s",47,154,100
"BF49","BF49_1","1","1970s",66,154,100
"BF50","BF50_1","1","1970s",55,154,100
"BF58","BF58_1","1","1970s",43,154,100
"BF59","BF59_1","1","1970s",61,154,100
"BF60","BF60_1","1","1970s",59,154,100
"BF61","BF61_1","1","1970s",45,154,100
"BF72","BF72_1","1","1970s",53,154,100
"BF80","BF80_1","1","1970s",52,154,100
"BF81","BF81_1","1","1970s",55,154,100
"BF83","BF83_1","1","1970s",60,154,100
"BF97","BF97_1","1","1970s",47,154,100
"BG27","BG27_1","1","1970s",64,154,49.8379213582154
"BG28","BG28_1","1","1970s",59,154,72.4785331288395
"BG29","BG29_1","1","1970s",87,154,45.2829931338949
"BG30","BG30_1","1","1970s",37,154,33.5351059999925
"BG31","BG31_1","1","1970s",85,154,78.6841263949782
"BG32","BG32_1","1","1970s",91,154,68.5141514097215
"BG33","BG33_1","1","1970s",17,154,36.8837338130741
"BG41","BG41_1","1","1970s",61,154,34.9995711224918
"BG42","BG42_1","1","1970s",72,154,45.4397723268083
"BG43","BG43_1","1","1970s",39,154,36.7732424325284
"BG49","BG49_1","1","1970s",66,154,94.2709071021557
"BG55","BG55_1","1","1970s",73,154,36.9332843715852
"BG64","BG64_1","1","1970s",60,154,100
"BG65","BG65_1","1","1970s",60,154,100
"BG66","BG66_1","1","1970s",65,154,100
"BG70","BG70_1","1","1970s",50,154,100
"BG72","BG72_1","1","1970s",59,154,100
"BG73","BG73_1","1","1970s",65,154,100
"BG75","BG75_1","1","1970s",54,154,100
