"comparison_id","comparison_label","start_period","end_period","site","richness_1970s","richness_1990s","delta_richness_1990s_minus_1970s","delta_richness","pct_lnd","richness_2010s","delta_richness_2010s_minus_1990s"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AD93",41,63,22,22,79.2863502418833,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AD95",33,65,32,32,31.4374353690826,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AE98",69,75,6,6,60.1013027143366,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AF91",57,68,11,11,96.0224708397579,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AF92",76,66,-10,-10,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AF93",83,70,-13,-13,93.5680064039386,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AF94",49,67,18,18,64.920690383459,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AF98",48,50,2,2,35.8703357062038,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","AF99",47,38,-9,-9,29.1649009559219,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC20",58,60,2,2,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC32",50,75,25,25,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC33",49,70,21,21,90.0083396025285,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC44",59,72,13,13,92.8996909142348,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC54",60,84,24,24,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC60",71,56,-15,-15,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC65",54,67,13,13,87.6511598551178,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC72",46,56,10,10,42.2227095505843,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC75",51,66,15,15,83.1903167381744,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC82",74,62,-12,-12,38.2382493245741,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC83",68,88,20,20,59.2589059914817,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC84",77,86,9,9,98.1573092073059,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC85",49,52,3,3,99.9184959464101,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC94",75,94,19,19,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC95",54,62,8,8,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BC96",60,67,7,7,84.0788044916003,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD07",59,60,1,1,27.8918391533683,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD08",80,70,-10,-10,34.2154392038693,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD11",60,64,4,4,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD12",46,48,2,2,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD13",48,72,24,24,94.1767054329643,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD19",67,49,-18,-18,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD21",52,63,11,11,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD35",42,62,20,20,47.2858626474541,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD36",59,62,3,3,66.9227163233266,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD39",61,75,14,14,98.2806491818695,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BD43",41,62,21,21,51.9751064518396,,
