"comparison_id","comparison_label","start_period","end_period","species","occupied_grid_cells_start","occupied_grid_cells_end","n_shared_grid_cells","records_1970s","records_1990s","records_2010s","prop_occupied_start","prop_occupied_end","delta_occupied_grid_cells","delta_occupancy_proportion","delta_occupancy_percentage_points","change_class","migratory_strategy","foraging_guild_consensus","species_thermal_index","thermal_group"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Acrocephalus_schoenobaenus",622,271,895,622,271,291,0.694972067039106,0.302793296089385,-351,-0.392178770949721,-39.2178770949721,"Decrease","long-distance","Marsh warblers",11.3913898283,"cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Emberiza_calandra",759,491,895,759,491,523,0.84804469273743,0.548603351955307,-268,-0.299441340782123,-29.9441340782123,"Decrease","sedentary","Buntings",14.2313581317,"very warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Gallinago_gallinago",508,376,895,508,376,256,0.567597765363128,0.420111731843575,-132,-0.147486033519553,-14.7486033519553,"Decrease","short-distance","Scolopacids",10.2670472691,"very cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Riparia_riparia",507,378,895,507,378,268,0.566480446927374,0.422346368715084,-129,-0.144134078212291,-14.4134078212291,"Decrease","long-distance","Aerial insectivores",11.9550761988,"medium"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Athene_noctua",159,32,895,159,32,6,0.177653631284916,0.0357541899441341,-127,-0.141899441340782,-14.1899441340782,"Decrease","sedentary","Owls",14.2083192272,"very warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Oenanthe_oenanthe",259,137,895,259,137,65,0.289385474860335,0.153072625698324,-122,-0.136312849162011,-13.6312849162011,"Decrease","long-distance","Low flycatching feeders",11.6202368597,"cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Motacilla_flava",297,178,895,297,178,224,0.331843575418994,0.198882681564246,-119,-0.132960893854749,-13.2960893854749,"Decrease","long-distance","Open-land insectivores",12.136968586,"medium"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Chroicocephalus_ridibundus",323,215,895,323,215,137,0.360893854748603,0.240223463687151,-108,-0.120670391061453,-12.0670391061453,"Decrease","short-distance","Gulls",11.0679667544,"cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Oriolus_oriolus",135,43,895,135,43,14,0.150837988826816,0.0480446927374302,-92,-0.102793296089385,-10.2793296089385,"Decrease","long-distance","Orioles",13.4707159049,"very warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Coloeus_monedula",600,686,895,600,686,634,0.670391061452514,0.766480446927374,86,0.0960893854748603,9.60893854748603,"Stable","sedentary and short-distance","Omnivorous corvids",12.9581704982,"warm"
