"comparison_id","comparison_label","start_period","end_period","species","occupied_grid_cells_start","occupied_grid_cells_end","n_shared_grid_cells","records_1970s","records_1990s","records_2010s","prop_occupied_start","prop_occupied_end","delta_occupied_grid_cells","delta_occupancy_proportion","delta_occupancy_percentage_points","change_class","foraging_guild_consensus","species_english"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Acanthis_flammea",122,745,1726,122,745,846,0.070683661645423,0.431633835457706,623,0.360950173812283,36.0950173812283,"Increase","Passerine seedeaters","Mealy Redpoll/Lesser Redpoll"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Acrocephalus_schoenobaenus",1007,430,1726,1007,430,497,0.58342989571263,0.249130938586327,-577,-0.334298957126304,-33.4298957126304,"Decrease","Marsh warblers","Sedge Warbler"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Buteo_buteo",820,1362,1726,820,1362,1408,0.475086906141367,0.789107763615295,542,0.314020857473928,31.4020857473928,"Increase","Diurnal raptors","Common Buzzard"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Phylloscopus_collybita",1039,1570,1726,1039,1570,1718,0.601969872537659,0.909617612977984,531,0.307647740440325,30.7647740440324,"Increase","Foliage gleaners","Common Chiffchaff"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Turdus_viscivorus",424,888,1726,424,888,914,0.245654692931634,0.514484356894554,464,0.26882966396292,26.882966396292,"Increase","Thrushes","Mistle Thrush"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Accipiter_nisus",585,1037,1726,585,1037,661,0.338933951332561,0.600811123986095,452,0.261877172653534,26.1877172653534,"Increase","Diurnal raptors","Eurasian Sparrowhawk"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Emberiza_calandra",1482,1043,1726,1482,1043,1160,0.858632676709154,0.604287369640788,-439,-0.254345307068366,-25.4345307068366,"Decrease","Buntings","Corn Bunting"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Falco_tinnunculus",684,1086,1726,684,1086,969,0.396292004634994,0.629200463499421,402,0.232908458864426,23.2908458864426,"Increase","Diurnal raptors","Common Kestrel"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Astur_gentilis",197,561,1726,197,561,407,0.114136732329085,0.325028968713789,364,0.210892236384705,21.0892236384705,"Increase","Diurnal raptors","Northern Goshawk"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Acrocephalus_palustris",754,1084,1726,754,1084,1368,0.436848203939745,0.628041714947856,330,0.191193511008111,19.1193511008111,"Increase","Marsh warblers","Marsh Warbler"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Streptopelia_decaocto",1005,1328,1726,1005,1328,1284,0.582271147161066,0.769409038238702,323,0.187137891077636,18.7137891077636,"Increase","Columbids","Eurasian Collared Dove"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Corvus_corax",128,445,1726,128,445,1025,0.0741599073001159,0.257821552723059,317,0.183661645422943,18.3661645422943,"Increase","Omnivorous corvids","Northern Raven"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Phoenicurus_ochruros",106,419,1726,106,419,566,0.0614136732329085,0.242757821552723,313,0.181344148319815,18.1344148319815,"Increase","Low flycatching feeders","Black Redstart"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Anas_platyrhynchos",1243,1555,1726,1243,1555,1353,0.720162224797219,0.900926998841251,312,0.180764774044032,18.0764774044032,"Increase","Dabbling ducks","Mallard"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Certhia_familiaris",502,807,1726,502,807,937,0.290845886442642,0.467555040556199,305,0.176709154113557,17.6709154113557,"Increase","Tit-like birds","Eurasian Treecreeper"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Garrulus_glandarius",896,1198,1726,896,1198,972,0.519119351100811,0.694090382387022,302,0.174971031286211,17.4971031286211,"Increase","Omnivorous corvids","Eurasian Jay"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Pyrrhula_pyrrhula",634,934,1726,634,934,1193,0.367323290845886,0.541135573580533,300,0.173812282734647,17.3812282734647,"Increase","Passerine seedeaters","Eurasian Bullfinch"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Dendrocopos_major",1077,1375,1726,1077,1375,1505,0.623986095017381,0.796639629200463,298,0.172653534183082,17.2653534183082,"Increase","Woodpeckers","Great Spotted Woodpecker"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Muscicapa_striata",640,938,1726,640,938,901,0.370799536500579,0.543453070683662,298,0.172653534183082,17.2653534183082,"Increase","Flycatchers","Spotted Flycatcher"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Turdus_pilaris",56,347,1726,56,347,192,0.0324449594438007,0.201042873696408,291,0.168597914252607,16.8597914252607,"Increase","Thrushes","Fieldfare"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Tachybaptus_ruficollis",311,597,1726,311,597,721,0.18018539976825,0.345886442641947,286,0.165701042873696,16.5701042873696,"Increase","Aquatic pursuers","Little Grebe"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Circus_aeruginosus",90,367,1726,90,367,595,0.052143684820394,0.212630359212051,277,0.160486674391657,16.0486674391657,"Increase","Diurnal raptors","Western Marsh Harrier"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Fulica_atra",1168,1445,1726,1168,1445,1144,0.676709154113557,0.837195828505214,277,0.160486674391657,16.0486674391657,"Increase","Rails","Eurasian Coot"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Carduelis_carduelis",852,1123,1726,852,1123,1325,0.493626882966396,0.65063731170336,271,0.157010428736964,15.7010428736964,"Increase","Passerine seedeaters","European Goldfinch"
