"comparison_id","comparison_label","start_period","end_period","species","occupied_grid_cells_start","occupied_grid_cells_end","n_shared_grid_cells","records_1970s","records_1990s","records_2010s","prop_occupied_start","prop_occupied_end","delta_occupied_grid_cells","delta_occupancy_proportion","delta_occupancy_percentage_points","change_class","migratory_strategy","foraging_guild_consensus","species_thermal_index","thermal_group"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Acanthis_flammea",67,417,895,67,417,452,0.0748603351955307,0.465921787709497,350,0.391061452513967,39.1061452513967,"Increase","short-distance","Passerine seedeaters",8.1923087262,"very cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Accipiter_nisus",361,637,895,361,637,394,0.403351955307263,0.711731843575419,276,0.308379888268156,30.8379888268156,"Increase","sedentary and short-distance","Diurnal raptors",11.9162821341,"medium"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Turdus_viscivorus",262,497,895,262,497,453,0.292737430167598,0.555307262569832,235,0.262569832402235,26.2569832402235,"Increase","short-distance","Thrushes",11.9147042629,"medium"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Buteo_buteo",496,730,895,496,730,744,0.554189944134078,0.815642458100559,234,0.26145251396648,26.145251396648,"Increase","sedentary and short-distance","Diurnal raptors",12.6973693303,"warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Phylloscopus_collybita",608,839,895,608,839,889,0.679329608938547,0.937430167597765,231,0.258100558659218,25.8100558659218,"Increase","short-distance","Foliage gleaners",11.9465889491,"medium"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Falco_tinnunculus",428,647,895,428,647,517,0.478212290502793,0.722905027932961,219,0.244692737430168,24.4692737430168,"Increase","sedentary and short-distance","Diurnal raptors",12.4263636442,"warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Astur_gentilis",127,332,895,127,332,253,0.141899441340782,0.370949720670391,205,0.229050279329609,22.9050279329609,"Increase","sedentary","Diurnal raptors",11.8007973825,"cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Turdus_pilaris",38,235,895,38,235,138,0.0424581005586592,0.262569832402235,197,0.220111731843575,22.0111731843575,"Increase","short-distance","Thrushes",10.0287125382,"very cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Tachybaptus_ruficollis",207,402,895,207,402,439,0.231284916201117,0.449162011173184,195,0.217877094972067,21.7877094972067,"Increase","sedentary and short-distance","Aquatic pursuers",13.4633891991,"very warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Circus_aeruginosus",69,258,895,69,258,363,0.0770949720670391,0.288268156424581,189,0.211173184357542,21.1173184357542,"Increase","short-and long-distance","Diurnal raptors",13.2259231132,"very warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Corvus_corax",79,262,895,79,262,560,0.088268156424581,0.292737430167598,183,0.204469273743017,20.4469273743017,"Increase","sedentary","Omnivorous corvids",11.7378412998,"cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Phoenicurus_ochruros",82,265,895,82,265,338,0.0916201117318436,0.29608938547486,183,0.204469273743017,20.4469273743017,"Increase","sedentary and short-distance","Low flycatching feeders",13.2394438706,"very warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Certhia_familiaris",366,544,895,366,544,553,0.408938547486034,0.607821229050279,178,0.198882681564246,19.8882681564246,"Increase","sedentary","Tit-like birds",11.119463211,"cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Streptopelia_decaocto",554,731,895,554,731,670,0.618994413407821,0.816759776536313,177,0.197765363128492,19.7765363128492,"Increase","sedentary","Columbids",12.9162282666,"warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Loxia_curvirostra",90,256,895,90,256,178,0.100558659217877,0.286033519553073,166,0.185474860335196,18.5474860335196,"Increase","sedentary and short-distance","Passerine seedeaters",10.4943181045,"very cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Pyrrhula_pyrrhula",427,590,895,427,590,656,0.477094972067039,0.659217877094972,163,0.182122905027933,18.2122905027933,"Increase","short-distance","Passerine seedeaters",10.756294956,"very cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Garrulus_glandarius",540,697,895,540,697,524,0.603351955307263,0.77877094972067,157,0.175418994413408,17.5418994413408,"Increase","sedentary","Omnivorous corvids",12.466780849,"warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Anser_anser",150,301,895,150,301,589,0.167597765363128,0.336312849162011,151,0.168715083798883,16.8715083798883,"Increase","sedentary and short-distance","Grazing waterfowl",11.1956416463,"cold"
