"comparison_id","comparison_label","thermal_group","change_class","n_species","group_species_count","proportion_within_group","percentage_within_group"
"1990s_minus_1970s","1990s minus 1970s","very cold","Decrease",1,31,0.032258064516129,3.2258064516129
"2010s_minus_1990s","2010s minus 1990s","very cold","Decrease",5,31,0.161290322580645,16.1290322580645
"1990s_minus_1970s","1990s minus 1970s","cold","Decrease",3,31,0.0967741935483871,9.67741935483871
"2010s_minus_1990s","2010s minus 1990s","cold","Decrease",2,31,0.0645161290322581,6.45161290322581
"1990s_minus_1970s","1990s minus 1970s","medium","Decrease",2,30,0.0666666666666667,6.66666666666667
"2010s_minus_1990s","2010s minus 1990s","medium","Decrease",3,30,0.1,10
"1990s_minus_1970s","1990s minus 1970s","warm","Decrease",0,31,0,0
"2010s_minus_1990s","2010s minus 1990s","warm","Decrease",4,31,0.129032258064516,12.9032258064516
"1990s_minus_1970s","1990s minus 1970s","very warm","Decrease",3,31,0.0967741935483871,9.67741935483871
"2010s_minus_1990s","2010s minus 1990s","very warm","Decrease",2,31,0.0645161290322581,6.45161290322581
"1990s_minus_1970s","1990s minus 1970s","very cold","Stable",23,31,0.741935483870968,74.1935483870968
"2010s_minus_1990s","2010s minus 1990s","very cold","Stable",26,31,0.838709677419355,83.8709677419355
"1990s_minus_1970s","1990s minus 1970s","cold","Stable",21,31,0.67741935483871,67.741935483871
"2010s_minus_1990s","2010s minus 1990s","cold","Stable",26,31,0.838709677419355,83.8709677419355
"1990s_minus_1970s","1990s minus 1970s","medium","Stable",18,30,0.6,60
"2010s_minus_1990s","2010s minus 1990s","medium","Stable",26,30,0.866666666666667,86.6666666666667
"1990s_minus_1970s","1990s minus 1970s","warm","Stable",21,31,0.67741935483871,67.741935483871
"2010s_minus_1990s","2010s minus 1990s","warm","Stable",24,31,0.774193548387097,77.4193548387097
"1990s_minus_1970s","1990s minus 1970s","very warm","Stable",21,31,0.67741935483871,67.741935483871
"2010s_minus_1990s","2010s minus 1990s","very warm","Stable",24,31,0.774193548387097,77.4193548387097
"1990s_minus_1970s","1990s minus 1970s","very cold","Increase",7,31,0.225806451612903,22.5806451612903
"2010s_minus_1990s","2010s minus 1990s","very cold","Increase",0,31,0,0
"1990s_minus_1970s","1990s minus 1970s","cold","Increase",7,31,0.225806451612903,22.5806451612903
"2010s_minus_1990s","2010s minus 1990s","cold","Increase",3,31,0.0967741935483871,9.67741935483871
"1990s_minus_1970s","1990s minus 1970s","medium","Increase",10,30,0.333333333333333,33.3333333333333
"2010s_minus_1990s","2010s minus 1990s","medium","Increase",1,30,0.0333333333333333,3.33333333333333
"1990s_minus_1970s","1990s minus 1970s","warm","Increase",10,31,0.32258064516129,32.258064516129
"2010s_minus_1990s","2010s minus 1990s","warm","Increase",3,31,0.0967741935483871,9.67741935483871
"1990s_minus_1970s","1990s minus 1970s","very warm","Increase",7,31,0.225806451612903,22.5806451612903
"2010s_minus_1990s","2010s minus 1990s","very warm","Increase",5,31,0.161290322580645,16.1290322580645
