species,n_supported_negative_partners,median_negative_omega,mean_negative_omega,strongest_negative_omega,median_pr_negative,rank_negative_degree,Migration_a3_DOF,foraging_guild_consensus,species_thermal_index,atlas3_sites_present,atlas3_sites_total,atlas3_site_occupancy_percent
Tringa_glareola,52,-0.5065007815202993,-0.5134231945947951,-0.8030903118877718,0.995,1,long-distance,Scolopacids,7.6706167812,18,1904,0.9453781512605042
Limosa_limosa,45,-0.4686984202895002,-0.487854028500331,-0.6945316462185172,0.998,2,long-distance,Scolopacids,12.0468335512,34,1904,1.7857142857142858
Caprimulgus_europaeus,31,-0.3300531733435579,-0.3694755350561968,-0.6915455920405562,0.999,3,long-distance,Nigthjars,13.110333547,231,1904,12.132352941176471
Mergus_merganser,29,-0.4276746880719536,-0.4674302132885174,-0.873621286926943,0.99,4,short-distance,Aquatic pursuers,7.9118621485,62,1904,3.2563025210084033
Periparus_ater,27,-0.239198070219416,-0.27901686613240795,-0.6787209767843075,0.991,5,sedentary,Tit-like birds,11.9045668053,1505,1904,79.04411764705883
Somateria_mollissima,27,-0.289333390855311,-0.29680659845211554,-0.4480419762635744,0.982,6,short-distance,Diving ducks,8.1688294838,73,1904,3.8340336134453783
Lullula_arborea,26,-0.3387048291821849,-0.3503604470877357,-0.5443975714840592,0.9955,7,short-distance,Open-land insectivores,13.4719748078,346,1904,18.172268907563026
Regulus_regulus,24,-0.22098438028769235,-0.2501314203003756,-0.6089072899755572,0.9935,8,short-distance,Tit-like birds,10.8075146552,1368,1904,71.84873949579831
Columba_oenas,23,-0.3499586748190788,-0.36731437747770246,-0.6064530600718272,0.996,9,short-distance,Columbids,12.4358174295,628,1904,32.983193277310924
Calidris_pugnax,23,-0.3671561928276097,-0.37991778851466,-0.4940184427270941,0.99,10,long-distance,Scolopacids,7.9732949741,12,1904,0.6302521008403361
