survey,species,present,site,atlas,year,easting,northing,rank_negative_degree,n_supported_negative_partners,Migration_a3_DOF,foraging_guild_consensus,species_thermal_index,species_label
AD90_3,Tringa_glareola,0,AD90,3,2014,447500.0709493527,6252499.57832838,1,52,long-distance,Scolopacids,7.6706167812,1. Tringa glareola (52)
AD90_3,Limosa_limosa,1,AD90,3,2014,447500.0709493527,6252499.57832838,2,45,long-distance,Scolopacids,12.0468335512,2. Limosa limosa (45)
AD90_3,Caprimulgus_europaeus,0,AD90,3,2014,447500.0709493527,6252499.57832838,3,31,long-distance,Nigthjars,13.110333547,3. Caprimulgus europaeus (31)
AD90_3,Mergus_merganser,0,AD90,3,2014,447500.0709493527,6252499.57832838,4,29,short-distance,Aquatic pursuers,7.9118621485,4. Mergus merganser (29)
AD90_3,Periparus_ater,0,AD90,3,2014,447500.0709493527,6252499.57832838,5,27,sedentary,Tit-like birds,11.9045668053,5. Periparus ater (27)
AD90_3,Somateria_mollissima,0,AD90,3,2014,447500.0709493527,6252499.57832838,6,27,short-distance,Diving ducks,8.1688294838,6. Somateria mollissima (27)
AD90_3,Lullula_arborea,0,AD90,3,2014,447500.0709493527,6252499.57832838,7,26,short-distance,Open-land insectivores,13.4719748078,7. Lullula arborea (26)
AD90_3,Regulus_regulus,1,AD90,3,2014,447500.0709493527,6252499.57832838,8,24,short-distance,Tit-like birds,10.8075146552,8. Regulus regulus (24)
AD90_3,Columba_oenas,0,AD90,3,2014,447500.0709493527,6252499.57832838,9,23,short-distance,Columbids,12.4358174295,9. Columba oenas (23)
AD90_3,Calidris_pugnax,0,AD90,3,2014,447500.0709493527,6252499.57832838,10,23,long-distance,Scolopacids,7.9732949741,10. Calidris pugnax (23)
AD91_3,Tringa_glareola,0,AD91,3,2014,447500.05017916387,6257499.546271402,1,52,long-distance,Scolopacids,7.6706167812,1. Tringa glareola (52)
AD91_3,Limosa_limosa,0,AD91,3,2014,447500.05017916387,6257499.546271402,2,45,long-distance,Scolopacids,12.0468335512,2. Limosa limosa (45)
AD91_3,Caprimulgus_europaeus,0,AD91,3,2014,447500.05017916387,6257499.546271402,3,31,long-distance,Nigthjars,13.110333547,3. Caprimulgus europaeus (31)
AD91_3,Mergus_merganser,0,AD91,3,2014,447500.05017916387,6257499.546271402,4,29,short-distance,Aquatic pursuers,7.9118621485,4. Mergus merganser (29)
AD91_3,Periparus_ater,1,AD91,3,2014,447500.05017916387,6257499.546271402,5,27,sedentary,Tit-like birds,11.9045668053,5. Periparus ater (27)
AD91_3,Somateria_mollissima,0,AD91,3,2014,447500.05017916387,6257499.546271402,6,27,short-distance,Diving ducks,8.1688294838,6. Somateria mollissima (27)
AD91_3,Lullula_arborea,0,AD91,3,2014,447500.05017916387,6257499.546271402,7,26,short-distance,Open-land insectivores,13.4719748078,7. Lullula arborea (26)
AD91_3,Regulus_regulus,1,AD91,3,2014,447500.05017916387,6257499.546271402,8,24,short-distance,Tit-like birds,10.8075146552,8. Regulus regulus (24)
AD91_3,Columba_oenas,0,AD91,3,2014,447500.05017916387,6257499.546271402,9,23,short-distance,Columbids,12.4358174295,9. Columba oenas (23)
AD91_3,Calidris_pugnax,0,AD91,3,2014,447500.05017916387,6257499.546271402,10,23,long-distance,Scolopacids,7.9732949741,10. Calidris pugnax (23)
AD92_3,Tringa_glareola,0,AD92,3,2014,447500.02377636905,6262499.551973275,1,52,long-distance,Scolopacids,7.6706167812,1. Tringa glareola (52)
AD92_3,Limosa_limosa,0,AD92,3,2014,447500.02377636905,6262499.551973275,2,45,long-distance,Scolopacids,12.0468335512,2. Limosa limosa (45)
AD92_3,Caprimulgus_europaeus,0,AD92,3,2014,447500.02377636905,6262499.551973275,3,31,long-distance,Nigthjars,13.110333547,3. Caprimulgus europaeus (31)
AD92_3,Mergus_merganser,0,AD92,3,2014,447500.02377636905,6262499.551973275,4,29,short-distance,Aquatic pursuers,7.9118621485,4. Mergus merganser (29)
AD92_3,Periparus_ater,0,AD92,3,2014,447500.02377636905,6262499.551973275,5,27,sedentary,Tit-like birds,11.9045668053,5. Periparus ater (27)
AD92_3,Somateria_mollissima,0,AD92,3,2014,447500.02377636905,6262499.551973275,6,27,short-distance,Diving ducks,8.1688294838,6. Somateria mollissima (27)
AD92_3,Lullula_arborea,0,AD92,3,2014,447500.02377636905,6262499.551973275,7,26,short-distance,Open-land insectivores,13.4719748078,7. Lullula arborea (26)
AD92_3,Regulus_regulus,0,AD92,3,2014,447500.02377636905,6262499.551973275,8,24,short-distance,Tit-like birds,10.8075146552,8. Regulus regulus (24)
AD92_3,Columba_oenas,0,AD92,3,2014,447500.02377636905,6262499.551973275,9,23,short-distance,Columbids,12.4358174295,9. Columba oenas (23)
AD92_3,Calidris_pugnax,0,AD92,3,2014,447500.02377636905,6262499.551973275,10,23,long-distance,Scolopacids,7.9732949741,10. Calidris pugnax (23)
AD93_3,Tringa_glareola,0,AD93,3,2014,447499.9924736935,6267499.595406948,1,52,long-distance,Scolopacids,7.6706167812,1. Tringa glareola (52)
AD93_3,Limosa_limosa,0,AD93,3,2014,447499.9924736935,6267499.595406948,2,45,long-distance,Scolopacids,12.0468335512,2. Limosa limosa (45)
AD93_3,Caprimulgus_europaeus,0,AD93,3,2014,447499.9924736935,6267499.595406948,3,31,long-distance,Nigthjars,13.110333547,3. Caprimulgus europaeus (31)
AD93_3,Mergus_merganser,0,AD93,3,2014,447499.9924736935,6267499.595406948,4,29,short-distance,Aquatic pursuers,7.9118621485,4. Mergus merganser (29)
AD93_3,Periparus_ater,0,AD93,3,2014,447499.9924736935,6267499.595406948,5,27,sedentary,Tit-like birds,11.9045668053,5. Periparus ater (27)
AD93_3,Somateria_mollissima,0,AD93,3,2014,447499.9924736935,6267499.595406948,6,27,short-distance,Diving ducks,8.1688294838,6. Somateria mollissima (27)
AD93_3,Lullula_arborea,0,AD93,3,2014,447499.9924736935,6267499.595406948,7,26,short-distance,Open-land insectivores,13.4719748078,7. Lullula arborea (26)
AD93_3,Regulus_regulus,0,AD93,3,2014,447499.9924736935,6267499.595406948,8,24,short-distance,Tit-like birds,10.8075146552,8. Regulus regulus (24)
AD93_3,Columba_oenas,0,AD93,3,2014,447499.9924736935,6267499.595406948,9,23,short-distance,Columbids,12.4358174295,9. Columba oenas (23)
AD93_3,Calidris_pugnax,0,AD93,3,2014,447499.9924736935,6267499.595406948,10,23,long-distance,Scolopacids,7.9732949741,10. Calidris pugnax (23)
AD94_3,Tringa_glareola,0,AD94,3,2014,447499.9570043505,6272499.676545255,1,52,long-distance,Scolopacids,7.6706167812,1. Tringa glareola (52)
AD94_3,Limosa_limosa,0,AD94,3,2014,447499.9570043505,6272499.676545255,2,45,long-distance,Scolopacids,12.0468335512,2. Limosa limosa (45)
AD94_3,Caprimulgus_europaeus,0,AD94,3,2014,447499.9570043505,6272499.676545255,3,31,long-distance,Nigthjars,13.110333547,3. Caprimulgus europaeus (31)
AD94_3,Mergus_merganser,0,AD94,3,2014,447499.9570043505,6272499.676545255,4,29,short-distance,Aquatic pursuers,7.9118621485,4. Mergus merganser (29)
AD94_3,Periparus_ater,0,AD94,3,2014,447499.9570043505,6272499.676545255,5,27,sedentary,Tit-like birds,11.9045668053,5. Periparus ater (27)
AD94_3,Somateria_mollissima,0,AD94,3,2014,447499.9570043505,6272499.676545255,6,27,short-distance,Diving ducks,8.1688294838,6. Somateria mollissima (27)
AD94_3,Lullula_arborea,0,AD94,3,2014,447499.9570043505,6272499.676545255,7,26,short-distance,Open-land insectivores,13.4719748078,7. Lullula arborea (26)
AD94_3,Regulus_regulus,0,AD94,3,2014,447499.9570043505,6272499.676545255,8,24,short-distance,Tit-like birds,10.8075146552,8. Regulus regulus (24)
AD94_3,Columba_oenas,0,AD94,3,2014,447499.9570043505,6272499.676545255,9,23,short-distance,Columbids,12.4358174295,9. Columba oenas (23)
AD94_3,Calidris_pugnax,0,AD94,3,2014,447499.9570043505,6272499.676545255,10,23,long-distance,Scolopacids,7.9732949741,10. Calidris pugnax (23)
