site,atlas,year,easting,northing,n_top_negative_species_present,top_negative_species_present,any_top_negative_species_present
AD90,3,2014,447500.0709493527,6252499.57832838,2,Limosa limosa; Regulus regulus,TRUE
AD91,3,2014,447500.05017916387,6257499.546271402,2,Periparus ater; Regulus regulus,TRUE
AD92,3,2014,447500.02377636905,6262499.551973275,0,,FALSE
AD93,3,2014,447499.9924736935,6267499.595406948,0,,FALSE
AD94,3,2014,447499.9570043505,6272499.676545255,0,,FALSE
AD95,3,2014,447499.9167107371,6277499.684056323,1,Limosa limosa,TRUE
AE93,3,2014,447500.1701742312,6217499.746982312,2,Periparus ater; Regulus regulus,TRUE
AE94,3,2014,447500.1510277113,6222499.78450804,2,Periparus ater; Regulus regulus,TRUE
AE95,3,2014,447500.18198725476,6227499.747924402,3,Periparus ater; Regulus regulus; Columba oenas,TRUE
AE96,3,2014,447500.139576756,6232499.638727918,1,Columba oenas,TRUE
AE97,3,2014,447500.1513174165,6237499.67796077,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
AE98,3,2014,447500.15313399426,6242499.6437634,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
AF81,3,2014,442500.1384771916,6157499.787446427,2,Periparus ater; Columba oenas,TRUE
AF82,3,2014,442500.15165183047,6162499.8084204225,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
AF91,3,2014,447500.16279772675,6157499.807246089,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
AF92,3,2014,447500.2057250942,6162499.834014087,5,Tringa glareola; Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
AF93,3,2014,447500.1653840631,6167499.788514787,5,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus; Columba oenas,TRUE
AF94,3,2014,447500.1697669054,6172499.780493908,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
AF95,3,2014,447500.15525057766,6177499.699395254,3,Caprimulgus europaeus; Periparus ater; Regulus regulus,TRUE
AF96,3,2014,447500.12389998813,6182499.65648123,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
AF97,3,2014,447500.13908220717,6187499.650967309,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
AF98,3,2014,447500.13873657817,6192499.683587027,5,Limosa limosa; Caprimulgus europaeus; Periparus ater; Regulus regulus; Calidris pugnax,TRUE
AF99,3,2014,447500.1235891788,6197499.754315107,3,Periparus ater; Regulus regulus; Columba oenas,TRUE
BC10,3,2014,457500.06312543934,6302499.745828598,5,Tringa glareola; Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BC11,3,2014,457500.0287272008,6307499.784091797,4,Tringa glareola; Caprimulgus europaeus; Periparus ater; Regulus regulus,TRUE
BC20,3,2014,462500.0832758646,6302499.782276433,5,Tringa glareola; Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BC21,3,2014,462500.08463837503,6307499.738256342,5,Tringa glareola; Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BC22,3,2014,462500.0351017802,6312499.731527806,4,Tringa glareola; Caprimulgus europaeus; Periparus ater; Regulus regulus,TRUE
BC30,3,2014,467500.03225555073,6302499.688678854,1,Periparus ater,TRUE
BC31,3,2014,467500.0700814336,6307499.683991895,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BC32,3,2014,467500.03942602925,6312499.716500132,6,Tringa glareola; Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus; Columba oenas,TRUE
BC33,3,2014,467500.06162332307,6317499.67391025,5,Tringa glareola; Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BC34,3,2014,467500.01645873167,6322499.668462578,3,Caprimulgus europaeus; Periparus ater; Regulus regulus,TRUE
BC40,3,2014,472500.05137193855,6302499.68679326,0,,FALSE
BC41,3,2014,472500.0641984955,6307499.732148187,1,Regulus regulus,TRUE
BC42,3,2014,472500.05119154515,6312499.702867677,1,Regulus regulus,TRUE
BC43,3,2014,472500.07431792136,6317499.709834675,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BC44,3,2014,472500.07316175365,6322499.753427244,5,Tringa glareola; Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BC45,3,2014,472500.04746136797,6327499.722303724,1,Tringa glareola,TRUE
BC50,3,2014,477500.03517784266,6302499.666388486,1,Regulus regulus,TRUE
BC51,3,2014,477500.0219923793,6307499.660629535,1,Regulus regulus,TRUE
BC52,3,2014,477500.0270955203,6312499.691159323,1,Regulus regulus,TRUE
BC53,3,2014,477500.050134716,6317499.646637439,2,Periparus ater; Regulus regulus,TRUE
BC54,3,2014,477500.091967421,6322499.63835183,5,Tringa glareola; Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BC55,3,2014,477500.0922437846,6327499.666607962,4,Tringa glareola; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BC60,3,2014,482500.0626082632,6302499.738540966,1,Regulus regulus,TRUE
BC62,3,2014,482500.04548227973,6312499.681136523,0,,FALSE
BC63,3,2014,482500.06870340253,6317499.706708531,0,,FALSE
BC64,3,2014,482500.09264614136,6322499.657199486,3,Caprimulgus europaeus; Periparus ater; Regulus regulus,TRUE
BC65,3,2014,482500.0574243303,6327499.644156614,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BC70,3,2014,487500.0281488765,6302499.681272506,0,,FALSE
BC71,3,2014,487500.02372481115,6307499.714883644,1,Periparus ater,TRUE
BC72,3,2014,487500.06305016344,6312499.673261789,2,Periparus ater; Regulus regulus,TRUE
BC73,3,2014,487500.0249803983,6317499.668063927,0,,FALSE
BC74,3,2014,487500.03132666176,6322499.698896714,2,Periparus ater; Regulus regulus,TRUE
BC75,3,2014,487500.08176904864,6327499.654417714,3,Caprimulgus europaeus; Periparus ater; Regulus regulus,TRUE
BC81,3,2014,492500.041047909,6307499.729905474,1,Regulus regulus,TRUE
BC82,3,2014,492500.03649829555,6312499.667744995,1,Periparus ater,TRUE
BC83,3,2014,492499.997856006,6317499.641786334,4,Limosa limosa; Periparus ater; Regulus regulus; Calidris pugnax,TRUE
BC84,3,2014,492500.0467049848,6322499.651782474,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BC85,3,2014,492500.0614262203,6327499.586613408,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BC93,3,2014,497500.0048648076,6317499.628014286,2,Periparus ater; Regulus regulus,TRUE
BC94,3,2014,497500.0354478817,6322499.62760691,3,Limosa limosa; Periparus ater; Regulus regulus,TRUE
BC95,3,2014,497500.0144291096,6327499.551978993,1,Periparus ater,TRUE
BC96,3,2014,497500.0027015511,6332499.623702109,4,Caprimulgus europaeus; Periparus ater; Lullula arborea; Regulus regulus,TRUE
BD00,3,2014,452500.055170292,6252499.551853021,1,Regulus regulus,TRUE
BD01,3,2014,452500.062128352,6257499.642154956,2,Periparus ater; Regulus regulus,TRUE
BD02,3,2014,452500.0451360465,6262499.658862274,0,,FALSE
BD03,3,2014,452500.00491227995,6267499.601946497,0,,FALSE
BD04,3,2014,452500.0060987118,6272499.69329495,0,,FALSE
BD05,3,2014,452499.98535578116,6277499.71096541,0,,FALSE
BD06,3,2014,452500.00592764583,6282499.765541134,1,Limosa limosa,TRUE
