bootstrap,atlas,period,support_class,n_pairs,prop_pairs
1,1,1970s,Supported positive,6955,0.5679405520169851
1,1,1970s,Supported negative,303,0.024742773150416463
1,1,1970s,Unsupported,4988,0.4073166748325984
2,1,1970s,Supported positive,6930,0.5658990690837825
2,1,1970s,Supported negative,320,0.026130981544994283
2,1,1970s,Unsupported,4996,0.4079699493712233
3,1,1970s,Supported positive,6902,0.5636126081985955
3,1,1970s,Supported negative,309,0.025232729054385106
3,1,1970s,Unsupported,5035,0.41115466274701945
4,1,1970s,Supported positive,6921,0.5651641352278295
4,1,1970s,Supported negative,306,0.024987751102400785
4,1,1970s,Unsupported,5019,0.4098481136697697
5,1,1970s,Supported positive,6921,0.5651641352278295
5,1,1970s,Supported negative,304,0.02482443246774457
5,1,1970s,Unsupported,5021,0.41001143230442594
6,1,1970s,Supported positive,6930,0.5658990690837825
6,1,1970s,Supported negative,316,0.025804344275681856
6,1,1970s,Unsupported,5000,0.4082965866405357
7,1,1970s,Supported positive,6970,0.5691654417769068
7,1,1970s,Supported negative,309,0.025232729054385106
7,1,1970s,Unsupported,4967,0.40560182916870813
8,1,1970s,Supported positive,6961,0.5684305079209537
8,1,1970s,Supported negative,305,0.024906091785072675
8,1,1970s,Unsupported,4980,0.4066634002939735
9,1,1970s,Supported positive,6958,0.5681855299689694
9,1,1970s,Supported negative,317,0.025886003593009962
9,1,1970s,Unsupported,4971,0.40592846643802055
10,1,1970s,Supported positive,6974,0.5694920790462191
10,1,1970s,Supported negative,313,0.025559366323697534
10,1,1970s,Unsupported,4959,0.4049485546300833
11,1,1970s,Supported positive,6890,0.5626326963906582
11,1,1970s,Supported negative,305,0.024906091785072675
11,1,1970s,Unsupported,5051,0.41246121182426915
12,1,1970s,Supported positive,6916,0.564755838641189
12,1,1970s,Supported negative,310,0.025314388371713212
12,1,1970s,Unsupported,5020,0.4099297729870978
13,1,1970s,Supported positive,6958,0.5681855299689694
13,1,1970s,Supported negative,298,0.024334476563775926
13,1,1970s,Unsupported,4990,0.4074799934672546
14,1,1970s,Supported positive,6926,0.56557243181447
