grouping_type,atlas,period,group_pair_type,group_1,group_2,group_pair,support_class,n_class_pairs,n_group_pairs,observed_prop,atlas_prop,observed_minus_atlas_prop,unstable_small_pair_count,bootstrap_mean,bootstrap_median,bootstrap_lower_80,bootstrap_upper_80,bootstrap_lower_95,bootstrap_upper_95
foraging_guild,1,1970s,Within group,Aerial insectivores,Aerial insectivores,Aerial insectivores,Supported negative,0,6,0,0.024906091785072675,-0.024906091785072675,TRUE,0,0,0,0,0,0
foraging_guild,1,1970s,Between group,Aerial insectivores,Aquatic pursuers,Aerial insectivores | Aquatic pursuers,Supported negative,1,24,0.041666666666666664,0.024906091785072675,0.01676057488159399,FALSE,0.040541666666666545,0.041666666666666664,0.041666666666666664,0.041666666666666664,0,0.041666666666666664
foraging_guild,1,1970s,Between group,Aerial insectivores,Buntings,Aerial insectivores | Buntings,Supported negative,0,12,0,0.024906091785072675,-0.024906091785072675,FALSE,0,0,0,0,0,0
foraging_guild,1,1970s,Between group,Aerial insectivores,Columbids,Aerial insectivores | Columbids,Supported negative,0,16,0,0.024906091785072675,-0.024906091785072675,FALSE,0,0,0,0,0,0
foraging_guild,1,1970s,Between group,Aerial insectivores,Cuckoos,Aerial insectivores | Cuckoos,Supported negative,0,4,0,0.024906091785072675,-0.024906091785072675,TRUE,0,0,0,0,0,0
foraging_guild,1,1970s,Between group,Aerial insectivores,Dabbling ducks,Aerial insectivores | Dabbling ducks,Supported negative,0,28,0,0.024906091785072675,-0.024906091785072675,FALSE,0,0,0,0,0,0
foraging_guild,1,1970s,Between group,Aerial insectivores,Dippers,Aerial insectivores | Dippers,Supported negative,0,4,0,0.024906091785072675,-0.024906091785072675,TRUE,0,0,0,0,0,0
foraging_guild,1,1970s,Between group,Aerial insectivores,Diurnal raptors,Aerial insectivores | Diurnal raptors,Supported negative,0,28,0,0.024906091785072675,-0.024906091785072675,FALSE,0,0,0,0,0,0
foraging_guild,1,1970s,Between group,Aerial insectivores,Diving ducks,Aerial insectivores | Diving ducks,Supported negative,0,12,0,0.024906091785072675,-0.024906091785072675,FALSE,0,0,0,0,0,0
foraging_guild,1,1970s,Between group,Aerial insectivores,Flycatchers,Aerial insectivores | Flycatchers,Supported negative,0,12,0,0.024906091785072675,-0.024906091785072675,FALSE,0,0,0,0,0,0
foraging_guild,1,1970s,Between group,Aerial insectivores,Foliage gleaners,Aerial insectivores | Foliage gleaners,Supported negative,0,36,0,0.024906091785072675,-0.024906091785072675,FALSE,0,0,0,0,0,0
foraging_guild,1,1970s,Between group,Aerial insectivores,Gallinaceous birds,Aerial insectivores | Gallinaceous birds,Supported negative,0,8,0,0.024906091785072675,-0.024906091785072675,TRUE,0,0,0,0,0,0
foraging_guild,1,1970s,Between group,Aerial insectivores,Grazing waterfowl,Aerial insectivores | Grazing waterfowl,Supported negative,0,8,0,0.024906091785072675,-0.024906091785072675,TRUE,0,0,0,0,0,0
foraging_guild,1,1970s,Between group,Aerial insectivores,Gulls,Aerial insectivores | Gulls,Supported negative,0,20,0,0.024906091785072675,-0.024906091785072675,FALSE,0,0,0,0,0,0
foraging_guild,1,1970s,Between group,Aerial insectivores,Kingfishers,Aerial insectivores | Kingfishers,Supported negative,0,4,0,0.024906091785072675,-0.024906091785072675,TRUE,0,0,0,0,0,0
foraging_guild,1,1970s,Between group,Aerial insectivores,Low flycatching feeders,Aerial insectivores | Low flycatching feeders,Supported negative,0,36,0,0.024906091785072675,-0.024906091785072675,FALSE,0,0,0,0,0,0
foraging_guild,1,1970s,Between group,Aerial insectivores,Marsh warblers,Aerial insectivores | Marsh warblers,Supported negative,0,24,0,0.024906091785072675,-0.024906091785072675,FALSE,0,0,0,0,0,0
foraging_guild,1,1970s,Between group,Aerial insectivores,Nigthjars,Aerial insectivores | Nigthjars,Supported negative,0,4,0,0.024906091785072675,-0.024906091785072675,TRUE,0,0,0,0,0,0
foraging_guild,1,1970s,Between group,Aerial insectivores,Omnivorous corvids,Aerial insectivores | Omnivorous corvids,Supported negative,0,28,0,0.024906091785072675,-0.024906091785072675,FALSE,0,0,0,0,0,0
foraging_guild,1,1970s,Between group,Aerial insectivores,Open-land insectivores,Aerial insectivores | Open-land insectivores,Supported negative,0,24,0,0.024906091785072675,-0.024906091785072675,FALSE,0,0,0,0,0,0
foraging_guild,1,1970s,Between group,Aerial insectivores,Orioles,Aerial insectivores | Orioles,Supported negative,0,4,0,0.024906091785072675,-0.024906091785072675,TRUE,0,0,0,0,0,0
foraging_guild,1,1970s,Between group,Aerial insectivores,Owls,Aerial insectivores | Owls,Supported negative,0,20,0,0.024906091785072675,-0.024906091785072675,FALSE,0,0,0,0,0,0
foraging_guild,1,1970s,Between group,Aerial insectivores,Passerine seedeaters,Aerial insectivores | Passerine seedeaters,Supported negative,0,48,0,0.024906091785072675,-0.024906091785072675,FALSE,0,0,0,0,0,0
foraging_guild,1,1970s,Between group,Aerial insectivores,Plovers,Aerial insectivores | Plovers,Supported negative,0,24,0,0.024906091785072675,-0.024906091785072675,FALSE,0,0,0,0,0,0
foraging_guild,1,1970s,Between group,Aerial insectivores,Rails,Aerial insectivores | Rails,Supported negative,0,20,0,0.024906091785072675,-0.024906091785072675,FALSE,0,0,0,0,0,0
