grouping_type,display_name,group_pair_type,group_1,group_2,group_pair,n_group_pairs,support_class,n_periods,mean_observed_minus_null,min_observed_minus_null,max_observed_minus_null,min_abs_null_z,max_abs_observed_minus_null,n_fdr_0_05,all_above_null,all_below_null,excess_1970s,excess_1990s,excess_2010s,delta_2010s_minus_1970s,sign_flip_1970s_to_2010s,temporal_pattern,unstable_small_pair_count
foraging_guild,Foraging guild,Between group,Scolopacids,Tit-like birds,Scolopacids | Tit-like birds,108,Supported negative,3,0.17831720609498347,0.11901716531346132,0.2742001260519773,5.459231773015634,0.2742001260519773,0,TRUE,FALSE,0.14173432691951182,0.11901716531346132,0.2742001260519773,0.13246579913246548,FALSE,Consistently above null,FALSE
foraging_guild,Foraging guild,Between group,Scolopacids,Woodpeckers,Scolopacids | Woodpeckers,45,Supported negative,3,0.15117339561784,0.10383717050383726,0.21804026248470654,3.3688687478353465,0.21804026248470654,0,TRUE,FALSE,0.13164275386497618,0.10383717050383726,0.21804026248470654,0.08639750861973036,FALSE,Consistently above null,FALSE
foraging_guild,Foraging guild,Between group,Gulls,Woodpeckers,Gulls | Woodpeckers,25,Supported negative,3,0.2858191524858195,0.13205205205205228,0.5105905905905912,3.2941985263087687,0.5105905905905912,0,TRUE,FALSE,0.21481481481481501,0.13205205205205228,0.5105905905905912,0.2957757757757762,FALSE,Consistently above null,FALSE
foraging_guild,Foraging guild,Between group,Plovers,Tit-like birds,Plovers | Tit-like birds,72,Supported negative,3,0.11403996589181759,0.09709709709709687,0.14239239239239215,2.876593789956143,0.14239239239239215,0,TRUE,FALSE,0.14239239239239215,0.09709709709709687,0.10263040818596375,-0.0397619842064284,FALSE,Consistently above null,FALSE
foraging_guild,Foraging guild,Between group,Columbids,Diving ducks,Columbids | Diving ducks,12,Supported negative,3,0.15910354799243687,0.1382215548882216,0.19853186519853178,2.6050013626908184,0.19853186519853178,0,TRUE,FALSE,0.14055722389055725,0.1382215548882216,0.19853186519853178,0.05797464130797453,FALSE,Consistently above null,FALSE
foraging_guild,Foraging guild,Between group,Diurnal raptors,Scolopacids,Diurnal raptors | Scolopacids,63,Supported negative,3,0.16090164238312374,0.06706706706706715,0.22910211799100694,2.541513786790306,0.22910211799100694,0,TRUE,FALSE,0.22910211799100694,0.06706706706706715,0.1865357420912971,-0.042566375899709824,FALSE,Consistently above null,FALSE
foraging_guild,Foraging guild,Between group,Gulls,Tit-like birds,Gulls | Tit-like birds,60,Supported negative,3,0.149049049049049,0.07155488822155476,0.28416750083416753,2.540108479995416,0.28416750083416753,0,TRUE,FALSE,0.09142475809142468,0.07155488822155476,0.28416750083416753,0.19274274274274283,FALSE,Consistently above null,FALSE
foraging_guild,Foraging guild,Between group,Gulls,Open-land insectivores,Gulls | Open-land insectivores,30,Supported negative,3,0.12260037815593354,0.07741074407741064,0.18541875208541853,2.516077985771386,0.18541875208541853,0,TRUE,FALSE,0.07741074407741064,0.10497163830497144,0.18541875208541853,0.10800800800800789,FALSE,Consistently above null,FALSE
foraging_guild,Foraging guild,Between group,Omnivorous corvids,Scolopacids,Omnivorous corvids | Scolopacids,63,Supported negative,3,0.10385517792925193,0.06609784387562175,0.17401528512639586,2.3707340249893236,0.17401528512639586,0,TRUE,FALSE,0.0714524047857382,0.06609784387562175,0.17401528512639586,0.10256288034065766,FALSE,Consistently above null,FALSE
foraging_guild,Foraging guild,Between group,Plovers,Woodpeckers,Plovers | Woodpeckers,30,Supported negative,3,0.17714381047714362,0.07660994327660983,0.28441775108441747,2.3542737087161676,0.28441775108441747,0,TRUE,FALSE,0.07660994327660983,0.17040373707040357,0.28441775108441747,0.20780780780780764,FALSE,Consistently above null,FALSE
