guild,observed_n_species,null_preserves_size
Passerine seedeaters,12,TRUE
Tit-like birds,12,TRUE
Foliage gleaners,9,TRUE
Low flycatching feeders,9,TRUE
Scolopacids,9,TRUE
Dabbling ducks,7,TRUE
Diurnal raptors,7,TRUE
Omnivorous corvids,7,TRUE
Aquatic pursuers,6,TRUE
Marsh warblers,6,TRUE
Open-land insectivores,6,TRUE
Plovers,6,TRUE
Gulls,5,TRUE
Owls,5,TRUE
Rails,5,TRUE
Terns,5,TRUE
Woodpeckers,5,TRUE
Aerial insectivores,4,TRUE
Columbids,4,TRUE
Thrushes,4,TRUE
Buntings,3,TRUE
Diving ducks,3,TRUE
Flycatchers,3,TRUE
Gallinaceous birds,2,TRUE
Grazing waterfowl,2,TRUE
Shrikes,2,TRUE
Wading birds,2,TRUE
Cuckoos,1,TRUE
Dippers,1,TRUE
Kingfishers,1,TRUE
Nigthjars,1,TRUE
Orioles,1,TRUE
Reedlings,1,TRUE
Starlings,1,TRUE
